time,S0000137_1_1_PMX_AverageHour,S0000137_2_0_SHT1X_AverageHour,S0000137_2_2_SHT1X_AverageHour
08/07/2022 00:00,1.5,99,27.5
07/07/2022 23:00,1.1,99,27.1
07/07/2022 22:00,1.19,99,27.1
07/07/2022 21:00,1.5,60.5,26.9
07/07/2022 20:00,2.5,31,27.8
07/07/2022 19:00,3.5,48.55,27.6
07/07/2022 18:00,4.2,75.1,27.7
07/07/2022 17:00,5.4,36.6,27.3
07/07/2022 16:00,9.6,,27.8
07/07/2022 15:00,10.1,,28.2
07/07/2022 14:00,12.4,42.1,29.7
07/07/2022 13:00,9,70.6,31.7
07/07/2022 12:00,7.4,79,34.1
07/07/2022 11:00,9.2,78.8,32.8
07/07/2022 10:00,9.8,69.8,31.1
07/07/2022 09:00,8.6,74.1,31.5
07/07/2022 08:00,5.9,61.3,29.7
07/07/2022 07:00,6,37.7,28.3
07/07/2022 06:00,7.9,29,27.6
07/07/2022 05:00,6.7,26,27.8
07/07/2022 04:00,5.9,34,28
07/07/2022 03:00,4.8,32,28.1
07/07/2022 02:00,3.7,38.1,28.3
07/07/2022 01:00,4.1,31.7,28.3
07/07/2022 00:00,4.5,37.8,28.7
06/07/2022 23:00,4.5,43.6,28.8
06/07/2022 22:00,5.7,31.6,28.8
06/07/2022 21:00,45.7,31,29.8
06/07/2022 20:00,82.7,26,30.3
06/07/2022 19:00,81.7,34.8,30.4
06/07/2022 18:00,67.4,51.6,30.9
06/07/2022 17:00,54.5,64,31.2
06/07/2022 16:00,48.4,70.4,32
06/07/2022 15:00,43.8,72.7,32.3
06/07/2022 14:00,49.8,70,31.9
06/07/2022 13:00,47.9,71.2,32.1
06/07/2022 12:00,57.9,62.7,31.1
06/07/2022 11:00,57,44.4,30
06/07/2022 10:00,46.3,35,28.9
06/07/2022 09:00,44,26,28.8
06/07/2022 08:00,29.7,27,28
06/07/2022 07:00,10,90.1,27.2
06/07/2022 06:00,5.8,99,26.8
06/07/2022 05:00,5.8,99,26.5
06/07/2022 04:00,6.9,99,26.6
06/07/2022 03:00,8,99,26.3
06/07/2022 02:00,10.4,99,26.2
06/07/2022 01:00,7.3,99,25.8
06/07/2022 00:00,4.2,99,25.7
05/07/2022 23:00,1.4,99,25.5
05/07/2022 22:00,0.7,99,25.9
05/07/2022 21:00,,99,25.7
05/07/2022 20:00,,99,24.7
05/07/2022 19:00,,99,24.6
05/07/2022 18:00,3.45,82.5,30.6
05/07/2022 17:00,6.8,73.5,36.5
05/07/2022 16:00,3.8,70.3,37.6
05/07/2022 15:00,3.9,67.9,38.5
05/07/2022 14:00,8,71.7,36.8
05/07/2022 13:00,9.6,72.6,35
05/07/2022 12:00,7.5,69.5,32.9
05/07/2022 11:00,14.6,59.7,33.1
05/07/2022 10:00,18.4,62.1,35.1
05/07/2022 09:00,18.2,56.9,34.6
05/07/2022 08:00,12.7,40.7,33.2
05/07/2022 07:00,14.6,28,31.6
05/07/2022 06:00,17.4,,31.4
05/07/2022 05:00,14.6,35,31.7
05/07/2022 04:00,20,,31.7
05/07/2022 03:00,25.4,35,31.8
05/07/2022 02:00,21.3,27,32
05/07/2022 01:00,25.2,35.8,32.3
05/07/2022 00:00,39.7,41,32.6
04/07/2022 23:00,43.9,44.6,32.5
04/07/2022 22:00,29,59.4,33.1
04/07/2022 21:00,23.2,66.9,33.5
04/07/2022 20:00,20.9,70.8,34.1
04/07/2022 19:00,17.3,72.7,35.4
04/07/2022 18:00,11.9,73.6,36.4
04/07/2022 17:00,8.3,72.6,37
04/07/2022 16:00,5.8,65.3,38.6
04/07/2022 15:00,5.9,63.3,39.8
04/07/2022 14:00,7.8,66.7,39.4
04/07/2022 13:00,8.2,68.8,38.9
04/07/2022 12:00,15.1,71.8,38.5
04/07/2022 11:00,19.8,73.3,37.7
04/07/2022 10:00,21.2,71.4,37
04/07/2022 09:00,20.5,63.9,35.2
04/07/2022 08:00,23.6,33.1,32.2
04/07/2022 07:00,26.6,,31
04/07/2022 06:00,19.3,10.85,31
04/07/2022 05:00,20.4,,31.4
04/07/2022 04:00,15.8,,31.5
04/07/2022 03:00,14.8,,31.4
04/07/2022 02:00,11.6,27,31.7
04/07/2022 01:00,12.8,38.9,32.2
04/07/2022 00:00,18.1,50.7,32.6
03/07/2022 23:00,21.2,54.3,32.6
03/07/2022 22:00,15.3,59.5,32.8
03/07/2022 21:00,7.6,61.4,32.5
03/07/2022 20:00,4.2,67.4,32
03/07/2022 19:00,4.5,72.6,34.1
03/07/2022 18:00,5.8,71.4,36.7
03/07/2022 17:00,6.9,70,37.5
03/07/2022 16:00,5.3,64.9,38.3
03/07/2022 15:00,5.4,65.2,38.2
03/07/2022 14:00,6.6,65.9,38.5
03/07/2022 13:00,7.9,68.8,37.8
03/07/2022 12:00,8.2,71.3,37.8
03/07/2022 11:00,11.5,73,36.9
03/07/2022 10:00,11.9,72.5,35.6
03/07/2022 09:00,8.8,68.2,33.2
03/07/2022 08:00,8.2,65.4,33.1
03/07/2022 07:00,13.7,31,29.8
03/07/2022 06:00,11,,28.7
03/07/2022 05:00,9.1,,29.1
03/07/2022 04:00,7.8,31,29.1
03/07/2022 03:00,6.1,22.55,29.2
03/07/2022 02:00,5.1,32,28.6
03/07/2022 01:00,4.9,21.65,28.3
03/07/2022 00:00,3.2,33,27.9
02/07/2022 23:00,3.4,32.5,27.7
02/07/2022 22:00,3.1,44.5,28.3
02/07/2022 21:00,2.9,54.6,29.1
02/07/2022 20:00,7.65,57,31.2
