time,S0000171_1_1_PMX_AverageHour,S0000171_2_0_SHT1X_AverageHour,S0000171_2_2_SHT1X_AverageHour
08/07/2022 00:00,5.7,,
07/07/2022 23:00,3.4,,
07/07/2022 22:00,2.6,,
07/07/2022 21:00,3.8,,
07/07/2022 20:00,5.1,,
07/07/2022 19:00,9.4,,
07/07/2022 18:00,8,,
07/07/2022 17:00,5.2,,
07/07/2022 16:00,4.9,,
07/07/2022 15:00,6,,
07/07/2022 14:00,4.2,,
07/07/2022 13:00,5.6,,
07/07/2022 12:00,7.8,,
07/07/2022 11:00,7.2,,
07/07/2022 10:00,6.6,,
07/07/2022 09:00,4.5,,
07/07/2022 08:00,3.95,,
07/07/2022 07:00,3.4,,
07/07/2022 06:00,3.6,,
07/07/2022 05:00,3.2,,
07/07/2022 04:00,3.8,,
07/07/2022 03:00,3.3,,
07/07/2022 02:00,1.9,,
07/07/2022 01:00,1.6,,
07/07/2022 00:00,1.5,,
06/07/2022 23:00,1.5,,
06/07/2022 22:00,2.5,,
06/07/2022 21:00,23.7,,
06/07/2022 20:00,33.3,,
06/07/2022 19:00,28.9,,
06/07/2022 18:00,21.7,,
06/07/2022 17:00,23.4,,
06/07/2022 16:00,21.6,,
06/07/2022 15:00,20.8,,
06/07/2022 14:00,23.3,,
06/07/2022 13:00,22.2,,
06/07/2022 12:00,23.7,,
06/07/2022 11:00,34.9,,
06/07/2022 10:00,32.4,,
06/07/2022 09:00,11.1,,
06/07/2022 08:00,9.6,,
06/07/2022 07:00,4.8,,
06/07/2022 06:00,,,
06/07/2022 05:00,,,
06/07/2022 04:00,,,
06/07/2022 03:00,,,
06/07/2022 02:00,,,
06/07/2022 01:00,1.55,,
06/07/2022 00:00,1.1,,
05/07/2022 23:00,,,
05/07/2022 22:00,,,
05/07/2022 21:00,,,
05/07/2022 20:00,,,
05/07/2022 19:00,1.43,,
05/07/2022 18:00,7.4,,
05/07/2022 17:00,7.95,,
05/07/2022 16:00,8.5,,
05/07/2022 15:00,4.8,,
05/07/2022 14:00,6.15,,
05/07/2022 13:00,7.5,,
05/07/2022 12:00,3.8,,
05/07/2022 11:00,7.45,,
05/07/2022 10:00,11.1,,
05/07/2022 09:00,12.3,,
05/07/2022 08:00,18.8,,
05/07/2022 07:00,14.2,,
05/07/2022 06:00,10.4,,
05/07/2022 05:00,16.8,,
05/07/2022 04:00,16.9,,
05/07/2022 03:00,16,,
05/07/2022 02:00,17.4,,
05/07/2022 01:00,17.6,,
05/07/2022 00:00,20.1,,
04/07/2022 23:00,16.3,,
04/07/2022 22:00,20.9,,
04/07/2022 21:00,17.9,,
04/07/2022 20:00,16.3,,
04/07/2022 19:00,16.9,,
04/07/2022 18:00,10.3,,
04/07/2022 17:00,7.35,,
04/07/2022 16:00,4.4,,
04/07/2022 15:00,5.4,,
04/07/2022 14:00,7.6,,
04/07/2022 13:00,9.2,,
04/07/2022 12:00,11.4,,
04/07/2022 11:00,15,,
04/07/2022 10:00,17,,
04/07/2022 09:00,14.6,,
04/07/2022 08:00,18,,
04/07/2022 07:00,23.6,,
04/07/2022 06:00,20.7,,
04/07/2022 05:00,15.3,,
04/07/2022 04:00,9.9,,
04/07/2022 03:00,8.1,,
04/07/2022 02:00,6.8,,
04/07/2022 01:00,7.8,,
04/07/2022 00:00,9.1,,
03/07/2022 23:00,8.7,,
03/07/2022 22:00,6.5,,
03/07/2022 21:00,4.2,,
03/07/2022 20:00,2.4,,
03/07/2022 19:00,4,,
03/07/2022 18:00,8.2,,
03/07/2022 17:00,8.7,,
03/07/2022 16:00,6,,
03/07/2022 15:00,6.1,,
03/07/2022 14:00,7.3,,
03/07/2022 13:00,9,,
03/07/2022 12:00,8.2,,
03/07/2022 11:00,8,,
03/07/2022 10:00,9.6,,
03/07/2022 09:00,10,,
03/07/2022 08:00,7.2,,
03/07/2022 07:00,9.9,,
03/07/2022 06:00,9,,
03/07/2022 05:00,8.5,,
03/07/2022 04:00,5.6,,
03/07/2022 03:00,4.5,,
03/07/2022 02:00,3.9,,
03/07/2022 01:00,3,,
03/07/2022 00:00,2.1,,
02/07/2022 23:00,3.1,,
02/07/2022 22:00,2.1,,
02/07/2022 21:00,1.1,,
02/07/2022 20:00,9.4,,
02/07/2022 19:00,9.2,,
