time,S0000262_1_1_PMX_AverageHour,S0000262_2_0_SHT1X_AverageHour,S0000262_2_2_SHT1X_AverageHour
08/07/2022 00:00,5.6,99,27.1
07/07/2022 23:00,2.6,99,26.9
07/07/2022 22:00,1.2,99,26.9
07/07/2022 21:00,2,99,26.8
07/07/2022 20:00,2.5,99,27.3
07/07/2022 19:00,2.6,99,27.1
07/07/2022 18:00,3,99,27.6
07/07/2022 17:00,3.4,99,27.5
07/07/2022 16:00,3.1,99,27.6
07/07/2022 15:00,3.2,99,28.2
07/07/2022 14:00,4.2,99,29.4
07/07/2022 13:00,7.5,92.6,31.4
07/07/2022 12:00,8,85.4,32.8
07/07/2022 11:00,8,90.3,31.3
07/07/2022 10:00,5,93.8,30.5
07/07/2022 09:00,4.6,97.4,29.8
07/07/2022 08:00,4.4,99.1,28.9
07/07/2022 07:00,2.3,99,28
07/07/2022 06:00,2.3,99,27.6
07/07/2022 05:00,2,99,27.7
07/07/2022 04:00,2.3,99,27.7
07/07/2022 03:00,2.25,99,27.7
07/07/2022 02:00,2.2,99,28.1
07/07/2022 01:00,1.8,99,28.5
07/07/2022 00:00,1.55,99,28.5
06/07/2022 23:00,1.3,99.1,28.9
06/07/2022 22:00,2.1,99,29
06/07/2022 21:00,13.8,99,29.9
06/07/2022 20:00,22.4,99,30.3
06/07/2022 19:00,20.6,99.1,30.6
06/07/2022 18:00,22.4,98.1,31.2
06/07/2022 17:00,23.8,95,31.5
06/07/2022 16:00,26.7,93.5,31.7
06/07/2022 15:00,27.7,91.5,32
06/07/2022 14:00,23.8,93.6,31.4
06/07/2022 13:00,24.2,94.2,31.2
06/07/2022 12:00,21.5,96.5,30.5
06/07/2022 11:00,15.1,98.5,29.6
06/07/2022 10:00,12.5,99,29.2
06/07/2022 09:00,11.8,99,28.5
06/07/2022 08:00,10.9,99,27.6
06/07/2022 07:00,10.1,99,27.1
06/07/2022 06:00,11.3,99,26.8
06/07/2022 05:00,7.8,99,26.5
06/07/2022 04:00,6.6,99,26.4
06/07/2022 03:00,5,99,26.3
06/07/2022 02:00,11.3,99,26.3
06/07/2022 01:00,8.4,99,26.1
06/07/2022 00:00,5.5,99,26.2
05/07/2022 23:00,2,99,26.2
05/07/2022 22:00,1.1,99,26.3
05/07/2022 21:00,1.54,99,26.3
05/07/2022 20:00,1.58,99,26.2
05/07/2022 19:00,1.14,99,25.7
05/07/2022 18:00,6.4,86.4,32.6
05/07/2022 17:00,6.45,75.8,36.7
05/07/2022 16:00,6.5,69.2,38
05/07/2022 15:00,7,69.6,38
05/07/2022 14:00,10.2,82.5,34.9
05/07/2022 13:00,10,87.3,33.5
05/07/2022 12:00,7.2,89.4,31.6
05/07/2022 11:00,7.3,88.4,32.4
05/07/2022 10:00,9.7,96.7,33.4
05/07/2022 09:00,8.4,99.3,32.6
05/07/2022 08:00,10.5,99,31.4
05/07/2022 07:00,8.1,99,30.9
05/07/2022 06:00,6.7,99,30.9
05/07/2022 05:00,7.4,99,31.1
05/07/2022 04:00,8.8,99,31.3
05/07/2022 03:00,7.2,99,31.4
05/07/2022 02:00,9.5,99,31.7
05/07/2022 01:00,12.1,99,32
05/07/2022 00:00,12,99,32
04/07/2022 23:00,11.9,98.7,32.1
04/07/2022 22:00,23.2,93.2,32.5
04/07/2022 21:00,25.7,87.8,32.8
04/07/2022 20:00,22.2,85.6,33.4
04/07/2022 19:00,23.1,81.8,34.7
04/07/2022 18:00,19.4,80.2,35.6
04/07/2022 17:00,8.6,74.9,35.9
04/07/2022 16:00,11.2,73,37.2
04/07/2022 15:00,9.4,66.7,39
04/07/2022 14:00,11,69.1,38.3
04/07/2022 13:00,12.2,72,37.6
04/07/2022 12:00,16.1,77,36.4
04/07/2022 11:00,20.9,83.8,35.3
04/07/2022 10:00,16.8,90.6,34.2
04/07/2022 09:00,12.2,95.5,33
04/07/2022 08:00,12.3,98.9,31.5
04/07/2022 07:00,10.8,99,30.8
04/07/2022 06:00,9.5,99,31.2
04/07/2022 05:00,6.8,99,31.2
04/07/2022 04:00,6.3,99,31.1
04/07/2022 03:00,4.5,99.1,31.7
04/07/2022 02:00,3.2,99,31.8
04/07/2022 01:00,8.4,97.7,31.9
04/07/2022 00:00,8.5,95.1,32
03/07/2022 23:00,9.2,91.4,32.4
03/07/2022 22:00,8.4,87.5,32.8
03/07/2022 21:00,5.7,84.4,32.7
03/07/2022 20:00,4.1,80.1,32.9
03/07/2022 19:00,7.2,76.3,35.1
03/07/2022 18:00,10.8,75.3,36.2
03/07/2022 17:00,10,73.8,36.8
03/07/2022 16:00,10.4,71.3,37.2
03/07/2022 15:00,9.3,69.3,37.5
03/07/2022 14:00,10.7,68.6,37.7
03/07/2022 13:00,12,72.8,37
03/07/2022 12:00,11.1,77.3,35.8
03/07/2022 11:00,12.8,82,34.4
03/07/2022 10:00,9.8,88.5,32.2
