time,S0000264_1_1_PMX_AverageHour,S0000264_2_0_SHT1X_AverageHour,S0000264_2_2_SHT1X_AverageHour
08/07/2022 00:00,,,
07/07/2022 23:00,,,
07/07/2022 22:00,,,
07/07/2022 21:00,,,
07/07/2022 20:00,,,
07/07/2022 19:00,,,
07/07/2022 18:00,,,
07/07/2022 17:00,,,
07/07/2022 16:00,,,
07/07/2022 15:00,,,
07/07/2022 14:00,,,
07/07/2022 13:00,,,
07/07/2022 12:00,,,
07/07/2022 11:00,,,
07/07/2022 10:00,,,
07/07/2022 09:00,,,
07/07/2022 08:00,,,
07/07/2022 07:00,,,
07/07/2022 06:00,,,
07/07/2022 05:00,,,
07/07/2022 04:00,,,
07/07/2022 03:00,,,
07/07/2022 02:00,,,
07/07/2022 01:00,,,
07/07/2022 00:00,,,
06/07/2022 23:00,,,
06/07/2022 22:00,,,
06/07/2022 21:00,,,
06/07/2022 20:00,,,
06/07/2022 19:00,,,
06/07/2022 18:00,,,
06/07/2022 17:00,,,
06/07/2022 16:00,,,
06/07/2022 15:00,,,
06/07/2022 14:00,,,
06/07/2022 13:00,,,
06/07/2022 12:00,,,
06/07/2022 11:00,,,
06/07/2022 10:00,,,
06/07/2022 09:00,,,
06/07/2022 08:00,,,
06/07/2022 07:00,,,
06/07/2022 06:00,,,
06/07/2022 05:00,,,
06/07/2022 04:00,,,
06/07/2022 03:00,,,
06/07/2022 02:00,,,
06/07/2022 01:00,,,
06/07/2022 00:00,,,
05/07/2022 23:00,,,
05/07/2022 22:00,,,
05/07/2022 21:00,,,
05/07/2022 20:00,,,
05/07/2022 19:00,,,
05/07/2022 18:00,,,
05/07/2022 17:00,,,
05/07/2022 16:00,,,
05/07/2022 15:00,,,
05/07/2022 14:00,,,
05/07/2022 13:00,,,
05/07/2022 12:00,,,
05/07/2022 11:00,,,
05/07/2022 10:00,,,
05/07/2022 09:00,,,
05/07/2022 08:00,,,
05/07/2022 07:00,,,
05/07/2022 06:00,,,
05/07/2022 05:00,,,
05/07/2022 04:00,,,
05/07/2022 03:00,,,
05/07/2022 02:00,,,
05/07/2022 01:00,,,
05/07/2022 00:00,,,
04/07/2022 23:00,,,
04/07/2022 22:00,,,
04/07/2022 21:00,,,
04/07/2022 20:00,,,
04/07/2022 19:00,,,
04/07/2022 18:00,,,
04/07/2022 17:00,,,
04/07/2022 16:00,,,
04/07/2022 15:00,,,
04/07/2022 14:00,,,
04/07/2022 13:00,,,
04/07/2022 12:00,,,
04/07/2022 11:00,,,
04/07/2022 10:00,,,
04/07/2022 09:00,,,
04/07/2022 08:00,,,
04/07/2022 07:00,,,
04/07/2022 06:00,,,
04/07/2022 05:00,,,
04/07/2022 04:00,,,
04/07/2022 03:00,,,
04/07/2022 02:00,,,
04/07/2022 01:00,,,
04/07/2022 00:00,,,
03/07/2022 23:00,,,
03/07/2022 22:00,,,
03/07/2022 21:00,,,
03/07/2022 20:00,,,
03/07/2022 19:00,,,
03/07/2022 18:00,,,
03/07/2022 17:00,,,
03/07/2022 16:00,,,
03/07/2022 15:00,,,
03/07/2022 14:00,,,
03/07/2022 13:00,,,
03/07/2022 12:00,,,
03/07/2022 11:00,,,
03/07/2022 10:00,,,
03/07/2022 09:00,,,
03/07/2022 08:00,,,
03/07/2022 07:00,,,
03/07/2022 06:00,,,
03/07/2022 05:00,,,
03/07/2022 04:00,,,
03/07/2022 03:00,,,
03/07/2022 02:00,,,
03/07/2022 01:00,,,
03/07/2022 00:00,,,
02/07/2022 23:00,,,
02/07/2022 22:00,,,
02/07/2022 21:00,,,
02/07/2022 20:00,,,
02/07/2022 19:00,,,
02/07/2022 18:00,,,
02/07/2022 17:00,,,
02/07/2022 16:00,,,
02/07/2022 15:00,,,
02/07/2022 14:00,,,
02/07/2022 13:00,,,
02/07/2022 12:00,,,
02/07/2022 11:00,,,
02/07/2022 10:00,,,
02/07/2022 09:00,,,
02/07/2022 08:00,,,
02/07/2022 07:00,,,
02/07/2022 06:00,,,
02/07/2022 05:00,,,
02/07/2022 04:00,,,
02/07/2022 03:00,,,
02/07/2022 02:00,,,
02/07/2022 01:00,,,
02/07/2022 00:00,,,
01/07/2022 23:00,,,
01/07/2022 22:00,,,
01/07/2022 21:00,,,
01/07/2022 20:00,,,
01/07/2022 19:00,,,
01/07/2022 18:00,,,
01/07/2022 17:00,,,
01/07/2022 16:00,,,
01/07/2022 15:00,,,
01/07/2022 14:00,,,
01/07/2022 13:00,,,
01/07/2022 12:00,,,
01/07/2022 11:00,,,
01/07/2022 10:00,,,
01/07/2022 09:00,,,
01/07/2022 08:00,,,
01/07/2022 07:00,,,
01/07/2022 06:00,,,
01/07/2022 05:00,,,
01/07/2022 04:00,,,
01/07/2022 03:00,,,
01/07/2022 02:00,,,
01/07/2022 01:00,,,
01/07/2022 00:00,,,
30/06/2022 23:00,,,
30/06/2022 22:00,,,
30/06/2022 21:00,,,
30/06/2022 20:00,,,
30/06/2022 19:00,,,
30/06/2022 18:00,,,
30/06/2022 17:00,,,
30/06/2022 16:00,,,
30/06/2022 15:00,,,
30/06/2022 14:00,,,
30/06/2022 13:00,,,
30/06/2022 12:00,,,
30/06/2022 11:00,,,
30/06/2022 10:00,,,
30/06/2022 09:00,,,
30/06/2022 08:00,,,
30/06/2022 07:00,,,
30/06/2022 06:00,,,
30/06/2022 05:00,,,
30/06/2022 04:00,,,
30/06/2022 03:00,,,
30/06/2022 02:00,,,
30/06/2022 01:00,,,
30/06/2022 00:00,,,
29/06/2022 23:00,,,
29/06/2022 22:00,,,
29/06/2022 21:00,,,
29/06/2022 20:00,,,
29/06/2022 19:00,,,
29/06/2022 18:00,,,
29/06/2022 17:00,,,
29/06/2022 16:00,,,
29/06/2022 15:00,,,
29/06/2022 14:00,,,
29/06/2022 13:00,,,
29/06/2022 12:00,,,
29/06/2022 11:00,,,
29/06/2022 10:00,,,
29/06/2022 09:00,,,
29/06/2022 08:00,,,
29/06/2022 07:00,,,
29/06/2022 06:00,,,
29/06/2022 05:00,,,
29/06/2022 04:00,,,
29/06/2022 03:00,,,
29/06/2022 02:00,,,
29/06/2022 01:00,,,
29/06/2022 00:00,,,
28/06/2022 23:00,,,
28/06/2022 22:00,,,
28/06/2022 21:00,,,
28/06/2022 20:00,,,
28/06/2022 19:00,,,
28/06/2022 18:00,,,
28/06/2022 17:00,,,
28/06/2022 16:00,,,
28/06/2022 15:00,,,
28/06/2022 14:00,,,
28/06/2022 13:00,,,
28/06/2022 12:00,,,
28/06/2022 11:00,,,
28/06/2022 10:00,,,
28/06/2022 09:00,,,
28/06/2022 08:00,,,
28/06/2022 07:00,,,
28/06/2022 06:00,,,
28/06/2022 05:00,,,
28/06/2022 04:00,,,
28/06/2022 03:00,,,
28/06/2022 02:00,,,
28/06/2022 01:00,,,
28/06/2022 00:00,,,
27/06/2022 23:00,,,
27/06/2022 22:00,,,
27/06/2022 21:00,,,
