time,S0000289_1_1_PMX_AverageHour,S0000289_2_0_SHT1X_AverageHour,S0000289_2_2_SHT1X_AverageHour
08/07/2022 00:00,10.9,99,27.5
07/07/2022 23:00,6.8,99,27.2
07/07/2022 22:00,7.5,99,27.3
07/07/2022 21:00,11.1,99,27.1
07/07/2022 20:00,12.1,99,28.1
07/07/2022 19:00,24.5,99,27.7
07/07/2022 18:00,23,99,27.9
07/07/2022 17:00,13.5,99,27.6
07/07/2022 16:00,20.1,99,28
07/07/2022 15:00,17.5,99,28.4
07/07/2022 14:00,27.1,99.1,30
07/07/2022 13:00,24.3,90.1,31.9
07/07/2022 12:00,21.6,82.8,33.3
07/07/2022 11:00,27.8,85.4,32.6
07/07/2022 10:00,27.6,93.3,31.1
07/07/2022 09:00,22.7,93.4,30.8
07/07/2022 08:00,17.2,98.9,29.3
07/07/2022 07:00,10.1,99,28.2
07/07/2022 06:00,14.5,99,27.8
07/07/2022 05:00,13.8,99,27.9
07/07/2022 04:00,9.3,99,28
07/07/2022 03:00,8.25,99,28.1
07/07/2022 02:00,7.2,99,28.5
07/07/2022 01:00,7.9,99,28.7
07/07/2022 00:00,7.6,99,28.9
06/07/2022 23:00,9.5,99,29.2
06/07/2022 22:00,11.4,99,29.3
06/07/2022 21:00,75,99,30
06/07/2022 20:00,131.9,99,30.5
06/07/2022 19:00,126.3,99,30.7
06/07/2022 18:00,113.4,98.6,31.3
06/07/2022 17:00,104.2,95,31.8
06/07/2022 16:00,104.3,93,32.2
06/07/2022 15:00,103.2,92.4,32.1
06/07/2022 14:00,108.1,93.1,31.9
06/07/2022 13:00,106,92.1,32.3
06/07/2022 12:00,105.2,95,31.5
06/07/2022 11:00,88.9,98.9,30.2
06/07/2022 10:00,72,99,29
06/07/2022 09:00,65.9,99,29.1
06/07/2022 08:00,54,99,28
06/07/2022 07:00,48,99,27.6
06/07/2022 06:00,34.2,99,27.1
06/07/2022 05:00,38.6,99,26.7
06/07/2022 04:00,37,99,26.5
06/07/2022 03:00,41.1,99,26.4
06/07/2022 02:00,20.7,99,26.2
06/07/2022 01:00,1.91,99,26.8
06/07/2022 00:00,,99,26.4
05/07/2022 23:00,,99,26.1
05/07/2022 22:00,1.83,99,26.4
05/07/2022 21:00,,99,27.3
05/07/2022 20:00,,99,26.4
05/07/2022 19:00,,99,26.1
05/07/2022 18:00,10.75,90.5,31.1
