time,S0000346_1_1_PMX_AverageHour,S0000346_2_0_SHT1X_AverageHour,S0000346_2_2_SHT1X_AverageHour
08/07/2022 00:00,7.1,99.1,28.2
07/07/2022 23:00,7.7,98.9,28.4
07/07/2022 22:00,6.1,98,28.4
07/07/2022 21:00,6.7,98.1,28.1
07/07/2022 20:00,11.5,97.8,28.1
07/07/2022 19:00,10.2,97.9,27.9
07/07/2022 18:00,12,96.6,28.6
07/07/2022 17:00,13.8,94.7,28.9
07/07/2022 16:00,10.2,94.4,29.3
07/07/2022 15:00,10.8,94.6,29.2
07/07/2022 14:00,16.9,91.9,30.1
07/07/2022 13:00,18.7,87.1,31.6
07/07/2022 12:00,12.3,85.1,31.9
07/07/2022 11:00,15.2,88.1,31
07/07/2022 10:00,16.6,90.9,30.1
07/07/2022 09:00,18,91.6,29.5
07/07/2022 08:00,10.5,92.7,28.8
07/07/2022 07:00,8.5,92.8,28.6
07/07/2022 06:00,8.1,92.8,28.4
07/07/2022 05:00,8.1,92.5,28.5
07/07/2022 04:00,6.6,92.1,28.6
07/07/2022 03:00,8.5,91.6,28.7
07/07/2022 02:00,7.5,91,28.9
07/07/2022 01:00,5.3,90.6,29
07/07/2022 00:00,5.9,90.1,29.2
06/07/2022 23:00,5.8,89.5,29.9
06/07/2022 22:00,6.4,89.3,29.6
06/07/2022 21:00,23.3,89.1,29.8
06/07/2022 20:00,43.3,88,30
06/07/2022 19:00,42.7,86.8,30.4
06/07/2022 18:00,43.4,85.6,30.8
06/07/2022 17:00,41.5,84.5,31
06/07/2022 16:00,41.4,83.4,31.2
06/07/2022 15:00,41.8,82.5,31.2
06/07/2022 14:00,39.7,81.7,31.6
06/07/2022 13:00,38.5,81.3,31.2
06/07/2022 12:00,43.7,80.9,30.6
06/07/2022 11:00,42.4,80.4,29.4
06/07/2022 10:00,38.6,79.5,29.9
06/07/2022 09:00,32.3,79.2,29.5
06/07/2022 08:00,31,79,28.7
06/07/2022 07:00,18.9,78.8,28.4
06/07/2022 06:00,16.7,78.1,28.3
06/07/2022 05:00,24.7,77.3,28.3
06/07/2022 04:00,28.7,76.8,28.1
06/07/2022 03:00,21.7,76.5,27.7
06/07/2022 02:00,14.1,75.7,27.9
06/07/2022 01:00,9.3,75.6,27.6
06/07/2022 00:00,6.4,75.1,27.7
05/07/2022 23:00,5.5,75.1,27.9
05/07/2022 22:00,7.15,76.8,27.4
05/07/2022 21:00,8.8,82.2,26.6
05/07/2022 20:00,2.4,94.5,24.8
05/07/2022 19:00,2.4,100,24
05/07/2022 18:00,6.65,89.1,31.8
05/07/2022 17:00,10.9,77.4,36.1
05/07/2022 16:00,8.6,69.1,39.1
05/07/2022 15:00,10.7,67.4,40.2
05/07/2022 14:00,19.9,80.7,35.1
05/07/2022 13:00,20.4,81.5,34.4
05/07/2022 12:00,16.9,81.2,33.7
05/07/2022 11:00,23.4,86.9,34.1
05/07/2022 10:00,29.4,91.3,33.7
05/07/2022 09:00,21.8,92.8,33.1
05/07/2022 08:00,14.9,95.8,32.4
05/07/2022 07:00,15.8,97.9,31.8
05/07/2022 06:00,19.9,98.1,31.9
05/07/2022 05:00,14,96,32
05/07/2022 04:00,16.1,95.3,32.1
05/07/2022 03:00,15,93.4,32.3
05/07/2022 02:00,15.1,92.3,32.6
05/07/2022 01:00,21.9,92.1,32.6
05/07/2022 00:00,31.4,92,32.6
04/07/2022 23:00,36.1,90.4,32.9
04/07/2022 22:00,30,88.1,33
04/07/2022 21:00,30.3,85.1,33
04/07/2022 20:00,32.3,82.9,33.5
04/07/2022 19:00,42.8,85.5,34.3
04/07/2022 18:00,29.6,80.6,35.7
04/07/2022 17:00,17.8,77.8,36.5
04/07/2022 16:00,13.9,71.9,38.1
04/07/2022 15:00,12.2,70.7,37.9
04/07/2022 14:00,15.1,72.5,36.5
04/07/2022 13:00,19.8,77.2,35.2
04/07/2022 12:00,36,83.7,34.1
04/07/2022 11:00,38.7,87,33.1
04/07/2022 10:00,39.5,92.8,32.4
04/07/2022 09:00,33.2,96.6,31.8
04/07/2022 08:00,33.6,99.9,31.1
04/07/2022 07:00,33.1,100,30.9
04/07/2022 06:00,25.5,99.4,31.3
04/07/2022 05:00,19.2,96.9,31.7
04/07/2022 04:00,20.5,98.1,31.8
04/07/2022 03:00,18.6,97.1,31.8
04/07/2022 02:00,18.2,96.5,31.7
04/07/2022 01:00,17.1,94.8,31.7
04/07/2022 00:00,23.8,92.3,32
03/07/2022 23:00,26.4,91.5,32.5
03/07/2022 22:00,22.9,89.2,32.5
03/07/2022 21:00,15.5,86,32.6
03/07/2022 20:00,10.6,83.4,32.4
03/07/2022 19:00,11.5,77.4,34.3
03/07/2022 18:00,15.8,70.9,37.7
03/07/2022 17:00,12.3,71.9,38.2
03/07/2022 16:00,12.6,70.9,37.8
03/07/2022 15:00,12.5,66.8,37.8
03/07/2022 14:00,13,69.1,36.4
03/07/2022 13:00,19,78.7,34
03/07/2022 12:00,17.9,82,33
03/07/2022 11:00,23.6,86.3,32.1
03/07/2022 10:00,22.8,89.7,31
03/07/2022 09:00,15.5,89.4,30.6
03/07/2022 08:00,18.5,93.9,30
03/07/2022 07:00,19.5,97.3,29.5
03/07/2022 06:00,14.5,98,29.1
03/07/2022 05:00,11.4,93.8,30
03/07/2022 04:00,8.4,93.3,30
03/07/2022 03:00,8.6,92.2,29.9
03/07/2022 02:00,9.4,93.9,29.2
03/07/2022 01:00,11.1,95.7,29
03/07/2022 00:00,10.7,91.5,29
02/07/2022 23:00,6.8,93,29.2
02/07/2022 22:00,5.1,92.2,28.6
02/07/2022 21:00,4.6,85.3,30.3
02/07/2022 20:00,12.3,83.2,32.3
02/07/2022 19:00,20,72,34.6
02/07/2022 18:00,9,67.3,35.3
02/07/2022 17:00,6.9,63.9,36.2
02/07/2022 16:00,7.1,60.9,38
02/07/2022 15:00,7.6,63.9,37.5
02/07/2022 14:00,9,71.6,35.2
02/07/2022 13:00,8.5,73.8,34.1
02/07/2022 12:00,10.2,78.4,33
02/07/2022 11:00,14.3,85.3,32
02/07/2022 10:00,14.7,90,30.7
02/07/2022 09:00,16.7,95.1,29.7
02/07/2022 08:00,15.6,98.9,28.8
02/07/2022 07:00,16.4,100,28.3
02/07/2022 06:00,16,100,28.2
02/07/2022 05:00,12.4,99.7,28.3
02/07/2022 04:00,13.1,99.5,28.5
02/07/2022 03:00,14.6,98.5,28.8
02/07/2022 02:00,15.2,95.5,29
02/07/2022 01:00,16.1,93.6,29.4
02/07/2022 00:00,13,92.1,29.8
01/07/2022 23:00,20.1,91.1,30.1
01/07/2022 22:00,24.1,90,30.4
01/07/2022 21:00,21.3,86.8,30.7
01/07/2022 20:00,27.4,92,31.7
01/07/2022 19:00,24.9,89.3,31.8
01/07/2022 18:00,14.7,82,33.2
01/07/2022 17:00,13.7,85.7,33.1
01/07/2022 16:00,14.2,82.6,33
01/07/2022 15:00,15.9,85.4,32.8
01/07/2022 14:00,16.4,81.9,33
01/07/2022 13:00,19.2,85.9,31.8
01/07/2022 12:00,20.4,88.8,31
01/07/2022 11:00,18.6,92.3,29.9
01/07/2022 10:00,19.2,95.1,29
01/07/2022 09:00,19.9,97.6,28.3
01/07/2022 08:00,19.6,99.9,27.7
01/07/2022 07:00,15.8,99.8,27.8
01/07/2022 06:00,16.8,99.5,27.7
01/07/2022 05:00,11.3,96.5,27.7
01/07/2022 04:00,18.1,97.4,28.1
01/07/2022 03:00,39,100,28.9
01/07/2022 02:00,42.5,99.8,29.6
01/07/2022 01:00,42.2,97.4,30.2
01/07/2022 00:00,36.6,95.6,30.6
30/06/2022 23:00,41.9,94.5,31.2
30/06/2022 22:00,46.3,95,31.7
30/06/2022 21:00,38.9,95.1,31.7
30/06/2022 20:00,41.7,92.6,31.8
30/06/2022 19:00,41,87.8,32.1
30/06/2022 18:00,36.2,83.7,32.6
30/06/2022 17:00,28.8,77.7,34.4
30/06/2022 16:00,27.2,78.9,34.2
30/06/2022 15:00,25.1,79.5,33.7
30/06/2022 14:00,29.9,82.9,32.8
30/06/2022 13:00,30.7,90.4,31
30/06/2022 12:00,25.8,92.2,30.1
30/06/2022 11:00,21.9,90.7,30.8
30/06/2022 10:00,16.2,94.6,29.5
30/06/2022 09:00,14.5,99.6,27.9
30/06/2022 08:00,8.5,99.8,28
30/06/2022 07:00,10,99.9,28.1
30/06/2022 06:00,6.9,99.9,27.3
30/06/2022 05:00,7.5,100,27
30/06/2022 04:00,6.9,100,26.2
30/06/2022 03:00,4.7,100,26
30/06/2022 02:00,15.2,92.5,28.3
30/06/2022 01:00,42.3,92.9,30.9
30/06/2022 00:00,42.4,89.9,31
29/06/2022 23:00,43.6,90.5,31.1
29/06/2022 22:00,41.2,87.8,31.4
29/06/2022 21:00,38.5,86.1,31.5
29/06/2022 20:00,39.6,86.1,31.8
29/06/2022 19:00,39.3,86.1,32.3
29/06/2022 18:00,44.9,84.4,32.9
29/06/2022 17:00,43.4,81.3,33.5
29/06/2022 16:00,47.3,81.4,33.6
29/06/2022 15:00,46.7,81.9,33.6
29/06/2022 14:00,48.8,81.9,33.6
29/06/2022 13:00,48.2,82.4,33.6
29/06/2022 12:00,45.8,83.3,32.4
29/06/2022 11:00,44.2,85.3,31.3
29/06/2022 10:00,44.3,88.1,30.1
29/06/2022 09:00,40.1,94.2,28.7
29/06/2022 08:00,34.9,98.7,29
29/06/2022 07:00,27.6,99.9,29.9
29/06/2022 06:00,16.7,96.4,30.9
29/06/2022 05:00,15.8,95.6,31.1
29/06/2022 04:00,15.4,94.1,31.2
29/06/2022 03:00,16.8,92.9,31.3
29/06/2022 02:00,18,91.6,31.5
29/06/2022 01:00,16.9,90.3,31.5
29/06/2022 00:00,17.6,88.4,31.7
28/06/2022 23:00,35.8,88.9,32.1
28/06/2022 22:00,42.3,90.9,32.3
28/06/2022 21:00,44,89.6,32.7
28/06/2022 20:00,46.1,81.9,33.5
28/06/2022 19:00,31.1,76.2,34.7
28/06/2022 18:00,22.2,70.1,36.6
28/06/2022 17:00,15.2,69,36.4
28/06/2022 16:00,10.6,71.6,35.7
28/06/2022 15:00,15.1,73.8,36
28/06/2022 14:00,18.4,74.6,35.1
28/06/2022 13:00,16.1,74.8,34.4
28/06/2022 12:00,12,73.4,34
28/06/2022 11:00,13.3,78.2,33
28/06/2022 10:00,20.2,87.2,32.6
28/06/2022 09:00,20.3,93.1,32
28/06/2022 08:00,18.7,97.4,30.9
28/06/2022 07:00,15.4,98.7,30.5
28/06/2022 06:00,15.9,98.5,30.4
28/06/2022 05:00,13.5,97.3,30.5
28/06/2022 04:00,14.9,96.1,30.7
28/06/2022 03:00,15.4,93.6,31
28/06/2022 02:00,17.4,91,31.3
28/06/2022 01:00,27.3,91.1,31.4
28/06/2022 00:00,33,89.5,31.5
27/06/2022 23:00,34.9,87.8,31.6
27/06/2022 22:00,31.9,86.4,31.9
27/06/2022 21:00,31.7,84.9,32.5
27/06/2022 20:00,30.1,84.6,33.5
27/06/2022 19:00,23.7,78.5,35.3
27/06/2022 18:00,13,66.6,38.8
27/06/2022 17:00,7.4,63.4,38.8
27/06/2022 16:00,6.9,64.1,39.2
27/06/2022 15:00,6.9,66.7,38.8
27/06/2022 14:00,9.9,73.6,36.1
27/06/2022 13:00,8.8,80.6,33.4
27/06/2022 12:00,12.5,82.8,32.3
27/06/2022 11:00,12.7,89.5,32
27/06/2022 10:00,15.3,91.6,31.6
27/06/2022 09:00,13,93.6,31.2
27/06/2022 08:00,13.8,95,30.7
27/06/2022 07:00,11.8,97.1,30.4
27/06/2022 06:00,13.7,98.6,30.2
27/06/2022 05:00,12.5,98.4,30.1
27/06/2022 04:00,12.4,97.3,30.3
27/06/2022 03:00,13.2,96.3,30.4
27/06/2022 02:00,11.9,94.9,30.7
27/06/2022 01:00,14.1,93.7,30.8
27/06/2022 00:00,21.3,92.3,31
26/06/2022 23:00,30.9,92.2,31.3
26/06/2022 22:00,33.1,91,31.3
26/06/2022 21:00,26.4,89.3,31.9
26/06/2022 20:00,25.6,88.6,31.8
26/06/2022 19:00,20.8,82.4,32.4
26/06/2022 18:00,16,77,35.1
26/06/2022 17:00,15.7,70.5,36.9
26/06/2022 16:00,18.6,71.7,36.6
26/06/2022 15:00,19.9,67.9,37.5
26/06/2022 14:00,22.1,77.3,34.7
26/06/2022 13:00,21.8,80.7,33.3
26/06/2022 12:00,21,84.1,32.3
26/06/2022 11:00,23.1,86.4,31.8
26/06/2022 10:00,22.4,88.7,31.4
26/06/2022 09:00,25.7,88.8,30.9
26/06/2022 08:00,28.3,94.3,30.3
26/06/2022 07:00,29.6,97.6,29.9
26/06/2022 06:00,25.3,97.2,29.8
26/06/2022 05:00,22.6,96.5,30
26/06/2022 04:00,18.3,95.4,30.2
26/06/2022 03:00,17.4,95,30.2
26/06/2022 02:00,17.7,94.4,30.4
26/06/2022 01:00,15.9,93.2,30.5
26/06/2022 00:00,15.9,92,30.6
25/06/2022 23:00,15.5,89.5,31.2
25/06/2022 22:00,20.1,87.6,31.3
25/06/2022 21:00,21.4,84.9,31.6
25/06/2022 20:00,19.6,79.2,32.5
25/06/2022 19:00,13,69.8,35.3
25/06/2022 18:00,6.7,59.9,38.6
25/06/2022 17:00,7.6,58.4,39.8
25/06/2022 16:00,11.2,61.8,37.8
25/06/2022 15:00,14,64.2,36.8
25/06/2022 14:00,18.9,68.3,35.7
25/06/2022 13:00,15,74.5,33
25/06/2022 12:00,11.3,77.2,32.1
25/06/2022 11:00,10.7,80.1,31.5
25/06/2022 10:00,13.3,86.5,30.7
25/06/2022 09:00,11.8,89.8,30.1
25/06/2022 08:00,11.6,94.6,29.2
25/06/2022 07:00,11.5,96.8,28.9
25/06/2022 06:00,9.5,96.2,28.9
25/06/2022 05:00,10,95,29.1
25/06/2022 04:00,7.7,95.8,29.1
