time,S0000541_1_1_PMX_AverageHour,S0000541_2_0_SHT1X_AverageHour,S0000541_2_2_SHT1X_AverageHour
08/07/2022 00:00,22.8,100,28.5
07/07/2022 23:00,14.4,100,28.1
07/07/2022 22:00,6.6,100,28
07/07/2022 21:00,11.7,100,28
07/07/2022 20:00,12.3,100,28.6
07/07/2022 19:00,10.4,99.9,28.7
07/07/2022 18:00,13,99.5,29.2
07/07/2022 17:00,15.6,99.4,28.5
07/07/2022 16:00,13.9,97.1,28.8
07/07/2022 15:00,13.2,96.3,29.3
07/07/2022 14:00,17.2,96,30.3
07/07/2022 13:00,24.9,86.7,32.7
07/07/2022 12:00,19.6,75.9,34.8
07/07/2022 11:00,21.5,78.2,34
07/07/2022 10:00,17.2,81.2,33.1
07/07/2022 09:00,18,85.6,31.8
07/07/2022 08:00,19.3,89.1,30.6
07/07/2022 07:00,11.2,91,30
07/07/2022 06:00,9.5,93.4,29.4
07/07/2022 05:00,7.8,94.2,29.4
07/07/2022 04:00,7.6,94.2,29.5
07/07/2022 03:00,8.35,93.2,29.6
07/07/2022 02:00,9.1,91.4,29.9
07/07/2022 01:00,7.6,90.2,30.2
07/07/2022 00:00,7.5,90.7,30.2
06/07/2022 23:00,7.4,90.3,30.7
06/07/2022 22:00,9.4,92.1,30.8
06/07/2022 21:00,33.9,91.5,31.8
06/07/2022 20:00,49,91.3,32.2
06/07/2022 19:00,47.2,88.9,32.6
06/07/2022 18:00,52,85.6,33.4
06/07/2022 17:00,50.1,85.3,33.2
06/07/2022 16:00,53.1,82.8,33.7
06/07/2022 15:00,48.2,81.9,33.7
06/07/2022 14:00,46,82.2,33.5
06/07/2022 13:00,47.6,83.9,33.1
06/07/2022 12:00,41.5,86.3,32.1
06/07/2022 11:00,42.5,89.2,31.3
06/07/2022 10:00,40.6,93.2,30.8
06/07/2022 09:00,36.4,98.9,30.2
06/07/2022 08:00,35.7,100,29
06/07/2022 07:00,31.6,100,28.4
06/07/2022 06:00,34.6,100,27.8
06/07/2022 05:00,22.2,100,27.5
06/07/2022 04:00,19.4,100,27.4
06/07/2022 03:00,13.6,100,27.1
06/07/2022 02:00,26.1,100,27.2
06/07/2022 01:00,20.25,100,26.9
06/07/2022 00:00,14.4,100,26.9
05/07/2022 23:00,5.8,100,26.8
05/07/2022 22:00,5.2,100,27
05/07/2022 21:00,3.4,100,27
05/07/2022 20:00,2.6,100,26.6
05/07/2022 19:00,2.1,100,26.1
05/07/2022 18:00,14.5,77.4,34.5
05/07/2022 17:00,19.5,66.7,38.3
05/07/2022 16:00,12.5,59.7,40.7
05/07/2022 15:00,14,61.6,40.4
05/07/2022 14:00,25.1,73.3,37
05/07/2022 13:00,29.1,76.4,35.4
05/07/2022 12:00,16.2,78.6,33.3
05/07/2022 11:00,19.8,77.8,34.5
05/07/2022 10:00,33.6,84.4,35.4
05/07/2022 09:00,32.2,86.2,34.7
05/07/2022 08:00,34.1,90.3,33.6
05/07/2022 07:00,29,91.1,33
05/07/2022 06:00,26.5,90.5,32.6
05/07/2022 05:00,26.2,90.3,32.8
05/07/2022 04:00,33.1,90.5,33.1
05/07/2022 03:00,27.3,90.3,33.2
05/07/2022 02:00,35.9,89.2,33.5
05/07/2022 01:00,45.8,88.2,33.7
05/07/2022 00:00,44.6,87.6,33.8
04/07/2022 23:00,43.6,85.8,34
04/07/2022 22:00,55.3,81.4,34.4
04/07/2022 21:00,51.8,77.7,34.7
04/07/2022 20:00,43.5,76.1,35.2
04/07/2022 19:00,44,73.8,36.4
04/07/2022 18:00,40.4,72.3,37.4
04/07/2022 17:00,17.5,67.2,37.9
04/07/2022 16:00,22.4,65.3,39.2
04/07/2022 15:00,16.4,60.6,40.6
04/07/2022 14:00,17.8,62.1,39.9
04/07/2022 13:00,21.9,66,38.7
