S0000370-Ba Trieu,S0000328-Luong The Vinh,S0000367-To Hieu,S0000229-Quan Hoa,S0000345-Doi Can,S0000310-Hang Trong,S0000182-Truong THCS Trung Hoa,S0000210-Truong THCS Yen So,S0000153-Truong Tieu hoc Tran Quoc Toan,S0000137-Ngoc Khanh,S0000318-Hoang Cau,S0000346-Dinh Cong,S0000541-Tran Quang Khai,S0000262-Ly Thai To,S0000238-He thong lien cap Lomonoxop - Mam non,S0000143-Thu vien - DHQG Ha Noi,S0000171-GENESIS School,S0000339-Kim Ma,S0000264-FDS - Ton That Thuyet
4.5,5.9,13.8,5.9,12.1,7.1,0.9,5.9,8.0,1.5,10.5,7.1,22.8,5.6,29.3,3.1,5.7,8.6,
4.2,4.35,8.0,4.8,6.9,3.9,1.77,2.2,4.0,1.1,8.9,7.7,14.4,2.6,9.2,2.0,3.4,7.7,
2.7,2.8,4.2,4.5,7.8,3.2,1.52,6.0,2.3,1.19,8.4,6.1,6.6,1.2,12.2,2.0,2.6,6.4,
4.7,2.5,6.3,6.3,10.4,3.2,1.41,15.2,3.6,1.5,9.8,6.7,11.7,2.0,18.8,2.8,3.8,7.5,
4.6,5.1,13.0,10.9,11.7,3.9,2,17.6,4.2,2.5,11.6,11.5,12.3,2.5,36.1,4.2,5.1,9.9,
6.1,7.4,14.6,12.9,14.4,3.5,3.6,16.2,4.7,3.5,24.8,10.2,10.4,2.6,39.0,6.6,9.4,16.7,
8.5,7.2,11.6,11.3,19.5,4.45,2.9,14.2,5.7,4.2,24.6,12.0,13.0,3.0,24.7,5.3,8.0,13.6,
6.2,3.5,7.4,8.8,13.1,5.4,1.6,8.2,6.7,5.4,15.0,13.8,15.6,3.4,25.4,4.1,5.2,10.5,
6.3,4.8,6.7,11.5,15.4,6.0,1.65,2.8,6.7,9.6,16.8,10.2,13.9,3.1,14.1,4.4,4.9,12.6,
5.7,6.8,6.5,11.3,13.8,5.1,1.7,5.2,6.0,10.1,17.2,10.8,13.2,3.2,22.3,5.2,6.0,11.0,
6.5,10.5,6.05,16.1,23.1,8.1,2.5,8.6,11.1,12.4,23.8,16.9,17.2,4.2,23.85,6.5,4.2,19.0,
9.0,9.3,5.6,15.5,22.8,14.3,3.3,21.9,14.3,9.0,23.1,18.7,24.9,7.5,25.4,7.8,5.6,18.0,
9.2,14.1,11.0,18.2,21.3,16.1,4.4,29.5,15.9,7.4,25.4,12.3,19.6,8.0,32.1,11.7,7.8,16.9,
7.7,15.4,9.75,23.5,30.1,17.4,5.9,18.7,16.9,9.2,25.6,15.2,21.5,8.0,34.3,10.9,7.2,21.7,
9.6,13.9,8.5,18.1,26.1,10.5,4.5,11.3,11.3,9.8,28.4,16.6,17.2,5.0,28.8,7.5,6.6,20.7,
11.2,7.3,4.6,14.3,21.1,9.7,3.6,9.4,10.4,8.6,21.95,18.0,18.0,4.6,14.9,7.9,4.5,15.5,
6.7,3.2,3.9,11.2,17.8,8.3,1.4,10.5,8.6,5.9,15.5,10.5,19.3,4.4,13.7,5.0,3.95,12.9,
4.2,3.5,5.4,9.0,14.8,3.7,1.3,8.45,4.1,6.0,11.0,8.5,11.2,2.3,15.6,3.9,3.4,8.2,
4.3,3.0,5.6,8.3,11.3,3.7,1.4,6.4,4.9,7.9,15.6,8.1,9.5,2.3,9.9,3.8,3.6,10.1,
5.1,2.5,3.3,6.3,11.1,3.5,1.52,4.2,4.1,6.7,14.5,8.1,7.8,2.0,6.9,3.1,3.2,8.0,
3.3,1.8,2.0,6.7,9.8,3.5,1.98,4.0,4.4,5.9,11.5,6.6,7.6,2.3,6.1,3.6,3.8,6.8,
4.7,2.4,2.0,7.8,11.1,3.5,1.24,2.9,5.2,4.8,10.5,8.5,8.35,2.25,5.6,2.8,3.3,8.2,
5.5,2.1,2.5,5.7,7.5,3.5,1.78,3.1,4.3,3.7,9.5,7.5,9.1,2.2,6.9,4.6,1.9,6.2,
4.0,2.35,2.9,5.8,6.9,3.1,1.21,3.0,5.4,4.1,10.1,5.3,7.6,1.8,6.3,4.5,1.6,5.9,
2.9,2.6,3.3,5.9,7.5,4.1,1.29,3.2,4.0,4.5,11.4,5.9,7.5,1.55,6.0,2.8,1.5,6.0,
2.8,2.3,3.6,6.9,8.4,2.9,1.77,3.6,3.3,4.5,15.4,5.8,7.4,1.3,7.6,2.7,1.5,6.8,
2.5,2.2,3.3,8.2,10.5,3.7,1.91,5.3,3.1,5.7,19.1,6.4,9.4,2.1,7.6,3.1,2.5,9.0,
21.2,18.8,20.7,33.1,43.5,23.5,11.7,35.0,24.7,45.7,110.2,23.3,33.9,13.8,54.3,27.5,23.7,31.6,
49.9,41.3,25.05,38.7,60.3,41.0,21.3,44.35,43.5,82.7,191.1,43.3,49.0,22.4,89.05,46.9,33.3,43.0,
51.0,44.7,29.4,38.7,60.1,44.1,22.4,53.7,43.9,81.7,180.9,42.7,47.2,20.6,123.8,48.7,28.9,41.3,
48.5,36.2,29.2,38.6,59.4,49.6,18.1,44.6,49.1,67.4,156.2,43.4,52.0,22.4,88.3,33.3,21.7,41.7,
47.1,25.7,23.6,39.2,65.1,51.2,14.6,29.3,52.1,54.5,136.2,41.5,50.1,23.8,57.4,33.0,23.4,42.8,
49.3,37.1,21.8,43.2,52.7,56.4,20.2,28.3,55.8,48.4,156.8,41.4,53.1,26.7,40.9,36.0,21.6,42.3,
47.4,33.9,27.6,37.7,56.7,54.9,19.2,33.6,54.6,43.8,147.6,41.8,48.2,27.7,46.2,31.3,20.8,39.9,
45.6,37.8,36.2,37.4,63.8,49.6,20.5,35.5,47.0,49.8,148.5,39.7,46.0,23.8,73.4,33.1,23.3,41.5,
47.8,36.9,36.0,36.8,56.1,47.7,19.4,29.8,47.1,47.9,151.1,38.5,47.6,24.2,52.5,38.5,22.2,40.2,
46.9,35.3,34.9,36.2,55.9,44.3,18.8,22.1,42.6,57.9,150.5,43.7,41.5,21.5,31.6,41.5,23.7,38.9,
35.7,29.8,27.9,35.9,45.7,30.1,15.4,24.2,30.7,57.0,122.3,42.4,42.5,15.1,9.8,40.7,34.9,37.3,
34.3,27.9,20.4,35.9,44.9,24.7,12.8,28.15,26.6,46.3,105.7,38.6,40.6,12.5,9.9,31.7,32.4,36.6,
26.8,24.9,29.4,32.6,44.9,21.9,11.3,32.1,24.9,44.0,89.8,32.3,36.4,11.8,5.6,26.2,11.1,34.8,
24.6,17.85,33.9,26.7,39.5,18.3,7,,22.3,29.7,67.5,31.0,35.7,10.9,3.4,21.3,9.6,32.5,
