location,latitude,longitude
东四,39.929,116.417
天坛,39.886,116.407
官园,39.929,116.339
万寿西宫,39.878,116.352
奥体中心,39.982,116.397
农展馆,39.937,116.461
万柳,39.987,116.287
北部新区,40.09,116.174
植物园,40.002,116.207
丰台花园,39.863,116.279
云岗,39.824,116.146
古城,39.914,116.184
房山,39.742,116.136
大兴,39.718,116.404
亦庄,39.795,116.506
通州,39.886,116.663
顺义,40.127,116.655
昌平,40.217,116.23
门头沟,39.937,116.106
平谷,40.143,117.1
怀柔,40.328,116.628
密云,40.37,116.832
延庆,40.453,115.972
定陵,40.292,116.22
八达岭,40.365,115.988
密云水库,40.499,116.911
东高村,40.1,117.12
永乐店,39.712,116.783
榆垡,39.52,116.3
琉璃河,39.58,116
前门,39.899,116.395
永定门内,39.876,116.394
西直门北,39.954,116.349
南三环,39.856,116.368
东四环,39.939,116.483
