,year,month,day,hour,万寿西宫,万柳,东四,东四环,东高村,丰台花园,云岗,亦庄,农展馆,前门,北部新区,南三环,古城,大兴,天坛,奥体中心,官园,平谷,永定门内,琉璃河,西直门北,通州,门头沟,顺义
0,2018,1,1,0,1.4,1.7,2.0,1.8,0.7,1.6,0.9,1.4,1.6,1.7,1.2,1.6,1.1,2.0,1.3,1.4,1.7,1.6,1.9,3.6,1.7,1.7,0.8,1.1
1,2018,1,1,1,1.6,1.6,1.8,2.0,0.7,1.7,1.0,1.4,1.8,1.7,1.3,1.8,1.0,2.0,1.7,1.1,1.3,1.6,1.7,3.6,1.3,2.1,0.8,1.0
2,2018,1,1,2,1.0,1.6,1.4,1.5,0.7,1.3,0.8,1.6,1.5,1.1,1.5,1.2,0.9,2.1,1.7,1.2,1.0,1.7,1.2,3.6,1.3,1.6,0.8,1.1
3,2018,1,1,3,1.0,1.6,1.3,0.9,0.7,1.1,0.7,1.4,1.1,1.0,1.9,1.0,0.8,2.0,1.1,1.3,1.1,1.7,1.1,3.6,1.4,1.8,0.7,0.9
4,2018,1,1,4,1.0,1.8,1.1,0.7,0.7,1.4,0.8,1.1,0.9,1.0,1.9,1.0,0.9,1.7,1.0,1.1,1.2,1.9,1.0,3.6,1.4,1.5,0.7,0.7
5,2018,1,1,5,0.8,1.8,1.0,0.7,0.6,1.2,0.7,1.0,0.9,0.8,1.9,0.8,1.0,1.4,1.0,1.0,1.1,1.6,0.7,3.5,1.2,1.3,0.7,0.7
6,2018,1,1,6,0.6,1.4,0.9,0.5,0.6,1.0,0.8,1.0,0.7,0.7,1.8,0.7,0.8,1.3,0.9,0.7,0.7,1.5,0.7,3.6,1.0,1.1,0.7,0.5
7,2018,1,1,7,0.5,0.9,0.8,0.4,0.6,0.8,0.7,0.8,0.6,0.7,1.9,0.7,0.8,1.2,0.9,0.7,0.6,1.4,0.7,3.6,0.9,0.9,0.7,0.5
8,2018,1,1,8,0.5,1.0,0.9,0.4,0.6,0.8,0.7,0.7,0.6,0.6,1.9,0.7,0.8,1.1,0.8,0.6,0.6,1.7,0.7,3.3,0.9,0.9,0.8,0.5
9,2018,1,1,9,0.5,0.9,0.8,0.4,0.6,0.7,0.7,0.8,0.5,0.7,1.6,0.7,0.8,1.2,0.7,0.5,0.6,1.9,0.7,3.6,0.9,0.8,0.8,0.5
10,2018,1,1,10,0.5,0.6,0.8,0.4,0.6,0.6,0.7,0.9,0.5,0.6,1.2,0.6,0.7,1.1,0.6,0.5,0.5,2.1,0.6,2.1,0.7,0.8,0.8,0.5
11,2018,1,1,11,0.5,0.4,0.9,0.6,1.1,0.5,0.6,0.7,0.5,0.8,0.9,0.7,0.5,1.1,0.6,0.5,0.5,2.0,0.5,0.9,0.6,0.8,0.7,0.4
12,2018,1,1,12,0.4,0.4,0.7,0.6,1.3,0.4,0.5,0.7,0.4,0.5,0.8,0.6,0.5,1.3,0.6,0.4,0.5,1.9,0.5,0.7,0.5,0.8,0.8,0.4
13,2018,1,1,13,0.4,0.4,0.7,0.6,1.2,0.4,0.4,1.0,0.5,0.5,0.5,0.7,0.45,1.4,0.5,0.4,0.4,1.4,0.5,0.6,0.4,0.9,0.7,0.4
14,2018,1,1,14,0.5,0.4,0.9,0.8,1.3,0.4,0.4,1.2,0.6,0.6,0.3,1.0,0.4,1.6,0.7,0.5,0.5,1.2,0.7,0.5,0.6,1.2,0.5,0.4
15,2018,1,1,15,0.8,0.4,1.0,0.9,1.3,0.5,0.4,1.7,0.7,0.7,0.3,1.3,0.4,1.7,0.9,0.5,0.6,1.4,0.9,0.5,0.8,2.1,0.4,0.65
16,2018,1,1,16,1.2,0.5,1.2,1.2,1.3,0.8,0.6,2.0,0.9,1.3,0.2,1.5,0.45,2.2,1.4,0.7,0.7,1.6,1.3,0.7,0.8,2.1,0.3,0.9
17,2018,1,1,17,2.0,0.6,1.7,2.2,1.4,1.3,1.0,2.0,1.6,2.1,0.4,2.1,0.5,2.3,2.03166666666663,1.1,1.2,1.7,2.0,1.0,1.0,2.1,0.4,1.5
18,2018,1,1,18,2.0,1.2,2.0,2.3,1.7,1.9,1.5,2.0,2.0,2.1,0.7,2.1,1.2,2.3,2.03166666666663,1.9,1.8,2.1,2.0,1.7,1.9,2.1,0.5,1.9
19,2018,1,1,19,2.0,1.8,2.0,2.3,1.7,1.9,1.5,2.0,2.0,2.1,0.7,2.1,1.8,2.3,2.03166666666663,1.9,1.8,2.2,2.0,2.4,2.0,2.1,0.8,2.1
20,2018,1,1,20,2.0,1.8,2.0,2.3,1.7,1.9,1.5,2.0,2.0,2.1,0.9,2.1,1.8,2.3,2.03166666666663,1.9,1.8,2.2,2.0,3.3,2.0,2.1,1.2,2.1
21,2018,1,1,21,2.0,1.8,2.0,2.3,1.4,1.9,1.5,1.4,2.0,1.9,0.8,2.1,1.6,2.3,1.9,1.9,1.8,2.2,1.9,3.6,2.0,1.6,1.6,2.1
22,2018,1,1,22,1.1,1.4,1.8,1.2,1.7,1.7,1.5,0.8,1.2,1.3,1.0,1.4,1.5,2.2,1.4,1.7,1.2,2.2,1.3,3.6,1.5,1.0,1.6,2.1
23,2018,1,1,23,0.8,1.2,1.0,0.8,1.7,1.0,1.5,0.6,0.7,0.7,1.7,0.9,1.7,1.7,0.7,0.8,0.8,2.2,0.9,3.6,1.0,1.1,1.5,2.1
24,2018,1,2,0,0.6,0.9,1.0,0.6,1.7,0.7,1.5,0.6,0.8,0.6,1.6,0.7,1.6,1.4,0.6,0.7,0.5,2.2,0.6,3.6,0.7,1.4,1.6,2.1
25,2018,1,2,1,0.6,0.9,1.0,0.8,1.7,0.7,0.9,0.8,0.8,0.6,1.4,0.6,1.5,1.2,0.6,0.7,0.6,2.2,0.6,3.6,0.7,1.5,1.6,2.1
26,2018,1,2,2,0.6,1.7,1.1,0.8,1.7,0.6,0.7,1.1,0.9,0.7,1.3,0.6,1.6,1.1,0.6,0.9,0.5,2.2,0.6,3.6,0.7,1.5,1.4,2.1
27,2018,1,2,3,0.9,1.6,1.9,1.2,1.7,1.1,0.7,1.3,1.2,0.9,1.5,0.8,1.1,1.3,0.7,1.1,0.6,2.2,1.0,3.4,1.1,1.4,1.3,2.1
