,year,month,day,hour,万寿西宫,万柳,东四,东四环,东高村,丰台花园,云岗,亦庄,农展馆,前门,北部新区,南三环,古城,大兴,天坛,奥体中心,官园,平谷,永定门内,琉璃河,西直门北,通州,门头沟,顺义
0,2018,1,1,0,6.0,15.0,13.0,22.0,7.0,15.0,6.0,7.0,15.0,11.0,2.0,19.0,5.0,5.0,2.0,13.0,19.0,6.0,10.0,28.0,15.0,16.0,5.0,10.0
1,2018,1,1,1,9.0,11.0,12.0,21.0,7.0,15.0,8.0,10.0,14.0,13.0,2.0,18.0,5.0,5.0,2.0,10.0,11.0,6.0,13.0,20.0,11.0,20.0,5.0,10.0
2,2018,1,1,2,4.0,9.0,7.0,11.0,6.0,10.0,6.0,11.0,9.0,7.0,2.0,10.0,3.0,6.0,2.0,10.0,8.0,5.0,10.0,24.0,11.0,13.0,5.0,10.0
3,2018,1,1,3,4.0,7.0,7.0,7.0,6.0,8.0,5.0,9.0,7.0,7.0,3.0,8.0,3.0,7.0,2.0,10.0,9.0,5.0,7.0,26.0,11.0,15.0,5.0,9.0
4,2018,1,1,4,5.0,10.0,6.0,3.0,6.0,10.0,5.0,9.0,6.0,6.0,2.0,7.0,3.0,6.0,2.0,9.0,14.0,6.0,8.0,27.0,13.0,14.0,5.0,8.0
5,2018,1,1,5,3.0,11.0,6.0,4.0,7.0,9.0,5.0,7.0,5.0,6.0,2.5,6.0,6.0,5.0,2.0,9.0,12.0,5.0,9.0,20.0,12.0,10.0,5.0,8.0
6,2018,1,1,6,2.0,7.0,4.0,2.0,6.0,7.0,5.0,6.0,4.0,5.0,3.0,5.0,5.0,4.0,2.0,5.0,5.0,4.0,8.0,20.0,9.0,8.0,5.0,7.0
7,2018,1,1,7,2.0,5.0,4.0,2.0,6.0,6.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,2.0,5.0,4.0,4.0,6.0,28.0,8.0,7.0,5.0,9.0
8,2018,1,1,8,2.0,6.0,5.0,3.0,6.0,5.0,4.0,5.0,3.0,4.0,5.0,6.0,5.0,3.0,2.0,5.0,5.0,5.0,7.0,26.0,9.0,5.0,5.0,11.0
9,2018,1,1,9,2.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0,3.0,6.0,6.0,3.0,2.0,6.0,4.0,7.0,6.0,28.0,8.0,6.0,5.0,14.0
10,2018,1,1,10,2.0,3.0,5.0,8.0,5.0,4.0,6.0,8.0,6.0,5.0,6.0,7.0,5.0,3.0,4.0,6.0,3.0,11.0,7.0,14.0,6.0,9.0,6.0,15.0
11,2018,1,1,11,2.0,2.0,4.0,14.0,9.0,3.0,4.0,8.0,6.0,5.0,7.0,6.0,2.0,4.0,5.0,4.0,2.0,12.0,7.0,5.0,5.0,9.0,6.0,14.0
