,year,month,day,hour,万寿西宫,万柳,东四,东四环,东高村,丰台花园,云岗,亦庄,农展馆,前门,北部新区,南三环,古城,大兴,天坛,奥体中心,官园,平谷,永定门内,琉璃河,西直门北,通州,门头沟,顺义
0,2018,1,1,0,-2.4344254e-06,-2.4344254e-06,-2.4344254e-06,-2.4344254e-06,-2.6062835e-06,-2.4344254e-06,-2.79492e-06,-2.4344254e-06,-2.4344254e-06,-2.4344254e-06,-2.79492e-06,-2.4344254e-06,-2.79492e-06,-2.1521182e-06,-2.4344254e-06,-2.4344254e-06,-2.4344254e-06,-2.6062835e-06,-2.4344254e-06,-2.264852e-06,-2.4344254e-06,-2.4344254e-06,-2.79492e-06,-2.4344254e-06
1,2018,1,1,1,-2.4344254e-06,-2.4344254e-06,-2.4344254e-06,-2.4344254e-06,-2.6062835e-06,-2.4344254e-06,-2.79492e-06,-2.4344254e-06,-2.4344254e-06,-2.4344254e-06,-2.79492e-06,-2.4344254e-06,-2.79492e-06,-2.1521182e-06,-2.4344254e-06,-2.4344254e-06,-2.4344254e-06,-2.6062835e-06,-2.4344254e-06,-2.264852e-06,-2.4344254e-06,-2.4344254e-06,-2.79492e-06,-2.4344254e-06
2,2018,1,1,2,-4.384754e-05,-4.384754e-05,-4.384754e-05,-4.384754e-05,-3.5263074e-05,-4.384754e-05,-5.726231e-05,-4.384754e-05,-4.384754e-05,-4.384754e-05,-5.726231e-05,-4.384754e-05,-5.726231e-05,-4.3462438e-05,-4.384754e-05,-4.384754e-05,-4.384754e-05,-3.5263074e-05,-4.384754e-05,-5.1129085e-05,-4.384754e-05,-4.384754e-05,-5.726231e-05,-4.384754e-05
3,2018,1,1,3,-4.384754e-05,-4.384754e-05,-4.384754e-05,-4.384754e-05,-3.5263074e-05,-4.384754e-05,-5.726231e-05,-4.384754e-05,-4.384754e-05,-4.384754e-05,-5.726231e-05,-4.384754e-05,-5.726231e-05,-4.3462438e-05,-4.384754e-05,-4.384754e-05,-4.384754e-05,-3.5263074e-05,-4.384754e-05,-5.1129085e-05,-4.384754e-05,-4.384754e-05,-5.726231e-05,-4.384754e-05
4,2018,1,1,4,-4.384754e-05,-4.384754e-05,-4.384754e-05,-4.384754e-05,-3.5263074e-05,-4.384754e-05,-5.726231e-05,-4.384754e-05,-4.384754e-05,-4.384754e-05,-5.726231e-05,-4.384754e-05,-5.726231e-05,-4.3462438e-05,-4.384754e-05,-4.384754e-05,-4.384754e-05,-3.5263074e-05,-4.384754e-05,-5.1129085e-05,-4.384754e-05,-4.384754e-05,-5.726231e-05,-4.384754e-05
5,2018,1,1,5,-9.960368e-05,-9.960368e-05,-9.960368e-05,-9.960368e-05,-7.451013e-05,-9.960368e-05,-0.00013454504,-9.960368e-05,-9.960368e-05,-9.960368e-05,-0.00013454504,-9.960368e-05,-0.00013454504,-9.352587e-05,-9.960368e-05,-9.960368e-05,-9.960368e-05,-7.451013e-05,-9.960368e-05,-0.0001106827,-9.960368e-05,-9.960368e-05,-0.00013454504,-9.960368e-05
6,2018,1,1,6,-9.960368e-05,-9.960368e-05,-9.960368e-05,-9.960368e-05,-7.451013e-05,-9.960368e-05,-0.00013454504,-9.960368e-05,-9.960368e-05,-9.960368e-05,-0.00013454504,-9.960368e-05,-0.00013454504,-9.352587e-05,-9.960368e-05,-9.960368e-05,-9.960368e-05,-7.451013e-05,-9.960368e-05,-0.0001106827,-9.960368e-05,-9.960368e-05,-0.00013454504,-9.960368e-05
7,2018,1,1,7,-9.960368e-05,-9.960368e-05,-9.960368e-05,-9.960368e-05,-7.451013e-05,-9.960368e-05,-0.00013454504,-9.960368e-05,-9.960368e-05,-9.960368e-05,-0.00013454504,-9.960368e-05,-0.00013454504,-9.352587e-05,-9.960368e-05,-9.960368e-05,-9.960368e-05,-7.451013e-05,-9.960368e-05,-0.0001106827,-9.960368e-05,-9.960368e-05,-0.00013454504,-9.960368e-05
8,2018,1,1,8,-4.314333e-05,-4.314333e-05,-4.314333e-05,-4.314333e-05,-3.2281314e-05,-4.314333e-05,-5.77311e-05,-4.314333e-05,-4.314333e-05,-4.314333e-05,-5.77311e-05,-4.314333e-05,-5.77311e-05,-4.0820145e-05,-4.314333e-05,-4.314333e-05,-4.314333e-05,-3.2281314e-05,-4.314333e-05,-4.9542912e-05,-4.314333e-05,-4.314333e-05,-5.77311e-05,-4.314333e-05
9,2018,1,1,9,-4.314333e-05,-4.314333e-05,-4.314333e-05,-4.314333e-05,-3.2281314e-05,-4.314333e-05,-5.77311e-05,-4.314333e-05,-4.314333e-05,-4.314333e-05,-5.77311e-05,-4.314333e-05,-5.77311e-05,-4.0820145e-05,-4.314333e-05,-4.314333e-05,-4.314333e-05,-3.2281314e-05,-4.314333e-05,-4.9542912e-05,-4.314333e-05,-4.314333e-05,-5.77311e-05,-4.314333e-05
10,2018,1,1,10,-4.314333e-05,-4.314333e-05,-4.314333e-05,-4.314333e-05,-3.2281314e-05,-4.314333e-05,-5.77311e-05,-4.314333e-05,-4.314333e-05,-4.314333e-05,-5.77311e-05,-4.314333e-05,-5.77311e-05,-4.0820145e-05,-4.314333e-05,-4.314333e-05,-4.314333e-05,-3.2281314e-05,-4.314333e-05,-4.9542912e-05,-4.314333e-05,-4.314333e-05,-5.77311e-05,-4.314333e-05
11,2018,1,1,11,-1.9609897e-06,-1.9609897e-06,-1.9609897e-06,-1.9609897e-06,-2.149539e-06,-1.9609897e-06,-2.1972837e-06,-1.9609897e-06,-1.9609897e-06,-1.9609897e-06,-2.1972837e-06,-1.9609897e-06,-2.1972837e-06,-1.7512093e-06,-1.9609897e-06,-1.9609897e-06,-1.9609897e-06,-2.149539e-06,-1.9609897e-06,-2.4306382e-06,-1.9609897e-06,-1.9609897e-06,-2.1972837e-06,-1.9609897e-06
12,2018,1,1,12,-1.9609897e-06,-1.9609897e-06,-1.9609897e-06,-1.9609897e-06,-2.149539e-06,-1.9609897e-06,-2.1972837e-06,-1.9609897e-06,-1.9609897e-06,-1.9609897e-06,-2.1972837e-06,-1.9609897e-06,-2.1972837e-06,-1.7512093e-06,-1.9609897e-06,-1.9609897e-06,-1.9609897e-06,-2.149539e-06,-1.9609897e-06,-2.4306382e-06,-1.9609897e-06,-1.9609897e-06,-2.1972837e-06,-1.9609897e-06
13,2018,1,1,13,-1.9609897e-06,-1.9609897e-06,-1.9609897e-06,-1.9609897e-06,-2.149539e-06,-1.9609897e-06,-2.1972837e-06,-1.9609897e-06,-1.9609897e-06,-1.9609897e-06,-2.1972837e-06,-1.9609897e-06,-2.1972837e-06,-1.7512093e-06,-1.9609897e-06,-1.9609897e-06,-1.9609897e-06,-2.149539e-06,-1.9609897e-06,-2.4306382e-06,-1.9609897e-06,-1.9609897e-06,-2.1972837e-06,-1.9609897e-06
14,2018,1,1,14,-1.4192183e-06,-1.4192183e-06,-1.4192183e-06,-1.4192183e-06,-1.5384276e-06,-1.4192183e-06,-1.6649128e-06,-1.4192183e-06,-1.4192183e-06,-1.4192183e-06,-1.6649128e-06,-1.4192183e-06,-1.6649128e-06,7.60484e-07,-1.4192183e-06,-1.4192183e-06,-1.4192183e-06,-1.5384276e-06,-1.4192183e-06,-1.5786491e-06,-1.4192183e-06,-1.4192183e-06,-1.6649128e-06,-1.4192183e-06
