location,longitude,latitude
A3 [AQ],-0.291853,51.37348
AGRN [AQ],-1.829999,52.437165
ARM6 [AQ],-6.654558,54.353728
BAAR [AQ],-6.274961,54.851491
BALM [AQ],-6.250873,54.861595
BATH [AQ],-2.354155,51.391127
BEX [AQ],0.184806,51.46603
BHA4 [AQ],-2.35503,51.390922
BIR1 [AQ],-1.830583,52.511722
BIR2 [AQ],-1.831498,52.49763
BIRM [AQ],-1.908078,52.479724
BIRR [AQ],-1.875024,52.47609
BIRT [AQ],-1.830861,52.512194
BMLD [AQ],-1.918235,52.481346
BOT [AQ],-0.814722,52.93028
BR11 [AQ],-2.583975,51.457968
BRI [AQ],-0.141655,51.49521
BRIS [AQ],-2.585622,51.45718
BRN [AQ],-0.310121,51.489448
BRS [AQ],-2.578496,51.45365
BRS2 [AQ],-2.583519,51.45603
BRS8 [AQ],-2.584482,51.462839
BRT3 [AQ],-0.147572,50.840836
BURW [AQ],-2.293772,53.559029
BURY [AQ],-2.289611,53.53911
BUSH [AQ],-3.205782,55.862281
BY1 [AQ],0.020128,51.4071
BY2 [AQ],0.018869,51.40555
CA1 [AQ],-0.175269,51.54421
CAMB [AQ],0.037756,51.995804
CAN [AQ],0.567837,51.53308
CAR [AQ],-3.17794,51.482431
CAR2 [AQ],-3.163711,51.48887
CARD [AQ],-3.17625,51.48178
CARL [AQ],-2.945307,54.894834
CHAT [AQ],0.54797,51.374264
CHIL [AQ],-1.424677,50.962706
CLL [AQ],-0.138333,51.494722
CLL2 [AQ],-0.125889,51.52229
CNPR [AQ],-3.152305,51.49096
COBR [AQ],-1.490082,52.407708
CRD [AQ],-0.180564,51.49492
CRD2 [AQ],-0.178709,51.495483
DCC1 [AQ],-2.959861,56.475434
DCST [AQ],-1.138057,53.51824
DERR [AQ],-7.331179,55.002818
DERY [AQ],-7.329115,55.001225
DESA [AQ],-1.469507,52.922983
DUMB [AQ],-4.55973,55.943197
EA8 [AQ],-0.265617,51.51895
EAGL [AQ],-1.358547,54.516667
ECCL [AQ],-2.334139,53.48481
ED [AQ],-3.195775,55.95197
ED2 [AQ],-3.191183,55.94427
ED3 [AQ],-3.182186,55.945589
EDNS [AQ],-3.183991,55.94476
ESK [AQ],-3.206111,55.31531
GGWR [AQ],-4.270936,55.872038
GHSR [AQ],-4.238214,55.860936
GKA8 [AQ],-4.734421,55.944079
GLA [AQ],-4.245959,55.860414
GLA3 [AQ],-4.255161,55.85773
GLA4 [AQ],-4.258889,55.85917
GLAS [AQ],-4.259062,55.858317
GLAZ [AQ],-2.472056,53.46008
GLKP [AQ],-4.243631,55.865782
GRA2 [AQ],-3.710833,56.013142
GRAN [AQ],-3.704399,56.010319
HAR [AQ],-1.325283,51.571078
HIL [AQ],-0.460861,51.49633
HM [AQ],-0.80855,54.334944
HORS [AQ],-0.131931,51.49467
HOVE [AQ],-0.170294,50.82778
HRL [AQ],-0.441614,51.48879
HS1 [AQ],-0.308975,51.48965
INV2 [AQ],-4.241451,57.481308
KC1 [AQ],-0.213492,51.52105
LB [AQ],-1.752006,53.40337
LIVR [AQ],-2.980249,53.40845
LN [AQ],-7.900328,54.43951
LON5 [AQ],-0.128958,51.52378
LON6 [AQ],0.070766,51.45258
LUTR [AQ],-0.46211,51.892293
LV6 [AQ],-2.9625,53.446944
LVP [AQ],-2.844333,53.34633
MACK [AQ],-2.68345,51.05625
MAHG [AQ],-2.239218,53.371306
MAN [AQ],-2.2448,53.4785
MAN3 [AQ],-2.237881,53.48152
MAN4 [AQ],-2.24328,53.369026
MID [AQ],-1.220874,54.569297
MKTH [AQ],-0.772222,52.554444
MY1 [AQ],-0.154611,51.52253
NCA3 [AQ],-1.595362,54.986405
NEWC [AQ],-1.610528,54.97825
NOTT [AQ],-1.146447,52.95473
NWBV [AQ],-1.188851,52.969377
PLYM [AQ],-4.142361,50.37167
PLYR [AQ],-4.130288,50.411058
REA1 [AQ],-0.944067,51.45309
REA5 [AQ],-0.940382,51.454896
READ [AQ],-0.95518,51.45352
ROCH [AQ],0.634889,51.45617
ROTH [AQ],-1.354444,53.43186
SA33 [AQ],-1.463484,50.920265
SALT [AQ],-4.2303,50.4131
SASH [AQ],-4.227678,50.411463
SEND [AQ],0.678408,51.544206
SHBR [AQ],-1.455815,53.40495
SHDG [AQ],-1.478096,53.378622
SHE [AQ],-1.396139,53.41058
SHE2 [AQ],-1.473306,53.37772
SHLW [AQ],-2.742134,53.451826
SK1 [AQ],-0.096667,51.49055
SOM [AQ],-2.735253,51.03572
SOTR [AQ],-1.3159,54.565819
SOUT [AQ],-1.395778,50.90814
STE [AQ],-0.200833,51.886944
STK4 [AQ],-2.161111,53.40306
STKR [AQ],-2.111898,52.980436
STOC [AQ],-2.1582,53.40994
STOK [AQ],-2.175133,53.02821
STOR [AQ],-0.449548,50.916932
SUN2 [AQ],-1.406878,54.88361
SUND [AQ],-1.380081,54.906106
SUNR [AQ],-1.408391,54.91839
SUT1 [AQ],-0.182789,51.36636
SUT3 [AQ],-0.165489,51.36789
SWHO [AQ],-1.765678,51.558061
TED [AQ],-0.339647,51.42099
TED2 [AQ],-0.345606,51.425286
THUR [AQ],0.317969,51.47707
WA2 [AQ],-0.191164,51.45696
WAR [AQ],-2.615358,53.38928
WEYB [AQ],1.122017,52.95049
WL [AQ],-0.200361,51.4938
WSMR [AQ],-2.73168,53.365391
WTHG [AQ],-0.379916,50.832947
YARM [AQ],-1.354319,54.50918
YK10 [AQ],-1.086514,53.967513
YK11 [AQ],-1.075861,53.951889
