,year,month,day,A3 [AQ],AGRN [AQ],ARM6 [AQ],BAAR [AQ],BALM [AQ],BATH [AQ],BEX [AQ],BHA4 [AQ],BIR1 [AQ],BIR2 [AQ],BIRM [AQ],BIRR [AQ],BIRT [AQ],BMLD [AQ],BOT [AQ],BR11 [AQ],BRI [AQ],BRIS [AQ],BRN [AQ],BRS [AQ],BRS2 [AQ],BRS8 [AQ],BRT3 [AQ],BURW [AQ],BURY [AQ],BUSH [AQ],BY1 [AQ],BY2 [AQ],CA1 [AQ],CAMB [AQ],CAN [AQ],CAR [AQ],CAR2 [AQ],CARD [AQ],CARL [AQ],CHAT [AQ],CHIL [AQ],CLL [AQ],CLL2 [AQ],CNPR [AQ],COBR [AQ],CRD [AQ],CRD2 [AQ],DCC1 [AQ],DCST [AQ],DERR [AQ],DERY [AQ],DESA [AQ],DUMB [AQ],EA8 [AQ],EAGL [AQ],ECCL [AQ],ED [AQ],ED2 [AQ],ED3 [AQ],EDNS [AQ],ESK [AQ],GGWR [AQ],GHSR [AQ],GKA8 [AQ],GLA [AQ],GLA3 [AQ],GLA4 [AQ],GLAS [AQ],GLAZ [AQ],GLKP [AQ],GRA2 [AQ],GRAN [AQ],HAR [AQ],HIL [AQ],HM [AQ],HORS [AQ],HOVE [AQ],HRL [AQ],HS1 [AQ],INV2 [AQ],KC1 [AQ],LB [AQ],LIVR [AQ],LN [AQ],LON5 [AQ],LON6 [AQ],LUTR [AQ],LV6 [AQ],LVP [AQ],MACK [AQ],MAHG [AQ],MAN [AQ],MAN3 [AQ],MAN4 [AQ],MID [AQ],MKTH [AQ],MY1 [AQ],NCA3 [AQ],NEWC [AQ],NOTT [AQ],NWBV [AQ],PLYM [AQ],PLYR [AQ],REA1 [AQ],REA5 [AQ],READ [AQ],ROCH [AQ],ROTH [AQ],SA33 [AQ],SALT [AQ],SASH [AQ],SEND [AQ],SHBR [AQ],SHDG [AQ],SHE [AQ],SHE2 [AQ],SHLW [AQ],SK1 [AQ],SOM [AQ],SOTR [AQ],SOUT [AQ],STE [AQ],STK4 [AQ],STKR [AQ],STOC [AQ],STOK [AQ],STOR [AQ],SUN2 [AQ],SUND [AQ],SUNR [AQ],SUT1 [AQ],SUT3 [AQ],SWHO [AQ],TED [AQ],TED2 [AQ],THUR [AQ],WA2 [AQ],WAR [AQ],WEYB [AQ],WL [AQ],WSMR [AQ],WTHG [AQ],YARM [AQ],YK10 [AQ],YK11 [AQ]
0,2016,1,1,28.96,27.47,18.44,19.53,19.44,20.58,29.02,20.58,28.59,28.95,27.95,27.64,28.59,27.95,21.52,22.87,32.9,22.87,34.2,22.87,22.87,24.76,31.61,24.0,24.0,20.76,25.82,25.82,32.53,24.23,24.28,22.71,22.71,22.71,21.6,34.27,26.27,32.9,32.74,20.73,27.23,34.17,34.17,23.97,23.46,20.72,20.72,30.01,22.32,33.11,20.01,25.96,24.45,24.45,24.45,24.45,17.73,24.27,24.07,23.22,24.07,23.61,23.61,23.61,20.8,24.07,29.03,29.03,23.55,32.59,19.93,32.9,31.61,32.59,34.2,22.05,33.61,18.83,25.82,13.82,32.74,26.95,30.55,29.11,24.59,16.41,19.75,25.36,24.69,19.75,22.65,21.42,33.67,25.5,24.46,25.0,25.67,28.13,27.15,29.33,29.33,31.24,24.45,23.77,28.47,25.72,25.72,25.51,26.51,23.46,23.41,23.46,24.63,33.15,16.87,21.75,30.36,28.36,23.42,22.65,23.42,23.55,26.1,22.12,23.58,23.68,28.91,27.57,22.66,28.93,30.31,28.87,33.88,23.11,25.45,34.17,25.18,27.37,20.01,25.09,25.09
1,2016,1,2,16.46,21.62,12.74,11.56,10.44,14.78,17.29,14.78,19.36,20.12,20.47,20.25,19.36,20.47,15.67,16.61,18.25,16.61,18.21,16.61,16.61,17.92,23.67,13.06,13.06,7.55,15.67,15.67,18.93,15.59,16.49,18.4,18.4,18.4,11.36,21.67,16.03,18.25,18.97,16.73,20.29,18.9,18.9,18.75,16.47,21.9,21.9,20.82,8.11,18.07,15.63,14.58,9.63,9.63,9.63,9.63,7.49,10.35,10.13,8.92,10.13,10.07,10.07,10.07,12.85,10.13,10.61,10.61,13.41,17.33,18.1,18.25,23.67,17.33,18.21,7.92,18.89,9.25,25.19,7.34,18.97,16.82,18.45,29.85,20.06,14.09,13.94,14.7,13.76,13.94,19.31,14.76,18.97,26.51,26.37,17.85,18.71,24.18,25.23,17.28,17.28,17.47,16.3,15.66,17.04,21.9,21.9,17.75,16.42,16.58,14.77,16.58,18.4,18.48,14.14,18.48,19.68,17.34,14.72,16.15,14.72,15.91,17.62,27.46,31.44,28.39,16.88,16.13,15.17,16.27,16.7,17.52,18.1,17.21,23.4,18.9,19.96,20.55,15.63,20.4,20.4
2,2016,1,3,19.51,13.83,12.28,12.53,11.94,17.43,17.91,17.43,15.35,15.45,13.9,13.78,15.35,13.9,9.96,18.76,21.01,18.76,21.84,18.76,18.76,19.85,23.3,14.24,14.24,3.96,17.53,17.53,21.33,13.45,15.08,18.15,18.15,18.15,6.75,22.15,20.0,21.01,20.94,17.54,14.65,21.48,21.48,17.73,11.8,15.23,15.23,17.94,4.47,20.94,5.39,14.79,6.1,6.1,6.1,6.1,3.28,5.8,5.51,5.24,5.51,5.58,5.58,5.58,11.2,5.51,6.42,6.42,14.88,20.77,5.71,21.01,23.3,20.77,21.84,7.98,21.39,8.16,15.7,9.6,20.94,18.0,16.14,20.03,12.21,17.1,10.71,14.87,14.48,10.71,7.69,11.08,21.3,11.87,11.59,13.49,13.7,24.5,25.93,20.71,20.71,20.95,15.69,12.08,20.77,21.9,21.9,15.89,13.04,11.34,12.04,11.34,15.03,21.08,17.29,7.02,23.76,15.9,14.65,11.03,14.65,12.69,18.96,11.91,14.83,12.65,20.01,18.97,16.33,19.17,20.12,17.22,20.97,12.45,10.6,21.48,14.17,20.68,5.39,9.92,9.92
3,2016,1,4,19.13,17.97,13.41,13.33,11.89,18.72,17.73,18.72,21.49,21.64,18.56,18.31,21.49,18.56,18.46,17.73,24.36,17.73,23.92,17.73,17.73,19.13,20.8,18.24,18.24,6.32,16.88,16.88,25.7,26.65,13.91,13.45,13.45,13.45,13.24,20.06,25.08,24.36,26.27,13.08,18.42,25.42,25.42,22.05,22.64,22.04,22.04,26.74,6.19,23.04,13.64,19.79,8.47,8.47,8.47,8.47,7.63,8.49,8.19,6.67,8.19,8.13,8.13,8.13,16.34,8.19,11.02,11.02,19.79,25.48,13.49,24.36,20.8,25.48,23.92,22.99,23.96,14.02,20.35,12.59,26.27,18.16,26.18,24.93,16.45,20.45,15.26,19.06,18.09,15.26,15.93,20.15,25.96,16.14,16.29,21.45,22.54,29.89,31.04,27.07,27.07,27.1,13.23,21.44,25.89,24.05,24.05,13.88,22.5,21.12,20.58,21.12,19.97,24.04,19.68,15.46,27.66,28.03,18.09,18.13,18.09,18.93,15.74,15.81,16.73,15.81,19.88,18.54,20.42,19.4,20.98,15.31,23.92,18.14,22.14,25.42,19.85,17.63,13.64,23.91,23.91
4,2016,1,5,22.61,22.56,12.97,11.56,9.88,15.2,20.72,15.2,27.37,28.79,24.36,23.63,27.37,24.36,14.2,18.77,27.44,18.77,25.68,18.77,18.77,21.47,21.25,19.17,19.17,8.31,17.88,17.88,22.72,15.07,13.72,21.32,21.32,21.32,7.59,22.69,13.62,27.44,22.93,21.34,18.67,29.16,29.16,21.27,18.46,19.84,19.84,29.51,10.04,21.81,10.39,22.59,13.73,13.73,13.73,13.73,3.68,12.2,12.06,10.62,12.06,11.24,11.24,11.24,18.78,12.06,15.75,15.75,9.09,24.98,9.1,27.44,21.25,24.98,25.68,28.13,27.16,10.87,42.42,9.38,22.93,21.26,20.2,43.68,32.46,7.86,16.62,22.42,20.45,16.62,16.89,14.1,25.5,13.75,15.02,21.36,23.29,12.82,15.36,28.25,28.25,23.73,12.41,18.53,17.57,9.02,9.02,12.71,20.91,21.22,17.07,21.22,28.02,32.48,8.11,14.9,26.1,21.52,19.3,21.91,19.3,21.06,12.12,13.13,13.99,13.02,23.92,21.26,13.49,20.55,22.43,17.6,27.35,25.59,10.96,29.16,28.24,14.58,10.39,20.26,20.26
5,2016,1,6,26.36,34.77,14.06,13.85,12.64,19.34,29.84,19.34,30.77,34.76,34.15,32.89,30.77,34.15,23.61,22.39,31.19,22.39,29.92,22.39,22.39,23.0,23.87,34.24,34.24,13.36,28.02,28.02,29.45,21.49,27.1,23.13,23.13,23.13,12.36,44.17,17.09,31.19,29.89,21.31,31.25,31.47,31.47,30.26,28.43,19.76,19.76,39.19,10.25,28.84,10.93,36.81,16.87,16.87,16.87,16.87,8.19,11.83,11.54,10.61,11.54,11.42,11.42,11.42,31.01,11.54,18.91,18.91,17.72,25.2,10.85,31.19,23.87,25.2,29.92,19.46,30.13,15.0,46.89,10.67,29.89,32.84,23.98,57.66,37.73,13.7,28.05,35.85,35.07,28.05,14.32,19.97,31.09,17.82,17.72,32.4,32.43,16.1,18.46,27.9,27.9,27.21,27.15,28.19,18.18,13.49,13.49,26.48,28.62,25.3,26.5,25.3,42.5,32.63,13.68,13.02,22.67,25.37,33.94,30.84,33.94,33.5,17.27,17.0,20.52,18.46,27.55,25.54,20.04,24.93,25.77,31.58,28.18,35.87,13.48,31.47,39.68,16.79,10.93,16.23,16.23
6,2016,1,7,19.44,19.06,19.5,18.11,18.9,19.99,18.98,19.99,20.1,20.58,19.82,19.14,20.1,19.82,17.38,22.82,20.54,22.82,21.01,22.82,22.82,23.26,25.05,22.34,22.34,12.02,18.25,18.25,20.57,14.67,16.47,24.69,24.69,24.69,15.52,23.01,18.3,20.54,20.61,23.92,19.05,21.24,21.24,11.65,21.73,23.83,23.83,23.71,13.45,20.47,14.95,22.82,14.1,14.1,14.1,14.1,12.69,15.83,15.7,14.33,15.7,15.32,15.32,15.32,20.65,15.7,16.67,16.67,15.86,19.72,13.81,20.54,25.05,19.72,21.01,9.43,21.1,16.7,24.66,19.72,20.61,19.24,18.03,27.55,22.67,19.1,19.63,22.82,22.61,19.63,16.58,16.35,21.3,14.92,15.04,20.49,20.4,26.8,29.79,21.44,21.44,21.25,16.55,20.91,20.86,23.78,23.78,17.08,21.59,20.12,20.51,20.12,24.51,20.74,19.35,15.43,24.24,17.7,22.92,18.4,22.92,19.2,18.51,14.54,17.58,16.36,20.38,19.25,18.49,19.07,19.69,18.91,20.2,22.65,15.59,21.24,23.24,20.78,14.95,20.48,20.48
7,2016,1,8,24.69,24.05,13.67,15.63,17.81,24.46,26.4,24.46,28.05,27.34,25.18,25.47,28.05,25.18,21.8,27.89,28.69,27.89,28.37,27.89,27.89,30.52,28.3,19.99,19.99,21.7,24.97,24.97,29.05,23.4,24.16,25.16,25.16,25.16,15.29,32.31,21.76,28.69,29.96,24.21,25.47,28.67,28.67,13.72,21.45,20.34,20.34,37.63,23.23,27.13,16.1,19.63,26.11,26.11,26.11,26.11,15.04,29.89,29.91,23.89,29.91,29.62,29.62,29.62,13.66,29.91,32.36,32.36,20.06,28.55,18.01,28.69,28.3,28.55,28.37,8.61,27.66,13.79,15.67,7.8,29.96,25.63,24.67,19.2,14.08,20.04,15.9,20.34,19.98,15.9,18.56,21.38,30.01,19.75,17.79,27.21,27.36,22.01,24.98,26.21,26.21,27.2,25.99,21.43,22.45,20.24,20.24,25.71,21.74,18.78,20.63,18.78,17.21,28.45,20.24,17.74,27.43,26.42,20.38,19.6,20.38,22.21,23.9,15.41,17.34,20.51,25.51,24.51,22.27,23.71,24.9,25.65,27.54,14.59,24.69,28.67,16.4,25.01,16.1,21.42,21.42
8,2016,1,9,17.55,11.23,15.37,12.02,9.02,12.1,16.98,12.1,13.87,13.58,12.48,11.72,13.87,12.48,9.98,13.79,19.34,13.79,18.94,13.79,13.79,15.55,21.47,15.42,15.42,7.98,16.44,16.44,20.0,16.21,14.73,13.09,13.09,13.09,8.56,20.47,15.24,19.34,19.84,11.82,11.5,19.84,19.84,13.24,13.14,19.15,19.15,16.74,11.0,18.5,9.71,16.5,11.34,11.34,11.34,11.34,4.77,11.99,11.4,11.02,11.4,10.56,10.56,10.56,10.51,11.4,12.49,12.49,11.53,18.56,9.82,19.34,21.47,18.56,18.94,8.52,19.39,8.96,13.96,8.47,19.84,16.75,15.88,18.91,12.14,11.9,11.58,15.34,15.24,11.58,14.26,11.14,19.87,15.0,13.24,13.79,13.78,16.28,17.23,16.33,16.33,16.69,13.55,13.88,15.42,13.48,13.48,14.12,14.61,13.11,13.71,13.11,14.43,19.58,11.94,11.56,18.03,16.92,14.5,13.15,14.5,15.18,16.24,10.44,8.94,10.66,18.07,17.5,11.62,16.89,17.06,16.03,19.2,11.83,15.05,19.84,13.3,17.93,9.71,13.04,13.04
9,2016,1,10,20.66,13.41,8.77,8.96,10.15,17.23,20.04,17.23,15.08,15.22,13.48,13.86,15.08,13.48,10.43,19.46,22.41,19.46,23.06,19.46,19.46,21.17,22.59,9.73,9.73,5.59,18.86,18.86,22.74,17.72,17.23,15.44,15.44,15.44,8.71,24.33,18.54,22.41,22.56,15.14,13.46,22.77,22.77,5.2,9.13,12.53,12.53,16.76,5.8,22.08,7.49,9.76,7.9,7.9,7.9,7.9,4.65,9.0,8.89,6.34,8.89,8.35,8.35,8.35,7.29,8.89,8.25,8.25,14.58,22.29,7.19,22.41,22.59,22.29,23.06,4.25,22.56,5.28,11.86,6.89,22.56,19.9,18.09,14.78,8.89,15.65,6.62,9.65,9.55,6.62,9.16,10.85,22.85,8.89,8.29,13.06,13.1,19.86,23.65,21.86,21.86,21.56,17.98,8.97,21.64,17.67,17.67,18.09,9.19,8.18,8.36,8.18,10.68,22.76,15.61,8.29,27.77,19.13,9.7,8.2,9.7,10.03,17.66,7.46,7.84,9.14,21.47,20.09,15.72,20.36,21.3,19.04,22.12,8.25,14.26,22.77,9.93,19.34,7.49,9.52,9.52
