,year,month,day,A3 [AQ],AGRN [AQ],ARM6 [AQ],BAAR [AQ],BALM [AQ],BATH [AQ],BEX [AQ],BHA4 [AQ],BIR1 [AQ],BIR2 [AQ],BIRM [AQ],BIRR [AQ],BIRT [AQ],BMLD [AQ],BOT [AQ],BR11 [AQ],BRI [AQ],BRIS [AQ],BRN [AQ],BRS [AQ],BRS2 [AQ],BRS8 [AQ],BRT3 [AQ],BURW [AQ],BURY [AQ],BUSH [AQ],BY1 [AQ],BY2 [AQ],CA1 [AQ],CAMB [AQ],CAN [AQ],CAR [AQ],CAR2 [AQ],CARD [AQ],CARL [AQ],CHAT [AQ],CHIL [AQ],CLL [AQ],CLL2 [AQ],CNPR [AQ],COBR [AQ],CRD [AQ],CRD2 [AQ],DCC1 [AQ],DCST [AQ],DERR [AQ],DERY [AQ],DESA [AQ],DUMB [AQ],EA8 [AQ],EAGL [AQ],ECCL [AQ],ED [AQ],ED2 [AQ],ED3 [AQ],EDNS [AQ],ESK [AQ],GGWR [AQ],GHSR [AQ],GKA8 [AQ],GLA [AQ],GLA3 [AQ],GLA4 [AQ],GLAS [AQ],GLAZ [AQ],GLKP [AQ],GRA2 [AQ],GRAN [AQ],HAR [AQ],HIL [AQ],HM [AQ],HORS [AQ],HOVE [AQ],HRL [AQ],HS1 [AQ],INV2 [AQ],KC1 [AQ],LB [AQ],LIVR [AQ],LN [AQ],LON5 [AQ],LON6 [AQ],LUTR [AQ],LV6 [AQ],LVP [AQ],MACK [AQ],MAHG [AQ],MAN [AQ],MAN3 [AQ],MAN4 [AQ],MID [AQ],MKTH [AQ],MY1 [AQ],NCA3 [AQ],NEWC [AQ],NOTT [AQ],NWBV [AQ],PLYM [AQ],PLYR [AQ],REA1 [AQ],REA5 [AQ],READ [AQ],ROCH [AQ],ROTH [AQ],SA33 [AQ],SALT [AQ],SASH [AQ],SEND [AQ],SHBR [AQ],SHDG [AQ],SHE [AQ],SHE2 [AQ],SHLW [AQ],SK1 [AQ],SOM [AQ],SOTR [AQ],SOUT [AQ],STE [AQ],STK4 [AQ],STKR [AQ],STOC [AQ],STOK [AQ],STOR [AQ],SUN2 [AQ],SUND [AQ],SUNR [AQ],SUT1 [AQ],SUT3 [AQ],SWHO [AQ],TED [AQ],TED2 [AQ],THUR [AQ],WA2 [AQ],WAR [AQ],WEYB [AQ],WL [AQ],WSMR [AQ],WTHG [AQ],YARM [AQ],YK10 [AQ],YK11 [AQ]
0,2016,1,1,100630.7175,99913.2825,99035.28,99792.1575,99792.1575,99968.78,100909.155,99968.78,99913.2825,99913.2825,99913.2825,99913.2825,99913.2825,99913.2825,100740.845,99729.5925,100630.7175,99729.5925,100630.7175,99729.5925,99729.5925,99729.5925,100918.905,99575.9675,99575.9675,99460.0325,100909.155,100909.155,100630.7175,100946.845,101172.7175,99521.8425,99521.8425,99521.8425,98694.845,101172.7175,100579.0925,100630.7175,100630.7175,99521.8425,100172.4675,100630.7175,100630.7175,100037.155,100211.2175,99103.095,99103.095,100150.72,99029.345,100630.7175,100018.595,99575.9675,99460.0325,99460.0325,99460.0325,99460.0325,98643.7825,98795.97,98795.97,99029.345,98795.97,98795.97,98795.97,98795.97,99575.9675,98795.97,99063.655,99063.655,100127.155,100630.7175,101006.0325,100630.7175,100918.905,100630.7175,100630.7175,97230.595,100630.7175,99553.72,99806.655,98728.28,100630.7175,100909.155,100583.7175,99806.655,99806.655,100023.28,99575.9675,99575.9675,99575.9675,99575.9675,100018.595,100445.095,100630.7175,99577.095,99577.095,100150.72,100150.72,99771.22,99771.22,100345.7825,100345.7825,100345.7825,101172.7175,100211.2175,100579.0925,99771.22,99771.22,101172.7175,100211.2175,100211.2175,100211.2175,100211.2175,99806.655,100630.7175,100023.28,100018.595,100579.0925,100583.7175,99575.9675,99586.845,99575.9675,99586.845,100918.905,100585.28,100585.28,100585.28,100630.7175,100630.7175,100019.2825,100630.7175,100630.7175,100909.155,100630.7175,99806.655,101671.405,100630.7175,99806.655,100918.905,100018.595,99799.905,99799.905
1,2016,1,2,98786.72,98209.9075,98496.0325,99085.78,99085.78,98414.5925,99052.655,98414.5925,98209.9075,98209.9075,98209.9075,98209.9075,98209.9075,98209.9075,98945.905,98318.0325,98786.72,98318.0325,98786.72,98318.0325,98318.0325,98318.0325,99171.0325,98084.22,98084.22,98292.7825,99052.655,99052.655,98786.72,99035.28,99325.0325,98282.6575,98282.6575,98282.6575,97419.095,99325.0325,98918.2825,98786.72,98786.72,98282.6575,98383.9075,98786.72,98786.72,98877.595,98558.4075,98613.03,98613.03,98421.3425,98029.1575,98786.72,98520.47,98084.22,98292.7825,98292.7825,98292.7825,98292.7825,97458.22,97732.405,97732.405,98029.1575,97732.405,97732.405,97732.405,97732.405,98084.22,97732.405,97945.28,97945.28,98376.7175,98786.72,99452.72,98786.72,99171.0325,98786.72,98786.72,96370.4075,98786.72,97980.595,98407.345,98431.5325,98786.72,99052.655,98689.72,98407.345,98407.345,98726.595,98084.22,98084.22,98084.22,98084.22,98520.47,98594.47,98786.72,98193.595,98193.595,98421.3425,98421.3425,99243.9675,99243.9675,98537.6575,98537.6575,98537.6575,99325.0325,98558.4075,98918.2825,99243.9675,99243.9675,99325.0325,98558.4075,98558.4075,98558.4075,98558.4075,98407.345,98786.72,98726.595,98520.47,98918.2825,98689.72,98084.22,98034.78,98084.22,98034.78,99171.0325,99144.53,99144.53,99144.53,98786.72,98786.72,98355.7175,98786.72,98786.72,99052.655,98786.72,98407.345,99855.47,98786.72,98407.345,99171.0325,98520.47,98228.6575,98228.6575
2,2016,1,3,97818.5925,96974.1575,96391.7825,97071.845,97071.845,97257.155,98089.905,97257.155,96974.1575,96974.1575,96974.1575,96974.1575,96974.1575,96974.1575,97687.97,97085.47,97818.5925,97085.47,97818.5925,97085.47,97085.47,97085.47,98201.7175,96608.095,96608.095,96671.2175,98089.905,98089.905,97818.5925,98032.7175,98358.095,96972.53,96972.53,96972.53,95796.405,98358.095,97900.7175,97818.5925,97818.5925,96972.53,97202.28,97818.5925,97818.5925,97333.155,97158.345,96488.595,96488.595,97127.2825,96301.5325,97818.5925,96987.7825,96608.095,96671.2175,96671.2175,96671.2175,96671.2175,95812.845,96052.28,96052.28,96301.5325,96052.28,96052.28,96052.28,96052.28,96608.095,96052.28,96297.7825,96297.7825,97348.5325,97818.5925,97945.2825,97818.5925,98201.7175,97818.5925,97818.5925,94970.7825,97818.5925,96547.9075,96882.0925,96191.53,97818.5925,98089.905,97672.095,96882.0925,96882.0925,97510.905,96608.095,96608.095,96608.095,96608.095,96987.7825,97453.845,97818.5925,96607.4675,96607.4675,97127.2825,97127.2825,97734.095,97734.095,97545.9075,97545.9075,97545.9075,98358.095,97158.345,97900.7175,97734.095,97734.095,98358.095,97158.345,97158.345,97158.345,97158.345,96882.0925,97818.5925,97510.905,96987.7825,97900.7175,97672.095,96608.095,96642.97,96608.095,96642.97,98201.7175,97572.405,97572.405,97572.405,97818.5925,97818.5925,97270.28,97818.5925,97818.5925,98089.905,97818.5925,96882.0925,98716.9075,97818.5925,96882.0925,98201.7175,96987.7825,96754.595,96754.595
3,2016,1,4,97412.5325,96618.47,96339.155,97038.1575,97038.1575,96935.155,97644.2825,96935.155,96618.47,96618.47,96618.47,96618.47,96618.47,96618.47,97282.5925,96750.9075,97412.5325,96750.9075,97412.5325,96750.9075,96750.9075,96750.9075,97830.345,96269.2175,96269.2175,96462.6575,97644.2825,97644.2825,97412.5325,97564.6575,97868.22,96609.78,96609.78,96609.78,95514.7825,97868.22,97583.78,97412.5325,97412.5325,96609.78,96829.2825,97412.5325,97412.5325,97126.7825,96784.97,96541.78,96541.78,96751.6575,96181.845,97412.5325,96627.1575,96269.2175,96462.6575,96462.6575,96462.6575,96462.6575,95575.5925,95896.8425,95896.8425,96181.845,95896.8425,95896.8425,95896.8425,95896.8425,96269.2175,95896.8425,96113.845,96113.845,97007.5325,97412.5325,97545.5925,97412.5325,97830.345,97412.5325,97412.5325,94887.845,97412.5325,96196.845,96549.905,96239.2825,97412.5325,97644.2825,97244.8425,96549.905,96549.905,97185.03,96269.2175,96269.2175,96269.2175,96269.2175,96627.1575,97053.095,97412.5325,96289.655,96289.655,96751.6575,96751.6575,97350.28,97350.28,97177.0925,97177.0925,97177.0925,97868.22,96784.97,97583.78,97350.28,97350.28,97868.22,96784.97,96784.97,96784.97,96784.97,96549.905,97412.5325,97185.03,96627.1575,97583.78,97244.8425,96269.2175,96296.28,96269.2175,96296.28,97830.345,97230.0925,97230.0925,97230.0925,97412.5325,97412.5325,96944.595,97412.5325,97412.5325,97644.2825,97412.5325,96549.905,98098.095,97412.5325,96549.905,97830.345,96627.1575,96387.97,96387.97
4,2016,1,5,97731.28,97101.2825,97430.7175,98052.47,98052.47,97367.9075,97947.72,97367.9075,97101.2825,97101.2825,97101.2825,97101.2825,97101.2825,97101.2825,97724.595,97219.845,97731.28,97219.845,97731.28,97219.845,97219.845,97219.845,98096.7825,96811.845,96811.845,97158.03,97947.72,97947.72,97731.28,97911.0925,98162.2825,97119.155,97119.155,97119.155,96086.405,98162.2825,97893.345,97731.28,97731.28,97119.155,97280.03,97731.28,97731.28,97786.4075,97258.155,97708.3425,97708.3425,97221.1575,96987.03,97731.28,97094.28,96811.845,97158.03,97158.03,97158.03,97158.03,96226.0925,96657.47,96657.47,96987.03,96657.47,96657.47,96657.47,96657.47,96811.845,96657.47,96842.405,96842.405,97373.655,97731.28,97992.7175,97731.28,98096.7825,97731.28,97731.28,95546.155,97731.28,96701.22,97135.22,97479.4075,97731.28,97947.72,97609.9075,97135.22,97135.22,97598.905,96811.845,96811.845,96811.845,96811.845,97094.28,97476.095,97731.28,96798.47,96798.47,97221.1575,97221.1575,97843.22,97843.22,97518.095,97518.095,97518.095,98162.2825,97258.155,97893.345,97843.22,97843.22,98162.2825,97258.155,97258.155,97258.155,97258.155,97135.22,97731.28,97598.905,97094.28,97893.345,97609.9075,96811.845,96834.28,96811.845,96834.28,98096.7825,97716.78,97716.78,97716.78,97731.28,97731.28,97341.9675,97731.28,97731.28,97947.72,97731.28,97135.22,98475.0925,97731.28,97135.22,98096.7825,97094.28,96852.405,96852.405
5,2016,1,6,98754.2825,98095.4675,97551.53,98184.72,98184.72,98373.28,98954.97,98373.28,98095.4675,98095.4675,98095.4675,98095.4675,98095.4675,98095.4675,98729.8425,98213.2175,98754.2825,98213.2175,98754.2825,98213.2175,98213.2175,98213.2175,99097.2825,97735.5325,97735.5325,97675.4675,98954.97,98954.97,98754.2825,98934.9075,99141.8425,98093.9675,98093.9675,98093.9675,96867.8425,99141.8425,98914.4075,98754.2825,98754.2825,98093.9675,98288.2175,98754.2825,98754.2825,98282.4675,98228.5325,97577.345,97577.345,98208.595,97269.78,98754.2825,98041.72,97735.5325,97675.4675,97675.4675,97675.4675,97675.4675,96851.1575,97026.905,97026.905,97269.78,97026.905,97026.905,97026.905,97026.905,97735.5325,97026.905,97287.03,97287.03,98394.155,98754.2825,98970.845,98754.2825,99097.2825,98754.2825,98754.2825,95626.72,98754.2825,97645.8425,98035.2825,97306.3425,98754.2825,98954.97,98640.595,98035.2825,98035.2825,98590.845,97735.5325,97735.5325,97735.5325,97735.5325,98041.72,98495.5925,98754.2825,97674.03,97674.03,98208.595,98208.595,98711.845,98711.845,98541.345,98541.345,98541.345,99141.8425,98228.5325,98914.4075,98711.845,98711.845,99141.8425,98228.5325,98228.5325,98228.5325,98228.5325,98035.2825,98754.2825,98590.845,98041.72,98914.4075,98640.595,97735.5325,97786.155,97735.5325,97786.155,99097.2825,98632.1575,98632.1575,98632.1575,98754.2825,98754.2825,98354.9675,98754.2825,98754.2825,98954.97,98754.2825,98035.2825,99460.1575,98754.2825,98035.2825,99097.2825,98041.72,97807.22,97807.22
6,2016,1,7,98059.5325,97462.155,97422.53,97872.095,97872.095,98060.8425,98179.5325,98060.8425,97462.155,97462.155,97462.155,97462.155,97462.155,97462.155,97749.345,97984.5925,98059.5325,97984.5925,98059.5325,97984.5925,97984.5925,97984.5925,98536.7825,96951.7825,96951.7825,96440.345,98179.5325,98179.5325,98059.5325,98032.3425,98302.155,97945.595,97945.595,97945.595,95785.7825,98302.155,98523.345,98059.5325,98059.5325,97945.595,97549.1575,98059.5325,98059.5325,96850.1575,97210.845,97441.3425,97441.3425,97332.8425,96411.7825,98059.5325,96769.28,96951.7825,96440.345,96440.345,96440.345,96440.345,95752.2175,96040.1575,96040.1575,96411.7825,96040.1575,96040.1575,96040.1575,96040.1575,96951.7825,96040.1575,96171.6575,96171.6575,97894.845,98059.5325,97616.7825,98059.5325,98536.7825,98059.5325,98059.5325,94488.53,98059.5325,96739.5325,97380.595,97362.78,98059.5325,98179.5325,97822.655,97380.595,97380.595,98453.845,96951.7825,96951.7825,96951.7825,96951.7825,96769.28,97649.1575,98059.5325,96375.2175,96375.2175,97332.8425,97332.8425,98867.2825,98867.2825,97943.7825,97943.7825,97943.7825,98302.155,97210.845,98523.345,98867.2825,98867.2825,98302.155,97210.845,97210.845,97210.845,97210.845,97380.595,98059.5325,98453.845,96769.28,98523.345,97822.655,96951.7825,97135.3425,96951.7825,97135.3425,98536.7825,97243.22,97243.22,97243.22,98059.5325,98059.5325,97953.5325,98059.5325,98059.5325,98179.5325,98059.5325,97380.595,98218.155,98059.5325,97380.595,98536.7825,96769.28,96651.9075,96651.9075
7,2016,1,8,99000.25,98180.5,97743.9375,98316.0625,98316.0625,98550.25,99228.6875,98550.25,98180.5,98180.5,98180.5,98180.5,98180.5,98180.5,98748.375,98380.8125,99000.25,98380.8125,99000.25,98380.8125,98380.8125,98380.8125,99395.25,97666.3125,97666.3125,97338.25,99228.6875,99228.6875,99000.25,99148.0,99447.5,98256.875,98256.875,98256.875,96577.0,99447.5,99160.6875,99000.25,99000.25,98256.875,98378.9375,99000.25,99000.25,97802.875,98148.3125,97824.6875,97824.6875,98219.5,97158.875,99000.25,97748.9375,97666.3125,97338.25,97338.25,97338.25,97338.25,96559.875,96838.5625,96838.5625,97158.875,96838.5625,96838.5625,96838.5625,96838.5625,97666.3125,96838.5625,97022.25,97022.25,98601.0,99000.25,98676.1875,99000.25,99395.25,99000.25,99000.25,95387.0,99000.25,97568.0625,97984.0625,97622.6875,99000.25,99228.6875,98827.0,97984.0625,97984.0625,98787.9375,97666.3125,97666.3125,97666.3125,97666.3125,97748.9375,98595.5625,99000.25,97306.625,97306.625,98219.5,98219.5,98928.9375,98928.9375,98766.6875,98766.6875,98766.6875,99447.5,98148.3125,99160.6875,98928.9375,98928.9375,99447.5,98148.3125,98148.3125,98148.3125,98148.3125,97984.0625,99000.25,98787.9375,97748.9375,99160.6875,98827.0,97666.3125,97795.75,97666.3125,97795.75,99395.25,98240.8125,98240.8125,98240.8125,99000.25,99000.25,98546.875,99000.25,99000.25,99228.6875,99000.25,97984.0625,99573.875,99000.25,97984.0625,99395.25,97748.9375,97623.875,97623.875
8,2016,1,9,97937.315,96989.75,96627.435,97272.94,97272.94,97279.25,98227.56,97279.25,96989.75,96989.75,96989.75,96989.75,96989.75,96989.75,97726.125,97073.375,97937.315,97073.375,97937.315,97073.375,97073.375,97073.375,98349.0,96579.685,96579.685,96601.75,98227.56,98227.56,97937.315,98149.94,98511.56,96915.06,96915.06,96915.06,95744.0,98511.56,98007.5,97937.315,97937.315,96915.06,97242.5,97937.315,97937.315,97154.875,97149.065,96784.875,96784.875,97149.065,96342.185,97937.315,96907.0,96579.685,96601.75,96601.75,96601.75,96601.75,95766.31,96053.625,96053.625,96342.185,96053.625,96053.625,96053.625,96053.625,96579.685,96053.625,96264.375,96264.375,97424.565,97937.315,97854.0,97937.315,98349.0,97937.315,97937.315,94798.125,97937.315,96529.625,96851.25,96525.875,97937.315,98227.56,97770.0,96851.25,96851.25,97506.125,96579.685,96579.685,96579.685,96579.685,96907.0,97517.81,97937.315,96510.435,96510.435,97149.065,97149.065,97566.75,97566.75,97644.31,97644.31,97644.31,98511.56,97149.065,98007.5,97566.75,97566.75,98511.56,97149.065,97149.065,97149.065,97149.065,96851.25,97937.315,97506.125,96907.0,98007.5,97770.0,96579.685,96625.875,96579.685,96625.875,98349.0,97455.25,97455.25,97455.25,97937.315,97937.315,97321.06,97937.315,97937.315,98227.56,97937.315,96851.25,98739.185,97937.315,96851.25,98349.0,96907.0,96714.75,96714.75
9,2016,1,10,97756.5,96925.375,96233.875,96634.375,96634.375,97347.625,97975.685,97347.625,96925.375,96925.375,96925.375,96925.375,96925.375,96925.375,97441.185,97184.75,97756.5,97184.75,97756.5,97184.75,97184.75,97184.75,98187.815,96354.75,96354.75,95271.19,97975.685,97975.685,97756.5,97861.125,98186.25,97064.19,97064.19,97064.19,94901.435,98186.25,97966.19,97756.5,97756.5,97064.19,97110.75,97756.5,97756.5,95603.685,96814.435,96196.94,96196.94,96927.5,95142.44,97756.5,96203.25,96354.75,95271.19,95271.19,95271.19,95271.19,94696.375,94815.315,94815.315,95142.44,94815.315,94815.315,94815.315,94815.315,96354.75,94815.315,94978.94,94978.94,97380.125,97756.5,97119.31,97756.5,98187.815,97756.5,97756.5,93249.0,97756.5,96248.75,96673.875,96171.625,97756.5,97975.685,97554.0,96673.875,96673.875,97611.0,96354.75,96354.75,96354.75,96354.75,96203.25,97313.31,97756.5,95585.375,95585.375,96927.5,96927.5,97780.44,97780.44,97535.065,97535.065,97535.065,98186.25,96814.435,97966.19,97780.44,97780.44,98186.25,96814.435,96814.435,96814.435,96814.435,96673.875,97756.5,97611.0,96203.25,97966.19,97554.0,96354.75,96526.25,96354.75,96526.25,98187.815,96507.56,96507.56,96507.56,97756.5,97756.5,97336.375,97756.5,97756.5,97975.685,97756.5,96673.875,98216.565,97756.5,96673.875,98187.815,96203.25,96213.935,96213.935
