time,PM2.5,humidity,temperature
2021-01-01 00:00:00,34.8,67.6,16.1
2021-01-01 01:00:00,47.1,65.9,16.0
2021-01-01 02:00:00,41.7,63.6,15.7
2021-01-01 03:00:00,55.48,71.3,15.2
2021-01-01 04:00:00,63.44,68.8,14.5
2021-01-01 05:00:00,54.2,66.9,13.8
2021-01-01 06:00:00,47.5,65.3,13.7
2021-01-01 07:00:00,60.4,69.6,13.1
2021-01-01 08:00:00,54.7,68.2,13.0
2021-01-01 09:00:00,56.7,57.3,14.0
2021-01-01 10:00:00,35.3,47.3,15.6
2021-01-01 11:00:00,31.4,42.7,16.9
2021-01-01 12:00:00,34.2,40.8,17.3
2021-01-01 13:00:00,30.2,38.4,18.0
2021-01-01 14:00:00,28.9,37.0,18.5
2021-01-01 15:00:00,28.2,36.7,18.9
2021-01-01 16:00:00,29.3,37.9,19.0
2021-01-01 17:00:00,31.8,40.0,18.7
2021-01-01 18:00:00,35.0,43.5,18.2
2021-01-01 19:00:00,44.7,47.6,17.5
2021-01-01 20:00:00,66.1,52.9,17.0
2021-01-01 21:00:00,62.2,57.9,16.8
2021-01-01 22:00:00,75.7,60.2,16.5
2021-01-01 23:00:00,72.32,60.1,16.2
2021-01-02 00:00:00,84.52,62.5,16.1
2021-01-02 01:00:00,85.56,69.4,15.8
2021-01-02 02:00:00,97.44,70.0,15.5
2021-01-02 03:00:00,103.66,69.9,15.1
2021-01-02 04:00:00,86.95,73.9,14.9
2021-01-02 05:00:00,104.11,75.0,14.4
2021-01-02 06:00:00,84.84,75.2,13.8
2021-01-02 07:00:00,64.2,72.0,13.5
2021-01-02 08:00:00,67.04,71.1,13.6
2021-01-02 09:00:00,76.63,75.7,14.3
2021-01-02 10:00:00,91.61,71.6,15.5
2021-01-02 11:00:00,87.81,64.0,16.8
2021-01-02 12:00:00,71.73,59.4,17.9
2021-01-02 13:00:00,70.9,54.2,18.8
2021-01-02 14:00:00,57.8,49.4,19.6
2021-01-02 15:00:00,58.3,48.9,19.9
2021-01-02 16:00:00,64.0,49.4,20.0
2021-01-02 17:00:00,69.1,50.5,19.9
2021-01-02 18:00:00,83.93,54.1,18.9
2021-01-02 19:00:00,96.75,57.1,18.2
2021-01-02 20:00:00,95.32,60.1,17.9
2021-01-02 21:00:00,106.86,61.3,17.6
2021-01-02 22:00:00,85.14,62.2,17.3
2021-01-02 23:00:00,66.3,67.0,16.9
2021-01-03 00:00:00,74.7,71.3,16.5
2021-01-03 01:00:00,79.4,75.8,16.3
2021-01-03 02:00:00,58.1,78.6,15.9
