time,PM2.5,humidity,temperature
2021-01-01 00:00:00,55.3,59.2,15.1
2021-01-01 01:00:00,58.8,57.7,14.7
2021-01-01 02:00:00,53.9,52.5,14.5
2021-01-01 03:00:00,85.78,58.8,13.9
2021-01-01 04:00:00,113.08,56.4,13.2
2021-01-01 05:00:00,71.6,53.3,12.7
2021-01-01 06:00:00,58.8,52.8,12.4
2021-01-01 07:00:00,72.62,57.2,11.8
2021-01-01 08:00:00,72.6,54.7,12.0
2021-01-01 09:00:00,56.6,40.7,14.7
2021-01-01 10:00:00,48.9,31.1,18.1
2021-01-01 11:00:00,45.3,27.8,19.1
2021-01-01 12:00:00,46.0,26.1,19.9
2021-01-01 13:00:00,41.4,25.5,19.3
2021-01-01 14:00:00,36.4,24.2,19.6
2021-01-01 15:00:00,40.1,26.1,19.0
2021-01-01 16:00:00,43.2,27.5,19.0
2021-01-01 17:00:00,46.1,29.7,18.4
2021-01-01 18:00:00,51.4,33.9,17.7
2021-01-01 19:00:00,66.1,38.0,17.1
2021-01-01 20:00:00,69.3,39.3,16.8
2021-01-01 21:00:00,102.1,39.6,16.6
2021-01-01 22:00:00,112.6,43.9,16.2
2021-01-01 23:00:00,143.8,48.9,15.5
2021-01-02 00:00:00,154.7,52.3,15.2
2021-01-02 01:00:00,158.72,56.9,14.8
2021-01-02 02:00:00,166.49,60.5,14.3
2021-01-02 03:00:00,189.79,59.6,14.0
2021-01-02 04:00:00,170.36,62.2,13.6
2021-01-02 05:00:00,165.58,66.2,13.6
2021-01-02 06:00:00,154.57,64.6,13.1
2021-01-02 07:00:00,115.21,62.9,12.7
2021-01-02 08:00:00,98.04,56.0,13.2
2021-01-02 09:00:00,119.27,50.3,16.1
2021-01-02 10:00:00,144.6,43.4,19.7
2021-01-02 11:00:00,133.0,40.6,20.4
2021-01-02 12:00:00,129.1,40.5,20.8
2021-01-02 13:00:00,120.0,39.3,20.7
2021-01-02 14:00:00,107.5,37.8,20.6
2021-01-02 15:00:00,95.8,37.4,20.3
2021-01-02 16:00:00,98.0,37.7,20.2
2021-01-02 17:00:00,106.8,39.2,19.8
2021-01-02 18:00:00,134.6,42.7,18.8
2021-01-02 19:00:00,136.1,45.3,18.2
2021-01-02 20:00:00,149.7,47.3,17.8
2021-01-02 21:00:00,147.5,47.1,17.4
2021-01-02 22:00:00,117.93,51.4,16.7
2021-01-02 23:00:00,87.18,56.9,16.1
2021-01-03 00:00:00,92.17,60.1,15.7
2021-01-03 01:00:00,87.67,64.9,15.3
2021-01-03 02:00:00,101.17,68.3,15.0
