station,longitude,latitude
S0000099-Phu Vien,105.866414,21.037787
S0000136-Linh Dam,105.832406,20.963258
S0000137-Ngoc Khanh,105.8126417,21.026052
S0000143-Thu vien - DHQG Ha Noi,105.783422,21.038251
S0000144-Pham Tuan Tai,105.782624,21.043288
S0000146-Thuong Mo,105.679652,21.107402
S0000148-TT doi moi CN - CNC Hoa Lac,105.538289,20.996996
S0000153-Truong Tieu hoc Tran Quoc Toan,105.850535,21.026903
S0000157-Truong Mam non GCA Ecolife Capitol,105.785889,20.993518
S0000158-TT. Dong Anh,105.858228,21.168407
S0000169-Ngoc Thuy,105.8542,21.071805
S0000171-GENESIS School,105.801322,21.050128
S0000182-Truong THCS Trung Hoa,105.798926,21.014074
S0000189-Co Dong,105.513646,21.036451
S0000192-Gia Thuong,105.868945,21.064131
S0000210-Truong THCS Yen So,105.679643,21.044613
S0000229-Quan Hoa,105.805607,21.039073
S0000238-He thong lien cap Lomonoxop - Mam non,105.733799,21.006896
S0000262-Ly Thai To,105.855492,21.027889
S0000264-FDS - Ton That Thuyet,105.785088,21.026053
S0000304-Cum chung cu Van phong Quoc hoi,105.755545,21.031109
S0000310-Hang Trong,105.8506845,21.0287174
S0000318-Hoang Cau,105.822494,21.015968
S0000319-Bat Trang,105.91214,20.976621
S0000323-Ly Thuong Kiet,105.855528,21.021585
S0000328-Luong The Vinh,105.78408,20.99687
S0000331-Truong THCS Le Quy Don,105.765046,21.035681
S0000334-Truong mam non GCA Ecohome 1,105.78218,21.086753
S0000336-Truong THCS Nguyen Trai,105.826515,21.030971
S0000337-VNU-HUS_Thuong Dinh,105.8077276,20.996076
S0000339-Kim Ma,105.824145,21.031718
S0000341-Ho Kim Lien,105.837013,21.00694
S0000343-Vinh Hung,105.877857,20.988818
S0000345-Doi Can,105.8244025,21.0376214
S0000346-Dinh Cong,105.838451,20.984635
S0000349-Ecohome Phuc Loi,105.928087,21.04048
S0000352-Dai hoc Mo Dia Chat,105.7738975,21.0723289
S0000367-To Hieu,105.77808,20.96717
S0000368-Dai La,105.849143,20.996147
S0000370-Ba Trieu,105.848945,21.011621
S0000397-Truong Mam Non Newstar,105.796849,21.009268
S0000399-Truong Mam non Thuc hanh Hoa Sen,105.821805,21.026463
S0000400-Truong Spring Hill,105.497119,20.949513
S0000403-Truong THCS PASCAL,105.784333,21.167872
S0000431-Times City 2,105.87,20.9909
S0000457-Nguyen Che Nghia,105.853036,21.020365
S0000475-Chung cu A1 - KDT Ha Dinh,105.810171,20.991423
S0000494-NetNam - VAST,105.799105,21.048747
S0000497-Chuyen My,105.864031,20.741247
S0000498-Chua Lang,105.8072,21.0222
S0000499-Quang An,105.825751,21.064955
S0000503-Times City,105.8697,20.9948
S0000504-Le Trong Tan,105.730313,21.008574
S0000508-He thong lien cap Lomonoxop - Tieu hoc,105.78164,21.015053
S0000509-Van Phu,105.770437,20.95893
S0000533-Hang Thiec,105.8480083,21.0327528
S0000538-Le Quang Dao,105.7286447,21.0395731
S0000541-Tran Quang Khai,105.859016,21.025092
S0000547-Phu Dong,105.375856,21.255655
S0000548-Tran Hung Dao - Son Tay,105.500957,21.1406546
S0000551-Truong Mam non Viet - Bun,105.856947,21.012327
S0000552-Truong Mam non Tuy Lai A,105.6828,20.7735
S0000553-Thu vien Truong Cao dang Su pham Trung uong,105.79231,21.045539
S0000554-Truong Mam Non Thuc hanh Hoa Hong,105.820114,21.006312
S0000588-Truong THCS Ngo Si Lien,105.852513,21.019029
S0000589-Truong Dai hoc Kinh te Quoc dan,105.843441,21.000033
S0000595-Trung tam Sao Mai,105.805237,21.003623
S0000604-Trung Tam Van hoa The thao phuong Nghia Tan,105.793665,21.043083
S0000610-Thinh Hao 2,105.83061,21.023437
S0000611-Nguyen Ngoc Vu,105.8095729,21.01093309
S0000621-Truong Pho Thong Lien Cap Sinh Thai EraSchool,105.740606,21.148515
S0000624-Cong ty co phan cong nghe MobiFone toan cau,105.813401,21.013729
S0000625-Thanh Cong,105.8141376,21.0222787
S0000630-Truong Tieu hoc Thi tran Soc Son,105.8498,21.2589
S0000636-Thon Nghe,105.3963,21.0831
