SOM [AQ],HRL [AQ],THUR [AQ],WC [AQ],BPLE [AQ],HARR [AQ],MACK [AQ],SWAN [AQ],BRS8 [AQ],LINC [AQ],HORE [AQ],BRAD [AQ],BRS [AQ],ESK [AQ],NWBV [AQ],WTHG [AQ],CARL [AQ],PLYM [AQ],WEYB [AQ],BRS2 [AQ],DUMB [AQ],BR11 [AQ],CHBR [AQ],BORN [AQ],BRIS [AQ],SWA1 [AQ],PLYR [AQ],LIN3 [AQ],HIL [AQ],SV [AQ]
3.7,11.96,9.84,4.59,4.52,11.16,3.59,4.74,7.97,9.1,9.13,10.5,6.93,4.44,9.92,6.76,5.88,6.3,9.01,6.93,5.03,6.93,5.17,5.75,6.93,6.02,6.27,9.1,11.96,3.07
3.18,7.21,6.53,4.51,3.81,7.68,3.1,4.7,7.17,8.35,5.74,10.56,6.2,3.63,9.71,4.32,6.28,3.81,8.29,6.2,4.18,6.2,4.13,4.41,6.2,6.26,5.04,8.35,7.21,2.1
2.89,6.17,4.48,2.11,3.18,6.02,2.8,2.94,5.33,6.01,5.01,8.3,4.65,2.09,7.24,3.19,4.18,3.41,4.76,4.65,2.51,4.65,3.3,3.69,4.65,4.25,4.81,6.01,6.17,2.08
3.06,9.21,5.26,5.67,3.09,9.04,2.96,2.89,6.42,11.99,6.02,14.85,5.5,3.8,9.82,3.81,7.4,3.68,11.36,5.5,2.53,5.5,3.77,4.18,5.5,4.97,5.15,11.99,9.21,8.53
3.98,13.28,9.15,3.92,4.74,11.93,3.79,6.14,12.24,10.81,9.84,18.7,10.7,1.59,14.28,6,3.78,5.36,6.52,10.7,4.41,10.7,7.2,7.44,10.7,9.22,6.99,10.81,13.28,9.9
8.57,18.35,21.42,5.54,6.99,18.56,9.05,7.63,14.18,18,15.82,20.8,13.97,4.97,23.21,11.99,8.67,6.62,9.93,13.97,5.37,13.97,12.69,14.02,13.97,9.53,8.29,18,18.35,5.65
2.49,5.76,5.73,4.22,3.3,5.62,2.41,2.97,5.33,7.13,4.84,6.81,4.97,4.5,6.22,4.23,5.14,4.02,4.3,4.97,5.27,4.97,4.2,4.61,4.97,4.21,6.22,7.13,5.76,3.45
3.29,9.15,5.87,3.12,4.06,8.77,3.26,2.96,8.82,7.66,6.71,10.01,7.33,2.94,9.67,4.5,4.74,3.4,6.49,7.33,7.24,7.33,3.77,4.14,7.33,4.67,5.27,7.66,9.15,1.88
2.29,5.83,4.83,4,2.84,5.46,2.3,2.32,5.55,6.72,5.05,9.29,4.47,3.52,7.33,3.7,6.03,2.89,5.96,4.47,6.84,4.47,2.78,3.11,4.47,3.8,4.11,6.72,5.83,2.13
3.04,6.14,4.28,2.81,3.75,5.74,2.93,2.76,7.02,5.74,4.52,6.44,5.93,2.25,6.54,3.44,4.04,3.38,3.58,5.93,2.2,5.93,3.42,3.9,5.93,4.57,5.81,5.74,6.14,0.83
