date,AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
2018-01-01 00:00:00,78.0,69.0,57.0,0.7,56.0,10.0,7.0,50.0,733.375,0.02500000107800029,262960.0,275.7842999267578,60.002063995361326,694.5625
2018-01-01 01:00:00,79.0,64.0,58.0,0.7,45.0,19.0,7.0,,,,,,,
2018-01-01 02:00:00,69.0,73.0,50.0,0.7,27.0,28.0,6.0,,,,,,,
2018-01-01 03:00:00,68.0,70.0,49.0,0.7,24.0,28.0,6.0,50.0,737.375,0.0250000009350013,263556.0,275.86,60.00417599487304,770.9375
2018-01-01 04:00:00,66.0,67.0,48.0,0.7,26.0,25.0,6.0,,,,,,,
2018-01-01 05:00:00,69.0,72.0,50.0,0.6,27.0,25.0,7.0,,,,,,,
2018-01-01 06:00:00,56.0,50.0,40.0,0.6,23.0,24.0,6.0,50.0,739.6875,0.025000000965001063,263184.0,275.8923999023437,60.0042919921875,762.875
2018-01-01 07:00:00,54.0,55.0,38.0,0.6,26.0,22.0,6.0,,,,,,,
2018-01-01 08:00:00,60.0,56.0,43.0,0.6,36.0,15.0,6.0,,,,,,,
2018-01-01 09:00:00,54.0,58.0,38.0,0.6,36.0,20.0,5.0,50.0,740.3125,0.02500000118800066,263368.0,275.8707000732422,60.005279991149905,685.4375
2018-01-01 10:00:00,53.0,56.0,35.0,0.6,29.0,28.0,5.0,,,,,,,
2018-01-01 11:00:00,79.0,77.0,58.0,1.1,37.0,26.0,9.0,,,,,,,
2018-01-01 12:00:00,100.0,88.0,75.0,1.3,49.0,24.0,10.0,50.0,737.4375,0.0250000011050012,263572.0,275.836600036621,60.001695991516115,685.0
2018-01-01 13:00:00,53.0,,37.0,1.2,39.0,38.0,14.0,,,,,,,
2018-01-01 14:00:00,36.0,34.0,25.0,1.3,31.0,43.0,15.0,,,,,,,
2018-01-01 15:00:00,51.0,52.0,35.0,1.3,40.0,39.0,18.0,50.0,736.5,0.02500000112999976,263696.0,275.82389984130856,60.00112399291992,685.0
2018-01-01 16:00:00,55.0,59.0,38.0,1.3,42.0,36.0,16.0,,,,,,,
2018-01-01 17:00:00,69.0,72.0,50.0,1.4,48.0,27.0,19.0,,,,,,,
2018-01-01 18:00:00,80.0,106.0,59.0,2.3,67.0,9.0,31.0,50.0,734.625,0.0250000011180006,263540.0,275.799700012207,60.001147994995115,685.0
2018-01-01 19:00:00,93.0,136.0,62.0,2.5,74.0,3.0,47.0,,,,,,,
2018-01-01 20:00:00,87.0,124.0,64.0,2.0,66.0,3.0,34.0,,,,,,,
2018-01-01 21:00:00,71.0,83.0,52.0,1.4,57.0,7.0,23.0,50.0,733.5,0.02500000133999996,264152.0,275.779100036621,60.00067199707031,685.0
2018-01-01 22:00:00,74.0,74.0,54.0,1.7,62.0,3.0,29.0,,,,,,,
2018-01-01 23:00:00,70.0,77.0,51.0,1.9,61.0,3.0,30.0,,,,,,,
