date,AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
2018-01-01 00:00:00,93.0,128.0,69.0,1.6,87.0,2.0,15.0,50.0,735.5625,0.025000001005999747,267872.0,275.8292999267578,60.00371199798584,694.125
2018-01-01 01:00:00,121.0,132.0,92.0,1.7,86.0,2.0,15.0,,,,,,,
2018-01-01 02:00:00,83.0,97.0,61.0,1.3,74.0,2.0,10.0,,,,,,,
2018-01-01 03:00:00,60.0,69.0,40.0,1.1,70.0,2.0,8.0,50.0,737.375,0.02500000080700033,267964.0,275.8891000366211,60.00578399658203,778.4375
2018-01-01 04:00:00,68.0,86.0,45.0,1.4,76.0,2.0,10.0,,,,,,,
2018-01-01 05:00:00,60.0,69.0,41.0,1.2,70.0,2.0,9.0,,,,,,,
2018-01-01 06:00:00,52.0,54.0,30.0,1.0,65.0,2.0,7.0,50.0,739.625,0.025000000809000802,267516.0,275.9097998046874,60.00405199432373,768.875
2018-01-01 07:00:00,40.0,40.0,20.0,0.8,64.0,2.0,6.0,,,,,,,
2018-01-01 08:00:00,37.0,37.0,22.0,0.8,56.0,2.0,5.0,,,,,,,
2018-01-01 09:00:00,39.0,39.0,16.0,0.7,50.0,8.0,5.0,50.0,740.9375,0.02500000104000047,267740.0,275.89660003662107,60.00333999633789,685.5
2018-01-01 10:00:00,34.0,34.0,6.0,0.6,37.0,22.0,4.0,,,,,,,
2018-01-01 11:00:00,26.0,26.0,8.0,0.5,28.0,33.0,3.0,,,,,,,
2018-01-01 12:00:00,61.0,,44.0,0.4,22.0,40.0,2.0,50.0,738.75,0.02500000132700056,267996.0,275.8614999389648,60.00157999420166,685.0
2018-01-01 13:00:00,18.0,18.0,10.0,0.4,23.0,41.0,3.0,,,,,,,
2018-01-01 14:00:00,24.0,24.0,13.0,0.4,25.0,40.0,4.0,,,,,,,
2018-01-01 15:00:00,36.0,36.0,22.0,0.5,34.0,34.0,6.0,50.0,739.125,0.025000001687999814,268216.0,275.857200012207,60.00200799560547,685.0
2018-01-01 16:00:00,52.0,54.0,32.0,0.8,46.0,23.0,10.0,,,,,,,
2018-01-01 17:00:00,71.0,80.0,52.0,1.3,60.0,11.0,13.0,,,,,,,
2018-01-01 18:00:00,86.0,104.0,64.0,2.2,75.0,2.0,21.0,50.0,736.875,0.025000001653000717,268532.0,275.8294998168945,60.001963996887206,685.0
2018-01-01 19:00:00,100.0,134.0,75.0,2.8,79.0,2.0,31.0,,,,,,,
2018-01-01 20:00:00,98.0,142.0,73.0,2.8,77.0,2.0,33.0,,,,,,,
2018-01-01 21:00:00,96.0,142.0,66.0,2.3,73.0,2.0,26.0,50.0,735.75,0.025000001651000237,268736.0,275.81459991455074,60.001803993225096,685.0
2018-01-01 22:00:00,89.0,127.0,56.0,1.7,68.0,2.0,16.0,,,,,,,
2018-01-01 23:00:00,76.0,101.0,56.0,1.0,56.0,4.0,8.0,,,,,,,
2018-01-02 00:00:00,56.0,62.0,27.0,0.7,50.0,8.0,6.0,50.0,740.875,0.0250000017210003,269264.0,275.8357998657226,60.003159996032714,695.375
2018-01-02 01:00:00,51.0,51.0,35.0,0.7,56.0,3.0,5.0,,,,,,,
2018-01-02 02:00:00,41.0,41.0,26.0,0.6,48.0,9.0,5.0,,,,,,,
