date,AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
2018-01-01 00:00:00,60.0,70.0,39.0,0.9,61.0,4.0,6.0,50.0,736.0625,0.02500000097300113,266488.0,275.8273999023437,60.00365999603272,693.6875
2018-01-01 01:00:00,66.0,82.0,48.0,1.0,68.0,2.0,8.0,,,,,,,
2018-01-01 02:00:00,58.0,65.0,38.0,0.8,54.0,4.0,6.0,,,,,,,
2018-01-01 03:00:00,56.0,62.0,39.0,0.7,53.0,5.0,5.0,50.0,737.875,0.025000000799000263,266604.0,275.8847998046875,60.005731994628896,775.4375
2018-01-01 04:00:00,57.0,63.0,37.0,0.8,54.0,2.0,5.0,,,,,,,
2018-01-01 05:00:00,45.0,45.0,26.0,0.7,39.0,11.0,5.0,,,,,,,
2018-01-01 06:00:00,49.0,49.0,28.0,0.8,52.0,2.0,5.0,50.0,740.125,0.025000000789999963,266136.0,275.90619995117186,60.0042199935913,766.4375
2018-01-01 07:00:00,46.0,46.0,25.0,0.7,46.0,6.0,5.0,,,,,,,
2018-01-01 08:00:00,46.0,46.0,25.0,0.7,42.0,6.0,4.0,,,,,,,
2018-01-01 09:00:00,46.0,46.0,24.0,0.7,39.0,13.0,5.0,50.0,741.4375,0.025000001006999985,266376.0,275.8938000488281,60.00319199371338,685.5
2018-01-01 10:00:00,51.0,51.0,25.0,0.7,36.0,22.0,6.0,,,,,,,
2018-01-01 11:00:00,32.0,32.0,17.0,0.6,27.0,39.0,4.0,,,,,,,
2018-01-01 12:00:00,25.0,25.0,15.0,0.5,20.0,51.0,3.0,50.0,739.1875,0.025000001273000613,266600.0,275.85910003662104,60.00146799468994,685.0
2018-01-01 13:00:00,23.0,23.0,13.0,0.4,21.0,53.0,3.0,,,,,,,
2018-01-01 14:00:00,19.0,19.0,12.0,0.4,22.0,56.0,3.0,,,,,,,
2018-01-01 15:00:00,25.0,25.0,15.0,0.4,27.0,54.0,3.0,50.0,739.3125,0.02500000158200041,266832.0,275.8530999755859,60.00207599639893,685.0
2018-01-01 16:00:00,46.0,46.0,23.0,0.6,42.0,37.0,7.0,,,,,,,
2018-01-01 17:00:00,58.0,66.0,37.0,1.0,59.0,17.0,11.0,,,,,,,
2018-01-01 18:00:00,85.0,97.0,63.0,1.6,74.0,2.0,16.0,50.0,737.125,0.025000001570001245,267148.0,275.8260998535156,60.0020119934082,685.0
2018-01-01 19:00:00,82.0,113.0,58.0,2.1,80.0,2.0,22.0,,,,,,,
2018-01-01 20:00:00,98.0,130.0,73.0,2.5,82.0,2.0,29.0,,,,,,,
2018-01-01 21:00:00,105.0,142.0,79.0,2.7,81.0,2.0,33.0,50.0,736.25,0.025000001593001187,267336.0,275.8138000488281,60.00173599243164,685.0
2018-01-01 22:00:00,101.0,139.0,76.0,2.5,79.0,2.0,28.0,,,,,,,
2018-01-01 23:00:00,101.0,150.0,76.0,2.1,74.0,2.0,12.0,,,,,,,
2018-01-02 00:00:00,91.0,126.0,68.0,1.5,66.0,2.0,6.0,50.0,740.8125,0.02500000162700005,267872.0,275.83399993896484,60.00368399810791,695.0
2018-01-02 01:00:00,69.0,87.0,50.0,0.9,61.0,2.0,4.0,,,,,,,
2018-01-02 02:00:00,58.0,65.0,41.0,0.7,54.0,2.0,3.0,,,,,,,
2018-01-02 03:00:00,55.0,59.0,39.0,0.7,50.0,6.0,3.0,50.0,736.3125,0.025000000887000936,268060.0,275.87739990234365,60.00961199188232,779.25
2018-01-02 04:00:00,54.0,58.0,38.0,0.8,55.0,2.0,2.0,,,,,,,
2018-01-02 05:00:00,63.0,64.0,45.0,1.2,54.0,2.0,2.0,,,,,,,
2018-01-02 06:00:00,56.0,61.0,38.0,1.2,51.0,2.0,3.0,50.0,750.0,0.025000000885000453,267728.0,275.89850006103507,60.00700799560547,734.625
2018-01-02 07:00:00,55.0,56.0,39.0,1.2,51.0,2.0,4.0,,,,,,,
2018-01-02 08:00:00,57.0,63.0,39.0,1.2,51.0,2.0,5.0,,,,,,,
2018-01-02 09:00:00,68.0,86.0,49.0,1.6,55.0,2.0,8.0,50.0,744.25,0.02500000080700033,267932.0,275.89139984130856,60.007899993896494,685.5625
2018-01-02 10:00:00,78.0,98.0,57.0,1.7,56.0,6.0,13.0,,,,,,,
2018-01-02 11:00:00,83.0,91.0,61.0,1.6,53.0,15.0,16.0,,,,,,,
2018-01-02 12:00:00,69.0,63.0,50.0,1.2,43.0,27.0,14.0,50.0,743.125,0.02500000066499971,268388.0,275.88220001220697,60.005083992004394,685.0
2018-01-02 13:00:00,53.0,52.0,37.0,0.9,36.0,37.0,11.0,,,,,,,
2018-01-02 14:00:00,44.0,43.0,31.0,0.8,34.0,41.0,9.0,,,,,,,
2018-01-02 15:00:00,43.0,43.0,28.0,0.7,34.0,42.0,7.0,50.0,741.5,0.02500000063399971,268384.0,275.8641000366211,60.006455993652345,685.0
2018-01-02 16:00:00,28.0,28.0,16.0,0.3,20.0,60.0,4.0,,,,,,,
2018-01-02 17:00:00,25.0,25.0,14.0,0.2,14.0,67.0,3.0,,,,,,,
2018-01-02 18:00:00,20.0,18.0,11.0,0.2,14.0,64.0,3.0,50.0,740.5625,0.025000000721000136,268532.0,275.8501998901367,60.00819999694824,685.0
2018-01-02 19:00:00,22.0,22.0,10.0,0.2,20.0,56.0,3.0,,,,,,,
2018-01-02 20:00:00,21.0,21.0,13.0,0.2,16.0,59.0,3.0,,,,,,,
2018-01-02 21:00:00,25.0,25.0,15.0,0.3,26.0,42.0,3.0,50.0,739.4375,0.0250000007509999,268532.0,275.8355999755859,60.005091995239255,685.0
2018-01-02 22:00:00,26.0,26.0,12.0,0.3,21.0,52.0,2.0,,,,,,,
2018-01-02 23:00:00,26.0,26.0,16.0,0.3,18.0,55.0,3.0,,,,,,,
2018-01-03 00:00:00,30.0,30.0,15.0,0.3,17.0,54.0,3.0,50.0,738.625,0.02500000201600045,268532.0,275.83350006103507,60.00405999755859,692.6875
2018-01-03 01:00:00,20.0,20.0,14.0,0.3,17.0,52.0,3.0,,,,,,,
2018-01-03 02:00:00,21.0,18.0,15.0,0.3,12.0,58.0,3.0,,,,,,,
2018-01-03 03:00:00,20.0,16.0,14.0,0.2,10.0,59.0,3.0,50.0,739.3125,0.02500000172599964,268532.0,275.85339996337893,60.007327995300294,764.125
2018-01-03 04:00:00,20.0,,14.0,0.2,7.0,65.0,3.0,,,,,,,
2018-01-03 05:00:00,,,,,,,,,,,,,,
2018-01-03 06:00:00,21.0,17.0,15.0,0.4,20.0,47.0,5.0,50.0,737.375,0.025000001630000768,268532.0,275.86799987792966,60.010827995300296,768.875
2018-01-03 07:00:00,22.0,22.0,14.0,0.3,13.0,56.0,3.0,,,,,,,
2018-01-03 08:00:00,22.0,22.0,13.0,0.3,8.0,65.0,3.0,,,,,,,
2018-01-03 09:00:00,33.0,33.0,11.0,0.3,7.0,68.0,3.0,50.0,741.25,0.02500000183900073,268436.0,275.8694998168945,60.00547599792481,685.5
2018-01-03 10:00:00,39.0,39.0,16.0,0.3,6.0,70.0,3.0,,,,,,,
2018-01-03 11:00:00,48.0,48.0,8.0,0.3,5.0,72.0,3.0,,,,,,,
2018-01-03 12:00:00,23.0,21.0,14.0,0.3,5.0,74.0,3.0,50.0,738.875,0.025000000975999984,268516.0,275.8610998535156,60.002567993164064,685.0
2018-01-03 13:00:00,30.0,,21.0,0.3,10.0,66.0,4.0,,,,,,,
2018-01-03 14:00:00,26.0,19.0,18.0,0.2,7.0,74.0,3.0,,,,,,,
2018-01-03 15:00:00,23.0,17.0,15.0,0.2,8.0,74.0,3.0,50.0,738.4375,0.025000000964000818,268524.0,275.85540008544916,60.009967994689944,685.0
2018-01-03 16:00:00,24.0,16.0,9.0,0.2,8.0,76.0,3.0,,,,,,,
2018-01-03 17:00:00,23.0,17.0,16.0,0.2,17.0,65.0,3.0,,,,,,,
2018-01-03 18:00:00,48.0,48.0,25.0,0.4,32.0,45.0,4.0,50.0,735.5625,0.02500000056600012,268448.0,275.83169982910147,60.0043639907837,685.0
2018-01-03 19:00:00,51.0,52.0,30.0,0.5,36.0,40.0,5.0,,,,,,,
2018-01-03 20:00:00,34.0,34.0,21.0,0.4,30.0,41.0,5.0,,,,,,,
