,Hour,Day,Month,Year,AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,0,1,1,2018,64.0,73.0,46.0,1.1,78.0,2.0,5.0,50.0,734.375,0.025000000920999795,264468.0,275.81829986572257,60.00327199554443,693.9375
1,1,1,1,2018,64.0,72.0,46.0,1.0,76.0,2.0,5.0,50.0,734.375,0.025000000920999795,264468.0,275.81829986572257,60.00327199554443,693.9375
2,2,1,1,2018,69.0,87.0,41.0,0.9,70.0,2.0,3.0,50.0,734.375,0.025000000920999795,264468.0,275.81829986572257,60.00327199554443,693.9375
3,3,1,1,2018,67.0,83.0,38.0,0.8,62.0,2.0,3.0,50.0,736.0,0.025000000749999658,264704.0,275.87739990234365,60.005399993896475,779.125
4,4,1,1,2018,52.0,54.0,33.0,0.9,62.0,2.0,3.0,50.0,736.0,0.025000000749999658,264704.0,275.87739990234365,60.005399993896475,779.125
5,5,1,1,2018,55.0,51.0,39.0,1.0,69.0,2.0,6.0,50.0,736.0,0.025000000749999658,264704.0,275.87739990234365,60.005399993896475,779.125
6,6,1,1,2018,42.0,42.0,29.0,0.8,65.0,2.0,5.0,50.0,738.4375,0.025000000737000257,264236.0,275.9007000732421,60.00380799102784,769.6875
7,7,1,1,2018,40.0,40.0,25.0,0.8,63.0,2.0,4.0,50.0,738.4375,0.025000000737000257,264236.0,275.9007000732421,60.00380799102784,769.6875
8,8,1,1,2018,38.0,38.0,24.0,0.8,60.0,2.0,5.0,50.0,738.4375,0.025000000737000257,264236.0,275.9007000732421,60.00380799102784,769.6875
9,9,1,1,2018,33.0,33.0,20.0,0.8,49.0,10.0,6.0,50.0,739.8125,0.025000000943999737,264488.0,275.8883999633789,60.00300399780274,685.5
10,10,1,1,2018,34.0,34.0,16.0,0.7,39.0,21.0,5.0,50.0,739.8125,0.025000000943999737,264488.0,275.8883999633789,60.00300399780274,685.5
11,11,1,1,2018,20.0,20.0,12.0,0.5,21.0,41.0,2.0,50.0,739.8125,0.025000000943999737,264488.0,275.8883999633789,60.00300399780274,685.5
12,12,1,1,2018,23.0,18.0,16.0,0.5,23.0,42.0,3.0,50.0,737.4375,0.025000001183001327,264668.0,275.851600036621,60.00120799255371,685.0
13,13,1,1,2018,20.0,16.5,14.0,0.45,21.0,46.5,2.5,50.0,737.4375,0.025000001183001327,264668.0,275.851600036621,60.00120799255371,685.0
14,14,1,1,2018,17.0,15.0,12.0,0.4,19.0,51.0,2.0,50.0,737.4375,0.025000001183001327,264668.0,275.851600036621,60.00120799255371,685.0
15,15,1,1,2018,20.0,27.0,14.0,0.4,21.0,50.0,2.0,50.0,737.3125,0.02500000141300075,264920.0,275.8438998413086,60.00192399597168,685.0
16,16,1,1,2018,14.0,39.0,10.0,0.45,29.0,41.0,2.0,50.0,737.3125,0.02500000141300075,264920.0,275.8438998413086,60.00192399597168,685.0
17,17,1,1,2018,19.0,51.0,13.0,0.5,37.0,32.0,4.0,50.0,737.3125,0.02500000141300075,264920.0,275.8438998413086,60.00192399597168,685.0
18,18,1,1,2018,57.0,63.0,38.0,1.2,74.0,3.0,10.0,50.0,735.1875,0.02500000141200051,265104.0,275.8158999633789,60.00193199157715,685.0
19,19,1,1,2018,83.0,82.0,61.0,2.1,83.0,2.0,17.0,50.0,735.1875,0.02500000141200051,265104.0,275.8158999633789,60.00193199157715,685.0
20,20,1,1,2018,81.0,86.0,60.0,1.9,78.0,3.0,14.0,50.0,735.1875,0.02500000141200051,265104.0,275.8158999633789,60.00193199157715,685.0
21,21,1,1,2018,71.0,82.0,52.0,1.6,70.0,3.0,11.0,50.0,734.5625,0.0250000015019998,265388.0,275.8051998901367,60.00146799468994,685.0
22,22,1,1,2018,63.0,76.0,41.0,1.5,67.0,2.0,9.0,50.0,734.5625,0.0250000015019998,265388.0,275.8051998901367,60.00146799468994,685.0
23,23,1,1,2018,59.0,63.0,42.0,1.7,65.0,2.0,10.0,50.0,734.5625,0.0250000015019998,265388.0,275.8051998901367,60.00146799468994,685.0
24,0,2,1,2018,66.0,65.0,48.0,1.6,63.0,2.0,7.0,50.0,739.75,0.025000001560000703,265944.0,275.8283999633789,60.00396399688721,694.9375
25,1,2,1,2018,63.0,64.0,45.0,1.5,61.0,2.0,7.0,50.0,739.75,0.025000001560000703,265944.0,275.8283999633789,60.00396399688721,694.9375
26,2,2,1,2018,71.0,91.0,49.0,1.6,63.0,2.0,5.0,50.0,739.75,0.025000001560000703,265944.0,275.8283999633789,60.00396399688721,694.9375
27,3,2,1,2018,67.0,83.0,42.0,1.1,58.0,2.0,5.0,50.0,735.8125,0.02500000083400123,266152.0,275.8730999755859,60.01031199645996,779.125
28,4,2,1,2018,51.0,51.0,36.0,0.9,54.0,2.0,6.0,50.0,735.8125,0.02500000083400123,266152.0,275.8730999755859,60.01031199645996,779.125
29,5,2,1,2018,61.0,53.0,44.0,1.3,59.0,2.0,4.0,50.0,735.8125,0.02500000083400123,266152.0,275.8730999755859,60.01031199645996,779.125
30,6,2,1,2018,55.0,60.0,39.0,1.2,57.0,2.0,4.0,50.0,748.125,0.02500000083700009,265812.0,275.89350006103507,60.007443992614746,738.625
31,7,2,1,2018,52.0,54.0,36.0,1.3,55.0,2.0,4.0,50.0,748.125,0.02500000083700009,265812.0,275.89350006103507,60.007443992614746,738.625
32,8,2,1,2018,70.0,69.0,51.0,1.9,64.0,2.0,6.0,50.0,748.125,0.02500000083700009,265812.0,275.89350006103507,60.007443992614746,738.625
33,9,2,1,2018,76.0,93.0,56.0,2.0,67.0,2.0,8.0,50.0,742.9375,0.02500000074299984,266032.0,275.8847998046875,60.00817199707031,685.5
34,10,2,1,2018,79.0,88.0,58.0,1.7,60.0,6.0,11.0,50.0,742.9375,0.02500000074299984,266032.0,275.8847998046875,60.00817199707031,685.5
35,11,2,1,2018,75.0,64.0,55.0,1.5,53.0,15.0,14.0,50.0,742.9375,0.02500000074299984,266032.0,275.8847998046875,60.00817199707031,685.5
36,12,2,1,2018,56.0,47.0,40.0,1.1,41.0,27.0,13.0,50.0,741.8125,0.025000000612000004,266492.0,275.8751998901367,60.00567599487304,685.0
37,13,2,1,2018,41.0,38.0,29.0,0.8,34.0,37.0,9.0,50.0,741.8125,0.025000000612000004,266492.0,275.8751998901367,60.00567599487304,685.0
38,14,2,1,2018,33.0,30.0,23.0,0.6,31.0,41.0,7.0,50.0,741.8125,0.025000000612000004,266492.0,275.8751998901367,60.00567599487304,685.0
39,15,2,1,2018,27.0,27.0,12.0,0.4,16.0,56.0,4.0,50.0,740.25,0.025000000587999824,266480.0,275.85699981689453,60.00683999633789,685.0
40,16,2,1,2018,22.0,22.0,10.0,0.3,19.0,55.0,3.0,50.0,740.25,0.025000000587999824,266480.0,275.85699981689453,60.00683999633789,685.0
41,17,2,1,2018,32.0,32.0,13.0,0.4,31.0,42.0,3.0,50.0,740.25,0.025000000587999824,266480.0,275.85699981689453,60.00683999633789,685.0
42,18,2,1,2018,34.0,34.0,12.0,0.4,35.0,37.0,3.0,50.0,739.3125,0.02500000067900121,266564.0,275.8427999877929,60.00837599182129,685.0
43,19,2,1,2018,32.0,32.0,12.0,0.5,39.0,32.0,3.0,50.0,739.3125,0.02500000067900121,266564.0,275.8427999877929,60.00837599182129,685.0
44,20,2,1,2018,23.0,23.0,9.0,0.4,23.0,48.0,4.0,50.0,739.3125,0.02500000067900121,266564.0,275.8427999877929,60.00837599182129,685.0
45,21,2,1,2018,23.0,23.0,12.0,0.4,19.0,51.0,3.0,50.0,738.375,0.02500000072799996,266564.0,275.82979980468747,60.00565199279785,685.0
46,22,2,1,2018,21.0,21.0,7.0,0.3,15.0,56.0,3.0,50.0,738.375,0.02500000072799996,266564.0,275.82979980468747,60.00565199279785,685.0
47,23,2,1,2018,26.0,26.0,10.0,0.3,19.0,51.0,3.0,50.0,738.375,0.02500000072799996,266564.0,275.82979980468747,60.00565199279785,685.0
48,0,3,1,2018,25.0,25.0,8.0,0.4,18.0,49.0,4.0,50.0,737.8125,0.025000002128999683,266564.0,275.82639984130856,60.00449199676514,692.8125
49,1,3,1,2018,15.0,15.0,8.0,0.3,25.0,42.0,3.0,50.0,737.8125,0.025000002128999683,266564.0,275.82639984130856,60.00449199676514,692.8125
50,2,3,1,2018,19.0,15.0,4.0,0.3,11.0,60.0,2.0,50.0,737.8125,0.025000002128999683,266564.0,275.82639984130856,60.00449199676514,692.8125
51,3,3,1,2018,18.0,13.0,6.0,0.3,10.0,59.0,2.0,50.0,738.5,0.02500000197399967,266564.0,275.8464999389648,60.00767199707031,764.8125
52,4,3,1,2018,16.0,12.0,8.0,0.3,15.0,52.0,3.0,50.0,738.5,0.02500000197399967,266564.0,275.8464999389648,60.00767199707031,764.8125
53,5,3,1,2018,16.0,11.0,7.0,0.3,15.0,50.0,2.0,50.0,738.5,0.02500000197399967,266564.0,275.8464999389648,60.00767199707031,764.8125
54,6,3,1,2018,16.0,9.0,7.0,0.3,16.0,50.0,2.0,50.0,737.375,0.025000001857999717,266460.0,275.8622998046875,60.011027992248536,767.3125
55,7,3,1,2018,18.0,18.0,7.0,0.5,34.0,30.0,4.0,50.0,737.375,0.025000001857999717,266460.0,275.8622998046875,60.011027992248536,767.3125
56,8,3,1,2018,17.0,17.0,7.0,0.6,34.0,32.0,3.0,50.0,737.375,0.025000001857999717,266460.0,275.8622998046875,60.011027992248536,767.3125
57,9,3,1,2018,21.0,21.0,5.0,0.4,24.0,41.0,3.0,50.0,740.75,0.02500000210200064,266384.0,275.86329986572264,60.00556399536133,685.5
58,10,3,1,2018,20.0,20.0,6.0,0.4,18.0,49.0,3.0,50.0,740.75,0.02500000210200064,266384.0,275.86329986572264,60.00556399536133,685.5
59,11,3,1,2018,24.0,21.0,17.0,0.3,14.0,53.0,3.0,50.0,740.75,0.02500000210200064,266384.0,275.86329986572264,60.00556399536133,685.5
