,Change,Unnamed: 0,Hour,Day,Month,Year,Mean,Delta1,Delta3,AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,65.0,0,0,1,1,2018,65.0,65.0,65.0,95.0,139.0,65.0,1.7,86.0,2.0,19.0,50.0,734.4375,0.025000000990999863,267776.0,275.8229000854492,60.00336799621582,694.6875
1,60.5,1,1,1,1,2018,60.5,-9.0,56.0,80.0,109.0,56.0,1.3,74.0,2.0,11.0,50.0,734.4375,0.025000000990999863,267776.0,275.8229000854492,60.00336799621582,694.6875
2,52.666666666666664,2,2,1,1,2018,52.66666666666666,-19.0,37.0,62.0,73.0,37.0,1.0,68.0,2.0,8.0,50.0,734.4375,0.025000000990999863,267776.0,275.8229000854492,60.00336799621582,694.6875
3,48.25,3,3,1,1,2018,48.25,-2.0,-30.0,61.0,72.0,35.0,1.1,70.0,2.0,9.0,50.0,736.6875,0.02500000077000074,267984.0,275.8866998291016,60.005443992614744,779.6875
4,46.2,4,4,1,1,2018,46.2,3.0,-18.0,64.0,78.0,38.0,1.2,69.0,2.0,14.0,50.0,736.6875,0.02500000077000074,267984.0,275.8866998291016,60.005443992614744,779.6875
5,43.833333333333336,5,5,1,1,2018,43.83333333333334,-6.0,-5.0,59.0,67.0,32.0,1.1,65.0,2.0,12.0,50.0,736.6875,0.02500000077000074,267984.0,275.8866998291016,60.005443992614744,779.6875
6,40.142857142857146,6,6,1,1,2018,40.142857142857146,-14.0,-17.0,39.0,39.0,18.0,0.7,52.0,5.0,5.0,50.0,738.4375,0.025000000777000563,267544.0,275.9091998291016,60.003563995361326,771.75
7,37.125,7,7,1,1,2018,37.125,-2.0,-22.0,35.0,35.0,16.0,0.6,50.0,5.0,4.0,50.0,738.4375,0.025000000777000563,267544.0,275.9091998291016,60.003563995361326,771.75
8,34.666666666666664,8,8,1,1,2018,34.666666666666664,-1.0,-17.0,36.0,36.0,15.0,0.6,54.0,2.0,5.0,50.0,738.4375,0.025000000777000563,267544.0,275.9091998291016,60.003563995361326,771.75
9,32.1,9,9,1,1,2018,32.1,-6.0,-9.0,31.0,31.0,9.0,0.6,41.0,18.0,4.0,50.0,740.0,0.025000001009000468,267776.0,275.8944998168945,60.003303993225096,685.5
10,-0.20274203037360933,10,10,1,1,2018,29.818181818181817,-2.0,-9.0,35.0,35.0,7.0,0.5,29.0,33.0,3.0,50.0,740.0,0.025000001009000468,267776.0,275.8944998168945,60.003303993225096,685.5
11,-0.013492145597408745,11,11,1,1,2018,28.41666666666667,6.0,-2.0,28.0,28.0,13.0,0.5,25.0,41.0,2.0,50.0,740.0,0.025000001009000468,267776.0,275.8944998168945,60.003303993225096,685.5
12,-0.06811838469733207,12,12,1,1,2018,26.84615384615385,-5.0,-1.0,16.0,16.0,8.0,0.5,21.0,48.0,2.0,50.0,737.6875,0.025000001284999768,268020.0,275.8576998901367,60.0013639907837,685.0
13,-0.051990378043009634,13,13,1,1,2018,25.5,0.0,1.0,16.0,15.0,8.0,0.4,20.0,51.0,2.0,50.0,737.6875,0.025000001284999768,268020.0,275.8576998901367,60.0013639907837,685.0
14,0.05406391853760273,14,14,1,1,2018,24.6,4.0,-1.0,18.0,18.0,12.0,0.5,23.0,51.0,3.0,50.0,737.6875,0.025000001284999768,268020.0,275.8576998901367,60.0013639907837,685.0
15,0.13743423243423242,15,15,1,1,2018,24.125,5.0,9.0,29.0,29.0,17.0,0.6,32.0,43.0,6.0,50.0,738.0,0.025000001600001008,268252.0,275.8530999755859,60.001695991516115,685.0
16,0.2736378327554798,16,16,1,1,2018,24.470588235294123,13.0,22.0,45.0,45.0,30.0,0.7,34.0,38.0,7.0,50.0,738.0,0.025000001600001008,268252.0,275.8530999755859,60.001695991516115,685.0
17,0.26712752933341166,17,17,1,1,2018,24.944444444444446,3.0,21.0,57.0,63.0,33.0,1.2,53.0,18.0,11.0,50.0,738.0,0.025000001600001008,268252.0,275.8530999755859,60.001695991516115,685.0
18,0.3708284288498192,18,18,1,1,2018,26.63157894736842,24.0,40.0,79.0,107.0,57.0,2.3,74.0,2.0,20.0,50.0,735.6875,0.025000001567000524,268416.0,275.8241000366211,60.00173999786377,685.0
