date,AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
2018-01-01 00:00:00,66.0,60.0,48.0,2.3,53.0,2.0,7.0,50.0,731.8125,0.025000000962000345,266568.0,275.78820007324214,60.001139991760255,694.5
2018-01-01 01:00:00,49.0,46.0,34.0,1.8,51.0,2.0,7.0,,,,,,,
2018-01-01 02:00:00,44.0,44.0,27.0,1.6,49.0,2.0,5.0,,,,,,,
2018-01-01 03:00:00,41.0,41.0,26.0,1.5,50.0,2.0,4.0,50.0,734.875,0.025000000771000983,267540.0,275.86279998779287,60.00290399169922,778.375
2018-01-01 04:00:00,48.0,48.0,26.0,1.7,51.0,2.0,3.0,,,,,,,
2018-01-01 05:00:00,36.0,36.0,25.0,1.5,41.0,8.0,2.0,,,,,,,
2018-01-01 06:00:00,16.0,16.0,11.0,0.8,23.0,36.0,4.0,50.0,737.6875,0.025000000737000257,267060.0,275.90149993896483,60.00243599700928,769.625
2018-01-01 07:00:00,21.0,21.0,9.0,0.7,21.0,39.0,7.0,,,,,,,
2018-01-01 08:00:00,20.0,20.0,11.0,0.7,18.0,43.0,9.0,,,,,,,
2018-01-01 09:00:00,20.0,20.0,9.0,0.7,17.0,46.0,11.0,50.0,738.3125,0.02500000090700016,267372.0,275.87709991455074,60.00406399536133,685.4375
2018-01-01 10:00:00,18.0,14.0,8.0,0.6,9.0,57.0,12.0,,,,,,,
2018-01-01 11:00:00,19.0,,8.0,0.7,9.0,60.0,12.0,,,,,,,
2018-01-01 12:00:00,21.0,,5.0,0.5,6.0,66.0,3.0,50.0,735.5625,0.025000001020001248,267568.0,275.83759979248043,60.000167991638186,685.0
2018-01-01 13:00:00,22.0,,3.0,0.4,5.0,71.0,2.0,,,,,,,
2018-01-01 14:00:00,23.0,,3.0,0.4,6.0,74.0,2.0,,,,,,,
2018-01-01 15:00:00,23.0,,9.0,0.3,7.0,74.0,2.0,50.0,734.625,0.025000001023000103,267828.0,275.825599975586,60.00011599731445,685.0
2018-01-01 16:00:00,22.0,,7.0,0.4,11.0,71.0,2.0,,,,,,,
2018-01-01 17:00:00,18.0,9.0,7.0,0.4,22.0,57.0,3.0,,,,,,,
2018-01-01 18:00:00,31.0,27.0,17.0,0.9,61.0,8.0,5.0,50.0,732.75,0.02500000104700029,267100.0,275.7989999389648,60.00041199493408,685.0
2018-01-01 19:00:00,71.0,70.0,52.0,2.1,76.0,2.0,14.0,,,,,,,
2018-01-01 20:00:00,68.0,84.0,49.0,1.6,57.0,2.0,8.0,,,,,,,
2018-01-01 21:00:00,96.0,89.0,72.0,3.1,60.0,2.0,15.0,50.0,732.0,0.025000001289000737,268352.0,275.7816998291015,60.000103996276856,685.0
2018-01-01 22:00:00,80.0,79.0,59.0,2.9,58.0,2.0,13.0,,,,,,,
2018-01-01 23:00:00,81.0,71.0,60.0,2.9,54.0,2.0,10.0,,,,,,,
2018-01-02 00:00:00,88.0,78.0,65.0,3.2,52.0,2.0,8.0,50.0,736.3125,0.025000001460000875,268888.0,275.8035998535156,60.00113599395752,692.625
2018-01-02 01:00:00,78.0,63.0,57.0,3.2,49.0,2.0,7.0,,,,,,,
2018-01-02 02:00:00,68.0,62.0,49.0,2.9,50.0,2.0,6.0,,,,,,,
2018-01-02 03:00:00,55.0,50.0,39.0,2.2,46.0,2.0,4.0,50.0,737.75,0.02500000133099966,268940.0,275.8810998535156,60.01006399536133,775.75
2018-01-02 04:00:00,50.0,40.0,35.0,2.0,44.0,2.0,4.0,,,,,,,
2018-01-02 05:00:00,50.0,37.0,35.0,2.0,44.0,2.0,6.0,,,,,,,
2018-01-02 06:00:00,46.0,44.0,32.0,1.9,47.0,2.0,7.0,50.0,745.0625,0.025000001381000503,268584.0,275.89649993896484,60.00823199462891,748.625
2018-01-02 07:00:00,41.0,37.0,29.0,1.3,38.0,13.0,13.0,,,,,,,
2018-01-02 08:00:00,36.0,36.0,22.0,1.1,33.0,20.0,11.0,,,,,,,
2018-01-02 09:00:00,32.0,32.0,13.0,0.9,29.0,30.0,9.0,50.0,740.3125,0.025000000660000368,268796.0,275.87509979248046,60.008879997253416,685.5
2018-01-02 10:00:00,24.0,24.0,14.0,0.8,19.0,44.0,7.0,,,,,,,
2018-01-02 11:00:00,19.0,10.0,9.0,0.7,9.0,60.0,5.0,,,,,,,
2018-01-02 12:00:00,20.0,,9.0,0.6,8.0,65.0,4.0,50.0,738.75,0.025000000613000246,269292.0,275.8572998046875,60.00733199310303,685.0
2018-01-02 13:00:00,22.0,,8.0,0.5,6.0,70.0,2.0,,,,,,,
2018-01-02 14:00:00,22.0,,5.0,0.5,6.0,71.0,2.0,,,,,,,
2018-01-02 15:00:00,21.0,,3.0,0.5,13.0,66.0,2.0,50.0,737.375,0.025000000524999576,269356.0,275.84269989013666,60.007527992248534,685.0
2018-01-02 16:00:00,20.0,,6.0,0.5,13.0,65.0,2.0,,,,,,,
2018-01-02 17:00:00,21.0,,9.0,0.5,14.0,66.0,2.0,,,,,,,
2018-01-02 18:00:00,23.0,23.0,10.0,0.6,38.0,36.0,2.0,50.0,736.3125,0.02500000053600036,269772.0,275.82869995117187,60.006203994750976,685.0
2018-01-02 19:00:00,26.0,17.0,8.0,0.4,7.0,82.0,2.0,,,,,,,
2018-01-02 20:00:00,28.0,15.0,6.0,0.3,4.0,89.0,2.0,,,,,,,
2018-01-02 21:00:00,27.0,15.0,6.0,0.4,5.0,85.0,2.0,50.0,736.5,0.025000000835999847,269772.0,275.8213000488281,60.00303199768065,685.0
2018-01-02 22:00:00,24.0,13.0,7.0,0.4,8.0,77.0,2.0,,,,,,,
2018-01-02 23:00:00,23.0,14.0,8.0,0.4,6.0,75.0,2.0,,,,,,,
2018-01-03 00:00:00,22.0,11.0,6.0,0.4,5.0,70.0,2.0,50.0,737.3125,0.02500000201299973,269772.0,275.81489990234365,60.005467994689944,694.0625
2018-01-03 01:00:00,21.0,,10.0,0.5,6.0,67.0,2.0,,,,,,,
2018-01-03 02:00:00,20.0,,11.0,0.5,7.0,63.0,2.0,,,,,,,
2018-01-03 03:00:00,19.0,12.0,6.0,0.5,8.0,60.0,2.0,50.0,741.3125,0.025000002177000047,269772.0,275.856600036621,60.00711599731445,757.75
2018-01-03 04:00:00,18.0,,9.0,0.5,11.0,58.0,2.0,,,,,,,
2018-01-03 05:00:00,19.0,9.0,7.0,0.5,7.0,60.0,2.0,,,,,,,
2018-01-03 06:00:00,19.0,11.0,9.0,0.5,6.0,62.0,2.0,50.0,739.125,0.025000002317000183,268072.0,275.87350006103514,60.008815994262704,763.5
2018-01-03 07:00:00,19.0,10.0,7.0,0.6,7.0,61.0,2.0,,,,,,,
2018-01-03 08:00:00,20.0,9.0,7.0,0.6,5.0,63.0,2.0,,,,,,,
2018-01-03 09:00:00,18.0,13.0,10.0,0.7,10.0,56.0,2.0,50.0,741.6875,0.025000002383999527,268104.0,275.86290008544916,60.00671199798584,685.4375
