date,AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
2018-01-01 00:00:00,37.0,37.0,21.0,0.7,28.0,18.0,3.0,50.0,731.0,0.0250000009080004,264292.0,275.7754998779297,60.00060399627686,694.4375
2018-01-01 01:00:00,35.0,35.0,24.0,0.7,26.0,19.0,4.0,,,,,,,
2018-01-01 02:00:00,40.0,40.0,23.0,0.7,22.0,23.0,2.0,,,,,,,
2018-01-01 03:00:00,41.0,41.0,26.0,0.6,20.0,25.0,2.0,50.0,734.375,0.02500000074800104,265412.0,275.8504998779297,60.00213999176025,776.5625
2018-01-01 04:00:00,34.0,34.0,18.0,0.5,16.0,28.0,2.0,,,,,,,
2018-01-01 05:00:00,29.0,29.0,13.0,0.5,17.0,29.0,2.0,,,,,,,
2018-01-01 06:00:00,27.0,27.0,17.0,0.5,16.0,31.0,3.0,50.0,737.125,0.025000000703999773,264952.0,275.8942999267578,60.00215199279785,769.125
2018-01-01 07:00:00,25.0,25.0,13.0,0.4,13.0,34.0,4.0,,,,,,,
2018-01-01 08:00:00,20.0,18.0,14.0,0.4,12.0,35.0,6.0,,,,,,,
2018-01-01 09:00:00,24.0,24.0,13.0,0.4,11.0,39.0,17.0,50.0,737.625,0.025000000826999547,265264.0,275.86829986572263,60.00396399688721,685.4375
2018-01-01 10:00:00,24.0,24.0,14.0,0.4,8.0,44.0,7.0,,,,,,,
2018-01-01 11:00:00,23.0,,16.0,0.4,6.0,52.0,4.0,,,,,,,
2018-01-01 12:00:00,17.0,10.0,8.0,0.3,5.0,55.0,3.0,50.0,734.875,0.025000000941000883,265420.0,275.8285998535156,60.000103996276856,685.0
2018-01-01 13:00:00,19.0,,6.0,0.3,4.0,60.0,2.0,,,,,,,
2018-01-01 14:00:00,20.0,,5.0,0.3,3.0,65.0,2.0,,,,,,,
