,Change,Unnamed: 0,Hour,Day,Month,Year,Mean,Delta1,Delta3,AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,39.0,0,0,1,1,2018,39.0,39.0,39.0,56.0,62.0,39.0,1.5,47.0,2.0,5.0,50.0,732.1875,0.02500000093400106,267316.0,275.795,60.001407997131345,694.5625
1,41.5,1,1,1,1,2018,41.5,5.0,44.0,61.0,65.0,44.0,1.4,48.0,2.0,4.0,50.0,732.1875,0.02500000093400106,267316.0,275.795,60.001407997131345,694.5625
2,41.333333333333336,2,2,1,1,2018,41.333333333333336,-3.0,41.0,58.0,58.0,41.0,1.4,41.0,3.0,3.0,50.0,732.1875,0.02500000093400106,267316.0,275.795,60.001407997131345,694.5625
3,41.5,3,3,1,1,2018,41.5,1.0,3.0,59.0,58.0,42.0,1.2,42.0,3.0,3.0,50.0,735.1875,0.02500000072799996,268296.0,275.8688998413086,60.00323599243164,778.4375
4,41.2,4,4,1,1,2018,41.2,-2.0,-4.0,56.0,50.0,40.0,1.0,39.0,6.0,3.0,50.0,735.1875,0.02500000072799996,268296.0,275.8688998413086,60.00323599243164,778.4375
5,39.0,5,5,1,1,2018,39.0,-12.0,-13.0,41.0,41.0,28.0,0.9,39.0,6.0,3.0,50.0,735.1875,0.02500000072799996,268296.0,275.8688998413086,60.00323599243164,778.4375
6,37.42857142857143,6,6,1,1,2018,37.42857142857143,0.0,-14.0,40.0,35.0,28.0,0.9,32.0,13.0,3.0,50.0,737.8125,0.025000000691000373,267800.0,275.90509979248037,60.00233599090576,770.125
7,35.875,7,7,1,1,2018,35.875,-3.0,-15.0,36.0,29.0,25.0,0.7,28.0,20.0,3.0,50.0,737.8125,0.025000000691000373,267800.0,275.90509979248037,60.00233599090576,770.125
8,33.77777777777778,8,8,1,1,2018,33.77777777777778,-8.0,-11.0,36.0,36.0,17.0,0.8,32.0,14.0,3.0,50.0,737.8125,0.025000000691000373,267800.0,275.90509979248037,60.00233599090576,770.125
9,32.3,9,9,1,1,2018,32.3,2.0,-9.0,32.0,32.0,19.0,0.8,27.0,23.0,5.0,50.0,738.5,0.025000000876000152,268128.0,275.88119995117194,60.003751991271976,685.4375
10,-0.10876188355291552,10,10,1,1,2018,30.72727272727273,-4.0,-10.0,28.0,28.0,15.0,0.6,20.0,34.0,5.0,50.0,738.5,0.025000000876000152,268128.0,275.88119995117194,60.003751991271976,685.4375
11,-0.0824001694716652,11,11,1,1,2018,29.5,1.0,-1.0,23.0,21.0,16.0,0.5,14.0,47.0,4.0,50.0,738.5,0.025000000876000152,268128.0,275.88119995117194,60.003751991271976,685.4375
12,-0.1352226045745641,12,12,1,1,2018,28.0,-6.0,-9.0,18.0,20.0,10.0,0.4,9.0,58.0,2.0,50.0,735.75,0.02500000101399981,268324.0,275.8404000854492,60.000103996276856,685.0
13,-0.2051938000080415,13,13,1,1,2018,26.357142857142854,-5.0,-10.0,19.0,19.0,5.0,0.3,7.0,62.0,2.0,50.0,735.75,0.02500000101399981,268324.0,275.8404000854492,60.000103996276856,685.0
14,-0.1019942637342018,14,14,1,1,2018,25.066666666666666,2.0,-9.0,20.0,18.0,7.0,0.3,6.0,65.0,2.0,50.0,735.75,0.02500000101399981,268324.0,275.8404000854492,60.000103996276856,685.0
15,-0.053686502352137025,15,15,1,1,2018,24.0,1.0,-2.0,20.0,17.0,8.0,0.3,8.0,64.0,2.0,50.0,734.9375,0.02500000103900023,268612.0,275.82910003662107,60.00019199371338,685.0
16,-0.03940471499604627,16,16,1,1,2018,23.058823529411764,0.0,3.0,19.0,16.0,8.0,0.4,12.0,60.0,2.0,50.0,734.9375,0.02500000103900023,268612.0,275.82910003662107,60.00019199371338,685.0
17,-0.0023956549126827736,17,17,1,1,2018,22.277777777777782,1.0,2.0,18.0,17.0,9.0,0.4,12.0,58.0,2.0,50.0,734.9375,0.02500000103900023,268612.0,275.82910003662107,60.00019199371338,685.0
18,0.08847343403070956,18,18,1,1,2018,21.78947368421053,4.0,5.0,39.0,39.0,13.0,0.8500000000000001,28.0,9.0,5.5,50.0,733.0,0.025000001072000712,267876.0,275.8016000366211,60.000527992248536,685.0
19,0.12659349422507316,19,19,1,1,2018,21.5,3.0,8.0,55.0,59.0,16.0,1.3,44.0,17.0,9.0,50.0,733.0,0.025000001072000712,267876.0,275.8016000366211,60.000527992248536,685.0
20,0.4275169275169275,20,20,1,1,2018,22.523809523809533,27.0,34.0,60.0,54.0,43.0,0.9,29.0,25.0,5.0,50.0,733.0,0.025000001072000712,267876.0,275.8016000366211,60.000527992248536,685.0
21,0.344829311515358,21,21,1,1,2018,23.0,-10.0,20.0,47.0,46.0,33.0,1.1,26.0,27.0,8.0,50.0,732.4375,0.0250000013190005,269136.0,275.787200012207,60.000103996276856,685.0
22,0.3043558027596083,22,22,1,1,2018,23.39130434782609,-1.0,16.0,50.0,50.0,32.0,1.1,28.0,20.0,6.0,50.0,732.4375,0.0250000013190005,269136.0,275.787200012207,60.000103996276856,685.0
23,0.2688065364281009,23,23,1,1,2018,23.79166666666667,1.0,-10.0,54.0,58.0,33.0,1.2,30.0,16.0,8.0,50.0,732.4375,0.0250000013190005,269136.0,275.787200012207,60.000103996276856,685.0
24,0.25648385411863217,24,0,2,1,2018,24.44,7.0,7.0,56.0,57.0,40.0,1.1,27.0,16.0,6.0,50.0,737.125,0.02500000153000094,269660.0,275.8126998901367,60.00173599243164,692.9375
25,0.19082783847583001,25,1,2,1,2018,24.884615384615387,-4.0,4.0,51.0,48.0,36.0,1.2,25.0,18.0,5.0,50.0,737.125,0.02500000153000094,269660.0,275.8126998901367,60.00173599243164,692.9375
26,0.14271872037992547,26,2,2,1,2018,25.259259259259263,-1.0,2.0,52.0,53.0,35.0,1.2,26.0,16.0,4.0,50.0,737.125,0.02500000153000094,269660.0,275.8126998901367,60.00173599243164,692.9375
27,0.10535996303438164,27,3,2,1,2018,25.642857142857146,1.0,-4.0,51.0,52.0,36.0,1.3,26.0,14.0,4.0,50.0,737.5625,0.025000001081001016,269700.0,275.88649993896485,60.01110799407959,776.75
28,0.06961015229778444,28,4,2,1,2018,26.03448275862069,1.0,1.0,54.0,57.0,37.0,1.4,34.0,9.0,3.0,50.0,737.5625,0.025000001081001016,269700.0,275.88649993896485,60.01110799407959,776.75
29,0.060955618656464323,29,5,2,1,2018,26.566666666666666,5.0,7.0,59.0,57.0,42.0,1.4,37.0,4.0,2.0,50.0,737.5625,0.025000001081001016,269700.0,275.88649993896485,60.01110799407959,776.75
30,0.03812787084193004,30,6,2,1,2018,26.73333333333333,2.0,8.0,61.0,66.0,44.0,1.5,39.0,2.0,2.0,50.0,745.125,0.02500000110300072,269324.0,275.90269989013666,60.0084999923706,749.5625
31,0.052987057305239116,31,7,2,1,2018,26.86666666666667,4.0,11.0,66.0,50.0,48.0,0.9,35.0,7.0,2.0,50.0,745.125,0.02500000110300072,269324.0,275.90269989013666,60.0084999923706,749.5625
32,-0.03410935876844968,32,8,2,1,2018,26.4,-21.0,-15.0,39.0,34.0,27.0,0.9,38.0,4.0,3.0,50.0,745.125,0.02500000110300072,269324.0,275.90269989013666,60.0084999923706,749.5625
33,-0.014054718827446105,33,9,2,1,2018,26.0,3.0,-14.0,45.0,45.0,30.0,0.9,29.0,16.0,4.0,50.0,740.75,0.025000000640999533,269560.0,275.8814999389648,60.00909999847412,685.5
34,-0.03383593747230111,34,10,2,1,2018,25.566666666666666,-3.0,-21.0,39.0,37.0,27.0,0.7,26.0,23.0,5.0,50.0,740.75,0.025000000640999533,269560.0,275.8814999389648,60.00909999847412,685.5
35,-0.07689845394390848,35,11,2,1,2018,25.3,-7.0,-7.0,29.0,28.0,20.0,0.4,17.0,38.0,4.0,50.0,740.75,0.025000000640999533,269560.0,275.8814999389648,60.00909999847412,685.5
36,-0.14265457310911855,36,12,2,1,2018,24.766666666666666,-8.0,-18.0,17.0,15.0,12.0,0.3,10.0,54.0,2.0,50.0,739.3125,0.025000000586999586,270072.0,275.86549987792966,60.007031997680656,685.0
37,-0.15921877308240945,37,13,2,1,2018,24.266666666666666,-2.0,-17.0,18.0,10.0,10.0,0.2,9.0,56.0,2.0,50.0,739.3125,0.025000000586999586,270072.0,275.86549987792966,60.007031997680656,685.0
38,-0.17829379556652283,38,14,2,1,2018,23.966666666666665,-2.0,-12.0,18.0,10.0,8.0,0.2,9.0,58.0,2.0,50.0,739.3125,0.025000000586999586,270072.0,275.86549987792966,60.007031997680656,685.0
39,-0.11140922209104025,39,15,2,1,2018,23.66666666666667,2.0,-2.0,18.0,10.5,10.0,0.2,10.0,58.0,2.0,50.0,737.875,0.025000000522000715,270136.0,275.849700012207,60.007175994873045,685.0
40,-0.1466131007040098,40,16,2,1,2018,23.4,-3.0,-3.0,18.0,11.0,7.0,0.2,12.0,57.0,2.0,50.0,737.875,0.025000000522000715,270136.0,275.849700012207,60.007175994873045,685.0
41,-0.09497715247715248,41,17,2,1,2018,23.13333333333333,1.0,0.0,17.0,12.0,8.0,0.2,15.0,53.0,2.0,50.0,737.875,0.025000000522000715,270136.0,275.849700012207,60.007175994873045,685.0
