,Hour,Day,Month,Year,Mean,AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
0,0,1,1,2018,42.0,68.0,86.0,42.0,1.0,69.0,3.0,3.0,50.0,737.9375,0.025000001024000348,268140.0,275.83519989013666,60.00400799560547,693.375
1,1,1,1,2018,43.5,67.0,84.0,45.0,1.1,77.0,2.0,6.0,50.0,737.9375,0.025000001024000348,268140.0,275.83519989013666,60.00400799560547,693.375
2,2,1,1,2018,45.666666666666664,69.0,87.0,50.0,1.0,75.0,2.0,5.0,50.0,737.9375,0.025000001024000348,268140.0,275.83519989013666,60.00400799560547,693.375
3,3,1,1,2018,44.25,62.0,74.0,40.0,0.9,71.0,2.0,5.0,50.0,739.9375,0.02500000085500069,268172.0,275.8908999633789,60.00603999328613,770.8125
4,4,1,1,2018,43.2,57.0,64.0,39.0,0.9,68.0,2.0,4.0,50.0,739.9375,0.02500000085500069,268172.0,275.8908999633789,60.00603999328613,770.8125
5,5,1,1,2018,42.666666666666664,58.0,66.0,40.0,1.0,70.0,2.0,6.0,50.0,739.9375,0.02500000085500069,268172.0,275.8908999633789,60.00603999328613,770.8125
6,6,1,1,2018,41.285714285714285,56.0,61.0,33.0,1.1,70.0,2.0,7.0,50.0,742.125,0.02500000084600039,267708.0,275.9107998657226,60.00468399810791,762.25
7,7,1,1,2018,39.625,53.0,56.0,28.0,1.0,67.0,2.0,6.0,50.0,742.125,0.02500000084600039,267708.0,275.9107998657226,60.00468399810791,762.25
8,8,1,1,2018,37.888888888888886,48.0,48.0,24.0,0.9,64.0,2.0,4.0,50.0,742.125,0.02500000084600039,267708.0,275.9107998657226,60.00468399810791,762.25
9,9,1,1,2018,36.6,50.0,50.0,25.0,0.9,53.0,8.0,5.0,50.0,743.1875,0.02500000106500089,267928.0,275.8979998779297,60.003483993530274,685.5
10,10,1,1,2018,35.09090909090909,51.0,51.0,20.0,0.8,48.0,15.0,5.0,50.0,743.1875,0.02500000106500089,267928.0,275.8979998779297,60.003483993530274,685.5
11,11,1,1,2018,33.666666666666664,40.0,40.0,18.0,0.6,41.0,26.0,3.0,50.0,743.1875,0.02500000106500089,267928.0,275.8979998779297,60.003483993530274,685.5
