date,AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
2018-01-01 00:00:00,,,,,,,,50.0,740.5625,0.0250000011180006,268416.0,275.8388000488281,60.004603996276856,692.875
2018-01-01 01:00:00,143.0,,109.0,2.3,55.0,4.0,3.0,,,,,,,
2018-01-01 02:00:00,156.0,,119.0,2.6,56.0,3.0,3.0,,,,,,,
2018-01-01 03:00:00,161.0,,123.0,2.6,70.0,4.0,5.0,50.0,743.125,0.025000000974999742,268400.0,275.8944998168945,60.00666399383545,762.25
2018-01-01 04:00:00,148.0,115.0,113.0,2.3,66.0,3.0,4.0,,,,,,,
2018-01-01 05:00:00,115.0,106.0,87.0,2.1,68.0,3.0,5.0,,,,,,,
2018-01-01 06:00:00,111.0,98.0,84.0,2.1,63.0,3.0,4.0,50.0,745.1875,0.025000000963000583,267996.0,275.9127999877929,60.005519996643066,754.375
2018-01-01 07:00:00,111.0,90.0,84.0,2.0,59.0,3.0,3.0,,,,,,,
2018-01-01 08:00:00,95.0,83.0,71.0,1.8,62.0,3.0,3.0,,,,,,,
2018-01-01 09:00:00,93.0,94.0,69.0,1.8,56.0,3.0,4.0,50.0,745.6875,0.02500000115200132,268140.0,275.8982000732421,60.00463999176026,685.5
2018-01-01 10:00:00,,,,,,,,,,,,,,
2018-01-01 11:00:00,40.0,40.0,24.0,1.0,42.0,15.0,8.0,,,,,,,
2018-01-01 12:00:00,66.0,70.0,48.0,1.4,39.0,21.0,16.0,50.0,743.625,0.025000001446001237,268456.0,275.8682000732422,60.00249599456787,685.0
2018-01-01 13:00:00,71.0,88.0,52.0,2.1,42.0,23.0,23.0,,,,,,,
2018-01-01 14:00:00,98.0,102.0,73.0,3.1,50.0,22.0,36.0,,,,,,,
2018-01-01 15:00:00,113.0,132.0,85.0,3.6,57.0,20.0,43.0,50.0,744.375,0.02500000211100094,268596.0,275.8655999755859,60.00262799072266,685.0
2018-01-01 16:00:00,116.0,128.0,88.0,3.1,60.0,12.0,38.0,,,,,,,
2018-01-01 17:00:00,106.0,145.0,80.0,3.2,65.0,5.0,33.0,,,,,,,
2018-01-01 18:00:00,104.0,130.0,78.0,3.2,65.0,3.0,26.0,50.0,742.3125,0.025000002025000752,269116.0,275.8432998657226,60.00247999572754,685.0
2018-01-01 19:00:00,106.0,129.0,80.0,3.2,62.0,3.0,20.0,,,,,,,
2018-01-01 20:00:00,116.0,134.0,88.0,3.4,59.0,4.0,15.0,,,,,,,
2018-01-01 21:00:00,124.0,136.0,94.0,3.5,55.0,4.0,12.0,50.0,740.5,0.025000001702999698,269152.0,275.82639984130856,60.00250399780274,685.0
2018-01-01 22:00:00,90.0,120.0,67.0,2.0,50.0,2.0,6.0,,,,,,,
2018-01-01 23:00:00,84.0,101.0,62.0,1.8,50.0,2.0,4.0,,,,,,,
2018-01-02 00:00:00,,,,,,,,50.0,742.5,0.025000001664999875,269652.0,275.83690002441404,60.00245599365234,695.25
2018-01-02 01:00:00,76.0,81.0,56.0,1.5,43.0,3.0,2.0,,,,,,,
2018-01-02 02:00:00,74.0,62.0,54.0,1.6,41.0,3.0,2.0,,,,,,,
2018-01-02 03:00:00,74.0,,54.0,1.4,38.0,3.0,2.0,50.0,736.875,0.025000001029999927,269868.0,275.8789999389648,60.007479995727536,779.9375
2018-01-02 04:00:00,69.0,,50.0,1.1,39.0,2.0,2.0,,,,,,,
2018-01-02 05:00:00,66.0,54.0,48.0,1.4,43.0,2.0,2.0,,,,,,,
2018-01-02 06:00:00,68.0,,49.0,1.4,45.0,2.0,2.0,50.0,754.25,0.025000001004001127,269596.0,275.9025,60.005611991882326,723.4375
2018-01-02 07:00:00,64.0,47.0,46.0,1.4,41.0,2.0,2.0,,,,,,,
2018-01-02 08:00:00,69.0,53.0,50.0,1.6,38.0,2.0,2.0,,,,,,,
2018-01-02 09:00:00,74.0,82.0,54.0,1.6,35.0,2.0,2.0,50.0,746.8125,0.025000000988001002,269704.0,275.8983999633789,60.006463996887206,685.5625
2018-01-02 10:00:00,89.0,100.0,66.0,2.3,43.0,7.0,13.0,,,,,,,
2018-01-02 11:00:00,80.0,60.0,59.0,2.3,41.0,16.0,38.0,,,,,,,
2018-01-02 12:00:00,51.0,,36.0,1.2,37.0,23.0,18.0,50.0,745.625,0.025000000870000573,270116.0,275.8876998901367,60.003359992980954,685.0
2018-01-02 13:00:00,34.0,,24.0,0.7,26.0,37.0,6.0,,,,,,,
2018-01-02 14:00:00,17.0,17.0,12.0,0.6,25.0,40.0,5.0,,,,,,,
2018-01-02 15:00:00,,,,,,,,50.0,743.9375,0.025000000793000684,270116.0,275.8707000732422,60.00542399597168,685.0
2018-01-02 16:00:00,,,,,,,,,,,,,,
2018-01-02 17:00:00,43.0,43.0,23.0,0.6,40.0,19.0,4.0,,,,,,,
2018-01-02 18:00:00,77.0,103.0,38.0,1.0,55.0,3.0,7.0,50.0,742.9375,0.025000000800000505,270600.0,275.85869995117184,60.007983993530274,685.0
2018-01-02 19:00:00,88.0,95.0,65.0,1.4,59.0,2.0,10.0,,,,,,,
2018-01-02 20:00:00,95.0,99.0,71.0,1.6,60.0,3.0,10.0,,,,,,,
2018-01-02 21:00:00,101.0,108.0,76.0,1.6,59.0,2.0,9.0,50.0,741.25,0.02500000076700002,270600.0,275.8397998046874,60.003779991149905,685.0
