date,AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
2018-01-01 00:00:00,103.0,122.0,77.0,1.7,83.0,5.0,15.0,50.0,734.4375,0.025000000990999863,267776.0,275.8229000854492,60.00336799621582,694.6875
2018-01-01 01:00:00,75.0,86.0,55.0,1.3,74.0,4.0,11.0,,,,,,,
2018-01-01 02:00:00,66.0,72.0,48.0,1.3,72.0,4.0,11.0,,,,,,,
2018-01-01 03:00:00,75.0,100.0,54.0,1.4,75.0,4.0,11.0,50.0,736.6875,0.02500000077000074,267984.0,275.8866998291016,60.005443992614744,779.6875
2018-01-01 04:00:00,73.0,79.0,53.0,1.4,72.0,4.0,13.0,,,,,,,
2018-01-01 05:00:00,56.0,61.0,38.0,1.2,68.0,3.0,12.0,,,,,,,
2018-01-01 06:00:00,44.0,44.0,29.0,1.0,64.0,3.0,9.0,50.0,738.4375,0.025000000777000563,267544.0,275.9091998291016,60.003563995361326,771.75
2018-01-01 07:00:00,40.0,40.0,26.0,0.9,63.0,3.0,8.0,,,,,,,
2018-01-01 08:00:00,44.0,44.0,27.0,0.9,59.0,4.0,9.0,,,,,,,
2018-01-01 09:00:00,39.0,39.0,21.0,0.9,55.0,8.0,8.0,50.0,740.0,0.025000001009000468,267776.0,275.8944998168945,60.003303993225096,685.5
2018-01-01 10:00:00,30.0,30.0,20.0,0.7,42.0,22.0,6.0,,,,,,,
2018-01-01 11:00:00,23.0,19.0,16.0,0.6,31.0,37.0,5.0,,,,,,,
2018-01-01 12:00:00,23.0,,16.0,0.5,23.0,45.0,4.0,50.0,737.6875,0.02500000128499977,268020.0,275.8576998901367,60.0013639907837,685.0
2018-01-01 13:00:00,16.0,14.0,11.0,0.4,22.0,48.0,5.0,,,,,,,
2018-01-01 14:00:00,22.0,22.0,14.0,0.6,28.0,42.0,6.0,,,,,,,
2018-01-01 15:00:00,33.0,33.0,21.0,0.8,39.0,38.0,9.0,50.0,738.0,0.025000001600001008,268252.0,275.8530999755859,60.001695991516115,685.0
2018-01-01 16:00:00,44.0,44.0,20.0,0.8,46.0,30.0,11.0,,,,,,,
2018-01-01 17:00:00,52.0,54.0,30.0,1.0,55.0,20.0,11.0,,,,,,,
2018-01-01 18:00:00,71.0,92.0,50.0,1.9,76.0,6.0,16.0,50.0,735.6875,0.025000001567000524,268416.0,275.8241000366211,60.00173999786377,685.0
2018-01-01 19:00:00,103.0,130.0,77.0,2.8,84.0,4.0,26.0,,,,,,,
2018-01-01 20:00:00,97.0,143.0,72.0,2.8,83.0,4.0,30.0,,,,,,,
2018-01-01 21:00:00,100.0,150.0,71.0,2.3,76.0,3.0,19.0,50.0,734.625,0.025000001613000408,268764.0,275.80829986572263,60.001559997558594,685.0
2018-01-01 22:00:00,90.0,130.0,63.0,1.5,67.0,4.0,9.0,,,,,,,
2018-01-01 23:00:00,70.0,83.0,51.0,1.0,60.0,6.0,6.0,,,,,,,
2018-01-02 00:00:00,51.0,46.0,36.0,0.7,46.0,13.0,4.0,50.0,740.0625,0.02500000174099952,269292.0,275.83259979248044,60.00286799621582,695.375
2018-01-02 01:00:00,51.0,45.0,36.0,0.7,43.0,16.0,3.0,,,,,,,
2018-01-02 02:00:00,51.0,40.0,36.0,0.7,49.0,8.0,4.0,,,,,,,
2018-01-02 03:00:00,56.0,,40.0,1.1,59.0,4.0,6.0,50.0,736.625,0.025000000842999668,269436.0,275.8829000854492,60.01001199340821,779.3125
2018-01-02 04:00:00,91.0,91.0,68.0,2.1,70.0,,13.0,,,,,,,
2018-01-02 05:00:00,89.0,114.0,66.0,2.0,73.0,5.0,12.0,,,,,,,
2018-01-02 06:00:00,85.0,116.0,63.0,2.1,76.0,5.0,12.0,50.0,748.4375,0.02500000087499991,269108.0,275.904700012207,60.007031997680656,740.875
2018-01-02 07:00:00,93.0,94.0,69.0,2.1,70.0,5.0,11.0,,,,,,,
2018-01-02 08:00:00,70.0,65.0,51.0,1.9,63.0,4.0,10.0,,,,,,,
2018-01-02 09:00:00,69.0,80.0,50.0,1.5,62.0,6.0,11.0,50.0,743.5625,0.025000000755000862,269268.0,275.89669982910146,60.00855999755859,685.5
2018-01-02 10:00:00,56.0,62.0,35.0,1.4,56.0,10.0,10.0,,,,,,,
2018-01-02 11:00:00,51.0,,36.0,1.0,46.0,23.0,10.0,,,,,,,
2018-01-02 12:00:00,31.0,31.0,22.0,0.8,37.0,34.0,9.0,50.0,742.4375,0.025000000614000487,269748.0,275.88759979248044,60.00509599304199,685.0
2018-01-02 13:00:00,51.0,51.0,33.0,0.9,40.0,34.0,11.0,,,,,,,
2018-01-02 14:00:00,36.0,36.0,17.0,0.6,33.0,45.0,8.0,,,,,,,
2018-01-02 15:00:00,45.0,45.0,16.0,0.6,34.0,44.0,7.0,50.0,740.625,0.025000000563001258,269764.0,275.8676998901367,60.00653199768065,685.0
2018-01-02 16:00:00,32.0,32.0,12.0,0.5,32.0,45.0,6.0,,,,,,,
2018-01-02 17:00:00,31.0,31.0,9.0,0.5,38.0,40.0,6.0,,,,,,,
2018-01-02 18:00:00,34.0,34.0,14.0,0.6,48.0,28.0,5.0,50.0,739.5625,0.025000000629000367,269796.0,275.8525,60.00803999328613,685.0
2018-01-02 19:00:00,36.0,36.0,17.0,0.6,50.0,26.0,5.0,,,,,,,
2018-01-02 20:00:00,30.0,30.0,10.0,0.5,42.0,33.0,4.0,,,,,,,
2018-01-02 21:00:00,20.0,20.0,5.0,0.4,38.0,43.0,3.0,50.0,738.9375,0.025000000700000673,269796.0,275.8425,60.00461199188232,685.0
2018-01-02 22:00:00,34.0,34.0,9.0,0.4,34.0,45.0,4.0,,,,,,,
2018-01-02 23:00:00,39.0,39.0,8.0,0.4,29.0,48.0,3.0,,,,,,,
2018-01-03 00:00:00,24.0,24.0,7.0,0.3,23.0,52.0,2.0,50.0,738.625,0.02500000190800056,269796.0,275.8388998413085,60.00413599395752,693.4375
2018-01-03 01:00:00,22.0,22.0,13.0,0.4,24.0,47.0,3.0,,,,,,,
