date,AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
2018-01-01 00:00:00,58.0,66.0,40.0,1.1,60.0,4.0,10.0,50.0,733.1875,0.0250000010049995,267984.0,275.8064999389648,60.00227599334717,694.875
2018-01-01 01:00:00,51.0,47.0,36.0,1.0,55.0,6.0,10.0,,,,,,,
2018-01-01 02:00:00,47.0,47.0,30.0,1.1,57.0,5.0,10.0,,,,,,,
2018-01-01 03:00:00,45.0,45.0,27.0,0.9,48.0,10.0,9.0,50.0,736.0625,0.025000000777000563,268588.0,275.878099975586,60.0042799911499,778.9375
2018-01-01 04:00:00,35.0,35.0,21.0,0.7,39.0,17.0,8.0,,,,,,,
2018-01-01 05:00:00,31.0,31.0,21.0,0.7,32.0,26.0,8.0,,,,,,,
2018-01-01 06:00:00,26.0,26.0,16.0,0.5,22.0,37.0,7.0,50.0,738.25,0.025000000771000983,268140.0,275.90759979248037,60.00296399688721,770.375
2018-01-01 07:00:00,19.0,19.0,11.0,0.5,20.0,42.0,9.0,,,,,,,
2018-01-01 08:00:00,20.0,20.0,11.0,0.5,19.0,43.0,11.0,,,,,,,
2018-01-01 09:00:00,25.0,25.0,11.0,0.5,19.0,43.0,14.0,50.0,739.3125,0.025000000996001068,268408.0,275.887200012207,60.00386399078369,685.5
2018-01-01 10:00:00,32.0,32.0,14.0,0.5,18.0,47.0,15.0,,,,,,,
2018-01-01 11:00:00,26.0,26.0,9.0,0.4,15.0,56.0,14.0,,,,,,,
2018-01-01 12:00:00,20.0,,9.0,0.4,12.0,63.0,14.0,50.0,736.6875,0.025000001159001143,268640.0,275.8488000488281,60.0007919921875,685.0
2018-01-01 13:00:00,21.0,11.0,8.0,0.4,11.0,66.0,13.0,,,,,,,
2018-01-01 14:00:00,22.0,17.0,9.0,0.4,12.0,69.0,11.0,,,,,,,
2018-01-01 15:00:00,21.0,21.0,14.0,,16.0,64.0,12.0,50.0,736.4375,0.025000001300999896,268880.0,275.84109985351563,60.00081999206543,685.0
2018-01-01 16:00:00,9.0,6.0,,0.9,,,,,,,,,,
2018-01-01 17:00:00,56.0,,40.0,1.5,54.0,26.0,23.0,,,,,,,
2018-01-01 18:00:00,70.0,58.0,51.0,1.9,77.0,6.0,30.0,50.0,734.3125,0.025000001304000617,268576.0,275.81279998779297,60.00101599121093,685.0
2018-01-01 19:00:00,91.0,92.0,68.0,2.3,82.0,5.0,29.0,,,,,,,
2018-01-01 20:00:00,103.0,119.0,77.0,3.0,81.0,5.0,42.0,,,,,,,
2018-01-01 21:00:00,113.0,137.0,85.0,3.0,75.0,6.0,33.0,50.0,733.375,0.025000001472000037,269404.0,275.7954998779297,60.00069199371338,685.0
2018-01-01 22:00:00,109.0,119.0,82.0,2.4,68.0,4.0,25.0,,,,,,,
2018-01-01 23:00:00,108.0,115.0,81.0,2.3,65.0,4.0,22.0,,,,,,,
2018-01-02 00:00:00,108.0,107.0,81.0,2.2,64.0,4.0,19.0,50.0,738.1875,0.025000001661000776,269932.0,275.82029998779296,60.0017559967041,694.1875
2018-01-02 01:00:00,110.0,104.0,83.0,2.1,64.0,4.0,16.0,,,,,,,
2018-01-02 02:00:00,105.0,98.0,79.0,2.1,63.0,4.0,18.0,,,,,,,
2018-01-02 03:00:00,106.0,102.0,80.0,2.2,62.0,4.0,17.0,50.0,737.3125,0.025000000997001302,270004.0,275.8858999633789,60.01004399108886,777.875
2018-01-02 04:00:00,100.0,93.0,75.0,2.4,58.0,4.0,16.0,,,,,,,
2018-01-02 05:00:00,74.0,74.0,54.0,1.9,53.0,3.0,15.0,,,,,,,
2018-01-02 06:00:00,59.0,60.0,42.0,1.6,52.0,3.0,15.0,50.0,746.25,0.02500000104900077,269668.0,275.905,60.00748799133301,747.0625
2018-01-02 07:00:00,41.0,41.0,28.0,1.1,46.0,7.0,16.0,,,,,,,
2018-01-02 08:00:00,34.0,31.0,24.0,0.9,32.0,20.0,16.0,,,,,,,
2018-01-02 09:00:00,33.0,28.0,23.0,0.7,25.0,29.0,15.0,50.0,741.9375,0.02500000069900044,269836.0,275.89009979248044,60.00885199737549,685.5
2018-01-02 10:00:00,34.0,34.0,18.0,0.6,18.0,43.0,14.0,,,,,,,
2018-01-02 11:00:00,27.0,27.0,10.0,0.4,8.0,57.0,10.0,,,,,,,
2018-01-02 12:00:00,20.0,16.0,8.0,0.3,5.0,65.0,9.0,50.0,740.5625,0.02500000061099977,270328.0,275.87669982910154,60.00599599456787,685.0
2018-01-02 13:00:00,21.0,15.0,10.0,0.3,5.0,66.0,7.0,,,,,,,
2018-01-02 14:00:00,20.0,11.0,10.0,0.3,7.0,65.0,7.0,,,,,,,
2018-01-02 15:00:00,20.0,,10.0,0.3,9.0,64.0,6.0,50.0,738.875,0.025000000522000715,270376.0,275.85880004882813,60.00690799713135,685.0
2018-01-02 16:00:00,20.0,,8.0,0.3,9.0,64.0,6.0,,,,,,,
2018-01-02 17:00:00,20.0,,10.0,0.3,10.0,63.0,6.0,,,,,,,
2018-01-02 18:00:00,18.0,14.0,9.0,0.4,17.0,57.0,5.0,50.0,737.75,0.02500000054899976,270488.0,275.84359985351557,60.00710799407959,685.0
2018-01-02 19:00:00,31.0,26.0,11.0,0.7,62.0,10.0,6.0,,,,,,,
2018-01-02 20:00:00,32.0,32.0,19.0,0.6,50.0,24.0,7.0,,,,,,,
2018-01-02 21:00:00,30.0,30.0,15.0,0.5,24.0,50.0,6.0,50.0,737.6875,0.025000000749999658,270488.0,275.83649993896483,60.00372399139404,685.0
2018-01-02 22:00:00,26.0,26.0,8.0,0.3,13.0,63.0,5.0,,,,,,,
2018-01-02 23:00:00,23.0,17.0,6.0,0.2,4.0,73.0,5.0,,,,,,,
2018-01-03 00:00:00,22.0,15.0,6.0,0.3,5.0,69.0,4.0,50.0,738.6875,0.025000002128999683,270488.0,275.8305999755859,60.004827995300296,693.75
2018-01-03 01:00:00,20.0,7.0,5.0,0.3,5.0,65.0,5.0,,,,,,,
2018-01-03 02:00:00,19.0,7.0,3.0,0.3,6.0,61.0,5.0,,,,,,,
2018-01-03 03:00:00,17.0,10.0,3.0,0.3,13.0,53.0,5.0,50.0,741.1875,0.02500000209300034,270488.0,275.86079986572264,60.00762799835205,759.875
2018-01-03 04:00:00,15.0,,8.0,0.3,17.0,49.0,5.0,,,,,,,
2018-01-03 05:00:00,17.0,8.0,4.0,0.3,10.0,55.0,5.0,,,,,,,
2018-01-03 06:00:00,17.0,7.0,7.0,0.3,9.0,54.0,5.0,50.0,739.1875,0.025000002142000943,269668.0,275.8776998901367,60.00954799652099,765.0625
2018-01-03 07:00:00,16.0,15.0,4.0,0.4,13.0,51.0,6.0,,,,,,,
2018-01-03 08:00:00,14.0,11.0,6.0,0.4,16.0,46.0,6.0,,,,,,,
2018-01-03 09:00:00,19.0,19.0,8.0,0.4,13.0,50.0,6.0,50.0,742.4375,0.02500000230400078,269648.0,275.87350006103514,60.00653199768065,685.4375
2018-01-03 10:00:00,22.0,22.0,10.0,0.4,6.0,58.0,6.0,,,,,,,
2018-01-03 11:00:00,20.0,13.0,6.0,0.3,3.0,63.0,5.0,,,,,,,
2018-01-03 12:00:00,20.0,8.0,5.0,0.3,3.0,65.0,5.0,50.0,740.6875,0.025000001896999774,269796.0,275.8597998046875,60.005935997009274,685.0
2018-01-03 13:00:00,21.0,6.0,5.0,0.3,2.0,67.0,5.0,,,,,,,
2018-01-03 14:00:00,21.0,8.0,5.0,0.3,2.0,68.0,5.0,,,,,,,
2018-01-03 15:00:00,21.0,9.0,7.0,0.2,2.0,68.0,5.0,50.0,740.125,0.02500000190600008,270488.0,275.8529998779297,60.01122399139404,685.0
2018-01-03 16:00:00,21.0,10.0,8.0,0.3,2.0,68.0,5.0,,,,,,,
2018-01-03 17:00:00,20.0,13.0,7.0,0.3,5.0,64.0,5.0,,,,,,,
2018-01-03 18:00:00,17.0,15.0,12.0,0.4,18.0,51.0,5.0,50.0,735.9375,0.02500000076100044,270488.0,275.82809997558587,60.005771995544436,685.0
2018-01-03 19:00:00,27.0,27.0,12.0,0.7,40.0,28.0,7.0,,,,,,,
2018-01-03 20:00:00,53.0,55.0,26.0,0.7,60.0,7.0,9.0,,,,,,,
2018-01-03 21:00:00,44.0,44.0,23.0,0.6,59.0,8.0,8.0,50.0,735.3125,0.02500000073600002,270364.0,275.82079986572256,60.00921599578857,685.0
2018-01-03 22:00:00,33.0,33.0,11.0,0.5,42.0,26.0,7.0,,,,,,,
2018-01-03 23:00:00,22.0,22.0,13.0,0.4,16.0,51.0,7.0,,,,,,,
2018-01-04 00:00:00,20.0,20.0,11.0,0.4,9.0,56.0,6.0,50.0,751.25,0.025000000825000927,269332.0,275.8233999633789,60.004783996582034,688.0625
2018-01-04 01:00:00,18.0,17.0,12.0,0.3,7.0,57.0,6.0,,,,,,,
2018-01-04 02:00:00,23.0,23.0,11.0,0.3,6.0,58.0,6.0,,,,,,,
